"PID","networkType","nom","term"
1001,"closeFrds",7044,"fa19"
1001,"negEmoSupp",1080,"fa19"
1001,"negEmoSupp",2369,"fa19"
1001,"negEmoSupp",5631,"fa19"
1001,"responsive",1080,"fa19"
1001,"negEmoSupp",4440,"fa19"
1001,"closeFrds",1720,"fa19"
1001,"negEmoSupp",5060,"fa19"
1001,"closeFrds",4440,"fa19"
1001,"responsive",5631,"fa19"
1001,"closeFrds",2676,"fa19"
1001,"closeFrds",4966,"fa19"
1001,"closeFrds",3939,"fa19"
1001,"responsive",2369,"fa19"
1001,"responsive",5060,"fa19"
1001,"negEmoSupp",4966,"fa19"
1004,"responsive",5962,"fa19"
1004,"negEmoSupp",7123,"fa19"
1004,"negEmoSupp",2725,"fa19"
1004,"responsive",7123,"fa19"
1004,"closeFrds",5962,"fa19"
1004,"closeFrds",3098,"fa19"
1004,"responsive",3098,"fa19"
1004,"closeFrds",8077,"fa19"
1004,"negEmoSupp",5962,"fa19"
1004,"closeFrds",1508,"fa19"
1004,"closeFrds",7123,"fa19"
1004,"negEmoSupp",5320,"fa19"
1004,"closeFrds",5320,"fa19"
1004,"negEmoSupp",6438,"fa19"
1006,"responsive",5249,"fa19"
1006,"responsive",7842,"fa19"
1006,"negEmoSupp",5249,"fa19"
1006,"negEmoSupp",5535,"fa19"
1006,"responsive",5092,"fa19"
1006,"responsive",3809,"fa19"
1006,"negEmoSupp",7635,"fa19"
1006,"closeFrds",7842,"fa19"
1006,"closeFrds",5092,"fa19"
1006,"negEmoSupp",5092,"fa19"
1006,"responsive",6500,"fa19"
1006,"negEmoSupp",7842,"fa19"
1006,"closeFrds",5249,"fa19"
1006,"responsive",6893,"fa19"
1006,"closeFrds",6500,"fa19"
1006,"negEmoSupp",3092,"fa19"
1006,"closeFrds",3809,"fa19"
1006,"closeFrds",3092,"fa19"
1014,"responsive",8205,"fa19"
1014,"closeFrds",4963,"fa19"
1014,"closeFrds",2391,"fa19"
1014,"responsive",4963,"fa19"
1014,"closeFrds",8205,"fa19"
1014,"negEmoSupp",2391,"fa19"
1014,"responsive",2391,"fa19"
1017,"closeFrds",3549,"fa19"
1017,"closeFrds",7475,"fa19"
1047,"negEmoSupp",3897,"fa19"
1047,"responsive",3123,"fa19"
1047,"responsive",3897,"fa19"
1047,"negEmoSupp",3123,"fa19"
1047,"negEmoSupp",6196,"fa19"
1047,"negEmoSupp",6965,"fa19"
1047,"closeFrds",6196,"fa19"
1047,"responsive",6196,"fa19"
1047,"negEmoSupp",6700,"fa19"
1047,"closeFrds",2119,"fa19"
1047,"negEmoSupp",3642,"fa19"
1047,"responsive",3905,"fa19"
1047,"responsive",6700,"fa19"
1047,"closeFrds",3905,"fa19"
1047,"closeFrds",6700,"fa19"
1047,"closeFrds",3123,"fa19"
1047,"closeFrds",6965,"fa19"
1061,"closeFrds",2992,"fa19"
1061,"closeFrds",3941,"fa19"
1061,"negEmoSupp",7409,"fa19"
1061,"responsive",2062,"fa19"
1061,"negEmoSupp",2992,"fa19"
1061,"closeFrds",7409,"fa19"
1061,"closeFrds",5245,"fa19"
1061,"negEmoSupp",4850,"fa19"
1061,"closeFrds",1375,"fa19"
1061,"responsive",7409,"fa19"
1061,"closeFrds",2062,"fa19"
1061,"negEmoSupp",2062,"fa19"
