"","Term","ego","alter","agreeEgo","agreeAlter","empathyEgo","empathyAlter","socialemotionallityEgo","socialemotionallityAlter","needtobelongEgo","needtobelongAlter","loneEgo","inEgo","outEgo","inEgo_liked","outEgo_liked","loneAlter","inAlter","outAlter","inAlter_liked","outAlter_liked","loneBinEgo","loneBinAlter","recp","n","recpSum","recpPer"
"1","Fall 2019",1001,7044,6,NA,6.545454545,NA,4.375,NA,5.375,NA,0.205973480446258,0.000253678,0.00152207,0.000253678,0.000761035,NA,NA,NA,NA,NA,"NL",NA,0,6,1,0.166666666666667
"2","Fall 2019",1001,1720,6,NA,6.545454545,NA,4.375,NA,5.375,NA,0.205973480446258,0.000253678,0.00152207,0.000253678,0.000761035,NA,NA,NA,NA,NA,"NL",NA,0,6,1,0.166666666666667
"3","Fall 2019",1001,4440,6,4.5,6.545454545,6,4.375,3.625,5.375,3.625,0.205973480446258,0.000253678,0.00152207,0.000253678,0.000761035,2.11298236532765,0.00152207,0.00152207,0.000253678,0.000507357,"NL","L",1,6,1,0.166666666666667
"4","Fall 2019",1001,2676,6,NA,6.545454545,NA,4.375,NA,5.375,NA,0.205973480446258,0.000253678,0.00152207,0.000253678,0.000761035,NA,NA,NA,NA,NA,"NL",NA,0,6,1,0.166666666666667
"5","Fall 2019",1001,4966,6,NA,6.545454545,NA,4.375,NA,5.375,NA,0.205973480446258,0.000253678,0.00152207,0.000253678,0.000761035,NA,NA,NA,NA,NA,"NL",NA,0,6,1,0.166666666666667
"6","Fall 2019",1001,3939,6,NA,6.545454545,NA,4.375,NA,5.375,NA,0.205973480446258,0.000253678,0.00152207,0.000253678,0.000761035,NA,NA,NA,NA,NA,"NL",NA,0,6,1,0.166666666666667
"7","Fall 2019",1004,5962,6,5,6,6.454545455,2.375,5.125,5.625,6,1.40208687538842,0.001014713,0.00152207,0.000253678,0.000761035,0.264252204189066,0.00152207,0.00152207,0.00152207,0.000507357,"L","NL",0,6,3,0.5
"8","Fall 2019",1004,3098,6,3,6,6.454545455,2.375,4.5,5.625,4.625,1.40208687538842,0.001014713,0.00152207,0.000253678,0.000761035,0.264252204189066,0.001014713,0,0,0,"L","NL",0,6,3,0.5
"9","Fall 2019",1004,8077,6,5,6,4.818181818,2.375,5,5.625,5,1.40208687538842,0.001014713,0.00152207,0.000253678,0.000761035,0.264252204189066,0.000507357,0.000761035,0.000253678,0.000507357,"L","NL",1,6,3,0.5
"10","Fall 2019",1004,1508,6,6.5,6,6.909090909,2.375,3,5.625,5,1.40208687538842,0.001014713,0.00152207,0.000253678,0.000761035,-0.35199118285713,0.001014713,0.001268392,0,0.001014713,"L","NL",1,6,3,0.5
"11","Fall 2019",1004,7123,6,5.5,6,6.909090909,2.375,5,5.625,5.625,1.40208687538842,0.001014713,0.00152207,0.000253678,0.000761035,-0.35199118285713,0.001268392,0.00152207,0.000253678,0.000761035,"L","NL",1,6,3,0.5
"12","Fall 2019",1004,5320,6,NA,6,NA,2.375,NA,5.625,NA,1.40208687538842,0.001014713,0.00152207,0.000253678,0.000761035,NA,NA,NA,NA,NA,"L",NA,0,6,3,0.5
"13","Fall 2019",1006,7842,5,NA,6.272727273,NA,6.125,NA,5.875,NA,-0.392083217024822,0,0.00152207,0.000253678,0.00152207,NA,NA,NA,NA,NA,"NL",NA,0,6,0,0
"14","Fall 2019",1006,5092,5,NA,6.272727273,NA,6.125,NA,5.875,NA,-0.392083217024822,0,0.00152207,0.000253678,0.00152207,NA,NA,NA,NA,NA,"NL",NA,0,6,0,0
"15","Fall 2019",1006,5249,5,NA,6.272727273,NA,6.125,NA,5.875,NA,-0.392083217024822,0,0.00152207,0.000253678,0.00152207,NA,NA,NA,NA,NA,"NL",NA,0,6,0,0
