"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"33622","external_page_harvard.html","external-html","0","33749","0.0-0.0","A11Q8U6QTT8KGF","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1502","","image-button-response","1","35252","0.0-1.0","A11Q8U6QTT8KGF","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4284","","image-button-response","2","39538","0.0-2.0-0.0","A11Q8U6QTT8KGF","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2559","","survey-text","3","42098","0.0-3.0-0.0","A11Q8U6QTT8KGF","","","","{""Q0"":""A11Q8U6QTT8KGF""}","","","","","","","","","","","","","","","","","","","","","","",""
"16411","","image-button-response_instructions","4","58510","0.0-4.0","A11Q8U6QTT8KGF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7913","","image-button-response_instructions","5","66424","0.0-5.0","A11Q8U6QTT8KGF","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3234","","image-button-response_instructions","6","69658","0.0-6.0","A11Q8U6QTT8KGF","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2631","","image-button-response_instructions","7","72291","0.0-7.0","A11Q8U6QTT8KGF","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7317","","image-button-response_instructions","8","79608","0.0-8.0","A11Q8U6QTT8KGF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4761","","image-button-response_instructions","9","84370","0.0-9.0","A11Q8U6QTT8KGF","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
