"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11200","external_page_harvard.html","external-html","0","11293","0.0-0.0","A12TFFS6M9TOVF","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1726","","image-button-response","1","13020","0.0-1.0","A12TFFS6M9TOVF","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1716","","image-button-response","2","14740","0.0-2.0-0.0","A12TFFS6M9TOVF","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6299","","survey-text","3","21040","0.0-3.0-0.0","A12TFFS6M9TOVF","","","","{""Q0"":""A12TFFS6M9TOVF""}","","","","","","","","","","","","","","","","","","","","","","",""
"15289","","image-button-response_instructions","4","36330","0.0-4.0","A12TFFS6M9TOVF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12208","","image-button-response_instructions","5","48540","0.0-5.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4647","","image-button-response_instructions","6","53188","0.0-6.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6779","","image-button-response_instructions","7","59967","0.0-7.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20955","","image-button-response_instructions","8","80923","0.0-8.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3157","","image-button-response_instructions","9","84081","0.0-9.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2862","","image-button-response_instructions","10","86943","0.0-10.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2038","","image-button-response_instructions","11","88981","0.0-11.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6840","","image-button-response_instructions","12","95821","0.0-12.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21559","","image-button-response_instructions","13","117381","0.0-13.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9467","","image-button-response_instructions","14","126850","0.0-14.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3923","","image-button-response_instructions","15","130773","0.0-15.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11163","","image-button-response_instructions","16","141937","0.0-16.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5787","","image-button-response_instructions","17","147726","0.0-17.0","A12TFFS6M9TOVF","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1845","","image-button-response_instructions","18","149571","0.0-18.0","A12TFFS6M9TOVF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7753","","survey-text","19","157339","0.0-19.0-0.0","A12TFFS6M9TOVF","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"14469","","survey-text","20","171809","0.0-20.0-0.0","A12TFFS6M9TOVF","","","","{""Q0"":""It just looks like a mash of colors to me.""}","","","","","","","","","","","","","","","","","","","","","","",""
"7524.4000000059605","","image-slider-response","21","179335","0.0-21.0","A12TFFS6M9TOVF","","","","","-15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","184339","0.0-22.0","A12TFFS6M9TOVF","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3878","","image-button-response","23","188217","0.0-23.0","A12TFFS6M9TOVF","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2369","","image-button-response","24","190588","0.0-24.0-0.0","A12TFFS6M9TOVF","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6162","","image-button-response","25","196751","0.0-25.0-0.0","A12TFFS6M9TOVF","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","198254","0.0-26.0","A12TFFS6M9TOVF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-15","It just looks like a mash of colors to me.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Ben","This color reminds me of poo,-46,60,20","Carl","very calming artwork,42,80,20","0"
"33263","","survey-text","27","231519","0.0-27.0-0.0","A12TFFS6M9TOVF","","","","{""Q0"":""Looks like random brushstrokes or pieces of colored tape on a wall.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4210.5","","image-slider-response","28","235731","0.0-28.0","A12TFFS6M9TOVF","","","","","-20","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","240733","0.0-29.0","A12TFFS6M9TOVF","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3086","","image-button-response","30","243820","0.0-30.0","A12TFFS6M9TOVF","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4616","","image-button-response","31","248438","0.0-31.0-0.0","A12TFFS6M9TOVF","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2266","","image-button-response","32","250706","0.0-32.0-0.0","A12TFFS6M9TOVF","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","251208","0.0-33.0","A12TFFS6M9TOVF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-20","Looks like random brushstrokes or pieces of colored tape on a wall.","Adam,James,Ben,Carl,John,Kyle","too much color,-18,20,20","looks too angry,-50,140,20","meaningless painting,-45,60,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","Kyle","Idk, it is just annoying,-32,180,20","Ben","meaningless painting,-45,60,20","Adam","too much color,-18,20,20","0"
"22077","","survey-text","34","273288","0.0-34.0-0.0","A12TFFS6M9TOVF","","","","{""Q0"":""Random mix of paint strokes that have an \""icy\"" feel to them.""}","","","","","","","","","","","","","","","","","","","","","","",""
"11796.70000000298","","image-slider-response","35","285086","0.0-35.0","A12TFFS6M9TOVF","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","290088","0.0-36.0","A12TFFS6M9TOVF","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2621","","image-button-response","37","292710","0.0-37.0","A12TFFS6M9TOVF","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1396","","image-button-response","38","294108","0.0-38.0-0.0","A12TFFS6M9TOVF","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3340","","image-button-response","39","297450","0.0-39.0-0.0","A12TFFS6M9TOVF","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","298952","0.0-40.0","A12TFFS6M9TOVF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","5","Random mix of paint strokes that have an ""icy"" feel to them.","Adam,Sam,Ben,Mike,Ron,Kyle","My daily routine, it's depressing,-20,20,20","I can feel a rainy day from this painting,18,240,20","This thing gives me anxiety,-41,60,20","enjoy the different shades of blue,22,200,20","It looks depressing,-26,220,20","It looks like a playground for bats,-36,180,20","Mike","enjoy the different shades of blue,22,200,20","Kyle","It looks like a playground for bats,-36,180,20","Sam","I can feel a rainy day from this painting,18,240,20","0"
"17492","","image-button-response_instructions","41","316447","0.0-41.0","A12TFFS6M9TOVF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13951","","survey-likert","42","330399","0.0-42.0-0.0","A12TFFS6M9TOVF","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5036","","survey-text","43","335439","0.0-43.0-0.0","A12TFFS6M9TOVF","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"17355","","survey-text","44","352795","0.0-44.0-0.0","A12TFFS6M9TOVF","","","","{""Q0"":""Looks like a bird standing in a desert""}","","","","","","","","","","","","","","","","","","","","","","",""
