"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4736","external_page_harvard.html","external-html","0","5154","0.0-0.0","A14JPLG3WLKETC","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1524","","image-button-response","1","6681","0.0-1.0","A14JPLG3WLKETC","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1273","","image-button-response","2","7964","0.0-2.0-0.0","A14JPLG3WLKETC","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3383","","survey-text","3","11352","0.0-3.0-0.0","A14JPLG3WLKETC","","","","{""Q0"":""A14JPLG3WLKETC""}","","","","","","","","","","","","","","","","","","","","","","",""
"2473","","image-button-response_instructions","4","13830","0.0-4.0","A14JPLG3WLKETC","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11082","","image-button-response_instructions","5","24916","0.0-5.0","A14JPLG3WLKETC","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5252","","image-button-response_instructions","6","30171","0.0-6.0","A14JPLG3WLKETC","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4872","","image-button-response_instructions","7","35049","0.0-7.0","A14JPLG3WLKETC","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2255","","image-button-response_instructions","8","37307","0.0-8.0","A14JPLG3WLKETC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2058","","image-button-response_instructions","9","39366","0.0-9.0","A14JPLG3WLKETC","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2844","","image-button-response_instructions","10","42212","0.0-10.0","A14JPLG3WLKETC","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2236","","image-button-response_instructions","11","44453","0.0-11.0","A14JPLG3WLKETC","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
