"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11159","external_page_harvard.html","external-html","0","11251","0.0-0.0","A1591UKT6PC90Q","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2249","","image-button-response","1","13504","0.0-1.0","A1591UKT6PC90Q","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2304","","image-button-response","2","15817","0.0-2.0-0.0","A1591UKT6PC90Q","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7430","","survey-text","3","23250","0.0-3.0-0.0","A1591UKT6PC90Q","","","","{""Q0"":""A1591UKT6PC90Q""}","","","","","","","","","","","","","","","","","","","","","","",""
"20593","","image-button-response_instructions","4","43846","0.0-4.0","A1591UKT6PC90Q","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"26856","","image-button-response_instructions","5","70703","0.0-5.0","A1591UKT6PC90Q","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12827","","image-button-response_instructions","6","83532","0.0-6.0","A1591UKT6PC90Q","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12920","","image-button-response_instructions","7","96455","0.0-7.0","A1591UKT6PC90Q","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21209","","image-button-response_instructions","8","117665","0.0-8.0","A1591UKT6PC90Q","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6855","","image-button-response_instructions","9","124522","0.0-9.0","A1591UKT6PC90Q","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5916","","image-button-response_instructions","10","130440","0.0-10.0","A1591UKT6PC90Q","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6604","","image-button-response_instructions","11","137048","0.0-11.0","A1591UKT6PC90Q","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9857","","image-button-response_instructions","12","146908","0.0-12.0","A1591UKT6PC90Q","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16132","","image-button-response_instructions","13","163042","0.0-13.0","A1591UKT6PC90Q","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28784","","image-button-response_instructions","14","191828","0.0-14.0","A1591UKT6PC90Q","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7246","","image-button-response_instructions","15","199076","0.0-15.0","A1591UKT6PC90Q","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21634","","image-button-response_instructions","16","220711","0.0-16.0","A1591UKT6PC90Q","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6776","","image-button-response_instructions","17","227489","0.0-17.0","A1591UKT6PC90Q","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2853","","image-button-response_instructions","18","230344","0.0-18.0","A1591UKT6PC90Q","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7791","","survey-text","19","238174","0.0-19.0-0.0","A1591UKT6PC90Q","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"32835","","survey-text","20","271011","0.0-20.0-0.0","A1591UKT6PC90Q","","","","{""Q0"":""This piece makes me feel nostalgic.""}","","","","","","","","","","","","","","","","","","","","","","",""
"9953.600000023842","","image-slider-response","21","280969","0.0-21.0","A1591UKT6PC90Q","","","","","26","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","285976","0.0-22.0","A1591UKT6PC90Q","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"44311","","image-button-response","23","330291","0.0-23.0","A1591UKT6PC90Q","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"9714","","image-button-response","24","340009","0.0-24.0-0.0","A1591UKT6PC90Q","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6409","","image-button-response","25","346421","0.0-25.0-0.0","A1591UKT6PC90Q","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","347924","0.0-26.0","A1591UKT6PC90Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","26","This piece makes me feel nostalgic.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Erika","I like the sophisticated brushwork,40,100,20","0"
"20310","","survey-text","27","368241","0.0-27.0-0.0","A1591UKT6PC90Q","","","","{""Q0"":""Boldly foreboding.""}","","","","","","","","","","","","","","","","","","","","","","",""
"7964.100000023842","","image-slider-response","28","376208","0.0-28.0","A1591UKT6PC90Q","","","","","25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","381214","0.0-29.0","A1591UKT6PC90Q","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"35020","","image-button-response","30","416237","0.0-30.0","A1591UKT6PC90Q","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5150","","image-button-response","31","421390","0.0-31.0-0.0","A1591UKT6PC90Q","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1083","","image-button-response","32","422477","0.0-32.0-0.0","A1591UKT6PC90Q","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","422981","0.0-33.0","A1591UKT6PC90Q","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","25","Boldly foreboding.","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","Allison","I don't have strong feelings about this,10,20,20","Kara","I like the blocks of color arrangements,30,160,20","0"
"48352","","survey-text","34","471339","0.0-34.0-0.0","A1591UKT6PC90Q","","","","{""Q0"":""Cold and flashy.""}","","","","","","","","","","","","","","","","","","","","","","",""
