"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6950","external_page_harvard.html","external-html","0","7032","0.0-0.0","A16335MOISDG1F","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1383","","image-button-response","1","8416","0.0-1.0","A16335MOISDG1F","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3415","","image-button-response","2","11834","0.0-2.0-0.0","A16335MOISDG1F","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3662","","survey-text","3","15498","0.0-3.0-0.0","A16335MOISDG1F","","","","{""Q0"":""A16335MOISDG1F""}","","","","","","","","","","","","","","","","","","","","","","",""
"8140","","image-button-response_instructions","4","23639","0.0-4.0","A16335MOISDG1F","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"46560","","image-button-response_instructions","5","70201","0.0-5.0","A16335MOISDG1F","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7872","","image-button-response_instructions","6","78074","0.0-6.0","A16335MOISDG1F","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6012","","image-button-response_instructions","7","84087","0.0-7.0","A16335MOISDG1F","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11215","","image-button-response_instructions","8","95303","0.0-8.0","A16335MOISDG1F","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6341","","image-button-response_instructions","9","101645","0.0-9.0","A16335MOISDG1F","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5695","","image-button-response_instructions","10","107342","0.0-10.0","A16335MOISDG1F","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
