"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"18447","external_page_harvard.html","external-html","0","18653","0.0-0.0","A168B0VAQ1RXKB","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1991","","image-button-response","1","20650","0.0-1.0","A168B0VAQ1RXKB","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2162","","image-button-response","2","22826","0.0-2.0-0.0","A168B0VAQ1RXKB","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8788","","survey-text","3","31618","0.0-3.0-0.0","A168B0VAQ1RXKB","","","","{""Q0"":""A168B0VAQ1RXKB""}","","","","","","","","","","","","","","","","","","","","","","",""
"8690","","image-button-response_instructions","4","40315","0.0-4.0","A168B0VAQ1RXKB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24593","","image-button-response_instructions","5","64912","0.0-5.0","A168B0VAQ1RXKB","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7071","","image-button-response_instructions","6","71987","0.0-6.0","A168B0VAQ1RXKB","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5908","","image-button-response_instructions","7","77898","0.0-7.0","A168B0VAQ1RXKB","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5830","","image-button-response_instructions","8","83730","0.0-8.0","A168B0VAQ1RXKB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5588","","image-button-response_instructions","9","89322","0.0-9.0","A168B0VAQ1RXKB","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2733","","image-button-response_instructions","10","92058","0.0-10.0","A168B0VAQ1RXKB","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
