"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"164880","external_page_harvard.html","external-html","0","164980","0.0-0.0","A17AMTRIYI2Z2D","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1513","","image-button-response","1","166495","0.0-1.0","A17AMTRIYI2Z2D","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1962","","image-button-response","2","168462","0.0-2.0-0.0","A17AMTRIYI2Z2D","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4849","","survey-text","3","173312","0.0-3.0-0.0","A17AMTRIYI2Z2D","","","","{""Q0"":""A17AMTRIYI2Z2D""}","","","","","","","","","","","","","","","","","","","","","","",""
"12482","","image-button-response_instructions","4","185795","0.0-4.0","A17AMTRIYI2Z2D","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"49118","","image-button-response_instructions","5","234915","0.0-5.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7316","","image-button-response_instructions","6","242232","0.0-6.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7948","","image-button-response_instructions","7","250182","0.0-7.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"26682","","image-button-response_instructions","8","276865","0.0-8.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11249","","image-button-response_instructions","9","288115","0.0-9.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5232","","image-button-response_instructions","10","293348","0.0-10.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4565","","image-button-response_instructions","11","297916","0.0-11.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8379","","image-button-response_instructions","12","306296","0.0-12.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18898","","image-button-response_instructions","13","325195","0.0-13.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21250","","image-button-response_instructions","14","346446","0.0-14.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8948","","image-button-response_instructions","15","355396","0.0-15.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13286","","image-button-response_instructions","16","368683","0.0-16.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6965","","image-button-response_instructions","17","375649","0.0-17.0","A17AMTRIYI2Z2D","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1766","","image-button-response_instructions","18","377416","0.0-18.0","A17AMTRIYI2Z2D","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
