"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"208039","external_page_harvard.html","external-html","0","208152","0.0-0.0","A18E16UFE351U6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2359","","image-button-response","1","210514","0.0-1.0","A18E16UFE351U6","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2476","","image-button-response","2","213001","0.0-2.0-0.0","A18E16UFE351U6","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4590","","survey-text","3","217595","0.0-3.0-0.0","A18E16UFE351U6","","","","{""Q0"":""A18E16UFE351U6""}","","","","","","","","","","","","","","","","","","","","","","",""
"5770","","image-button-response_instructions","4","223369","0.0-4.0","A18E16UFE351U6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22840","","image-button-response_instructions","5","246210","0.0-5.0","A18E16UFE351U6","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7720","","image-button-response_instructions","6","253933","0.0-6.0","A18E16UFE351U6","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4962","","image-button-response_instructions","7","258897","0.0-7.0","A18E16UFE351U6","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22897","","image-button-response_instructions","8","281797","0.0-8.0","A18E16UFE351U6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7156","","image-button-response_instructions","9","288956","0.0-9.0","A18E16UFE351U6","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5128","","image-button-response_instructions","10","294087","0.0-10.0","A18E16UFE351U6","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2443","","image-button-response_instructions","11","296532","0.0-11.0","A18E16UFE351U6","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9370","","image-button-response_instructions","12","305903","0.0-12.0","A18E16UFE351U6","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23769","","image-button-response_instructions","13","329675","0.0-13.0","A18E16UFE351U6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8711","","image-button-response_instructions","14","338388","0.0-14.0","A18E16UFE351U6","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6450","","image-button-response_instructions","15","344841","0.0-15.0","A18E16UFE351U6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10003","","image-button-response_instructions","16","354845","0.0-16.0","A18E16UFE351U6","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3986","","image-button-response_instructions","17","358834","0.0-17.0","A18E16UFE351U6","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1978","","image-button-response_instructions","18","360815","0.0-18.0","A18E16UFE351U6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5744","","survey-text","19","366621","0.0-19.0-0.0","A18E16UFE351U6","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"26719","","survey-text","20","393344","0.0-20.0-0.0","A18E16UFE351U6","","","","{""Q0"":""It looks like water flowing over something.""}","","","","","","","","","","","","","","","","","","","","","","",""
"10176.100000143051","","image-slider-response","21","403525","0.0-21.0","A18E16UFE351U6","","","","","-3","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","408548","0.0-22.0","A18E16UFE351U6","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4328","","image-button-response","23","412880","0.0-23.0","A18E16UFE351U6","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6234","","image-button-response","24","419119","0.0-24.0-0.0","A18E16UFE351U6","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"8119","","image-button-response","25","427245","0.0-25.0-0.0","A18E16UFE351U6","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","427751","0.0-26.0","A18E16UFE351U6","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-3","It looks like water flowing over something.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Beth","This color reminds me of poo,-46,60,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"24985","","survey-text","27","452742","0.0-27.0-0.0","A18E16UFE351U6","","","","{""Q0"":""It reminds me of a broken brick wall.""}","","","","","","","","","","","","","","","","","","","","","","",""
