"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5425","external_page_harvard.html","external-html","0","6255","0.0-0.0","A197FECF831H95","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1725","","image-button-response","1","7984","0.0-1.0","A197FECF831H95","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1861","","image-button-response","2","9854","0.0-2.0-0.0","A197FECF831H95","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6933","","survey-text","3","16789","0.0-3.0-0.0","A197FECF831H95","","","","{""Q0"":""A197FECF831H95""}","","","","","","","","","","","","","","","","","","","","","","",""
"3033","","image-button-response_instructions","4","19826","0.0-4.0","A197FECF831H95","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8128","","image-button-response_instructions","5","27955","0.0-5.0","A197FECF831H95","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4100","","image-button-response_instructions","6","32057","0.0-6.0","A197FECF831H95","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9782","","image-button-response_instructions","7","41841","0.0-7.0","A197FECF831H95","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3064","","image-button-response_instructions","8","44907","0.0-8.0","A197FECF831H95","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3621","","image-button-response_instructions","9","48529","0.0-9.0","A197FECF831H95","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3475","","image-button-response_instructions","10","52005","0.0-10.0","A197FECF831H95","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3016","","image-button-response_instructions","11","55023","0.0-11.0","A197FECF831H95","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7261","","image-button-response_instructions","12","62285","0.0-12.0","A197FECF831H95","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7150","","image-button-response_instructions","13","69438","0.0-13.0","A197FECF831H95","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8476","","image-button-response_instructions","14","77917","0.0-14.0","A197FECF831H95","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4856","","image-button-response_instructions","15","82775","0.0-15.0","A197FECF831H95","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15196","","image-button-response_instructions","16","97973","0.0-16.0","A197FECF831H95","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2869","","image-button-response_instructions","17","100844","0.0-17.0","A197FECF831H95","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1576","","image-button-response_instructions","18","102421","0.0-18.0","A197FECF831H95","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5684","","survey-text","19","108142","0.0-19.0-0.0","A197FECF831H95","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"11295","","survey-text","20","119439","0.0-20.0-0.0","A197FECF831H95","","","","{""Q0"":""it looks like something a child painted""}","","","","","","","","","","","","","","","","","","","","","","",""
"5191","","image-slider-response","21","124635","0.0-21.0","A197FECF831H95","","","","","3","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","129651","0.0-22.0","A197FECF831H95","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1663","","image-button-response","23","131316","0.0-23.0","A197FECF831H95","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2785","","image-button-response","24","134101","0.0-24.0-0.0","A197FECF831H95","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3856","","image-button-response","25","137961","0.0-25.0-0.0","A197FECF831H95","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","138466","0.0-26.0","A197FECF831H95","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","3","it looks like something a child painted","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"11547","","survey-text","27","150025","0.0-27.0-0.0","A197FECF831H95","","","","{""Q0"":"" the colors are very bold""}","","","","","","","","","","","","","","","","","","","","","","",""
"3856","","image-slider-response","28","153885","0.0-28.0","A197FECF831H95","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","158895","0.0-29.0","A197FECF831H95","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"268","","image-button-response","30","159165","0.0-30.0","A197FECF831H95","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1425","","image-button-response","31","160593","0.0-31.0-0.0","A197FECF831H95","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1617","","image-button-response","32","162212","0.0-32.0-0.0","A197FECF831H95","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","163726","0.0-33.0","A197FECF831H95","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","11"," the colors are very bold","Allison,Jenna,Katie,Dora,Kara,Jen","I don't have strong feelings about this,10,20,20","One of my pet peevs,-48,140,20","too much color!,-28,180,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jen","It reminds me of a fireplace,36,120,20","Allison","I don't have strong feelings about this,10,20,20","0"
"9219","","survey-text","34","172955","0.0-34.0-0.0","A197FECF831H95","","","","{""Q0"":""it reminds me of the sea""}","","","","","","","","","","","","","","","","","","","","","","",""
"2893","","image-slider-response","35","175850","0.0-35.0","A197FECF831H95","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"1611","","image-button-response","36","180856","0.0-36.0","A197FECF831H95","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"982","","image-button-response","37","181839","0.0-37.0","A197FECF831H95","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2144","","image-button-response","38","183985","0.0-38.0-0.0","A197FECF831H95","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"978","","image-button-response","39","184965","0.0-39.0-0.0","A197FECF831H95","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
