"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"20318","external_page_harvard.html","external-html","0","20708","0.0-0.0","A1C0H8G0YI15MN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2170","","image-button-response","1","22883","0.0-1.0","A1C0H8G0YI15MN","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2240","","image-button-response","2","25138","0.0-2.0-0.0","A1C0H8G0YI15MN","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"20705","","survey-text","3","45846","0.0-3.0-0.0","A1C0H8G0YI15MN","","","","{""Q0"":""A1C0H8G0YI15MN""}","","","","","","","","","","","","","","","","","","","","","","",""
"8887","","image-button-response_instructions","4","54738","0.0-4.0","A1C0H8G0YI15MN","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21020","","image-button-response_instructions","5","75763","0.0-5.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15305","","image-button-response_instructions","6","91071","0.0-6.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8773","","image-button-response_instructions","7","99848","0.0-7.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"30816","","image-button-response_instructions","8","130667","0.0-8.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7586","","image-button-response_instructions","9","138256","0.0-9.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5578","","image-button-response_instructions","10","143836","0.0-10.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7023","","image-button-response_instructions","11","150861","0.0-11.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4677","","image-button-response_instructions","12","155541","0.0-12.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16191","","image-button-response_instructions","13","171734","0.0-13.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15211","","image-button-response_instructions","14","186949","0.0-14.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6503","","image-button-response_instructions","15","193455","0.0-15.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9277","","image-button-response_instructions","16","202734","0.0-16.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9197","","image-button-response_instructions","17","211935","0.0-17.0","A1C0H8G0YI15MN","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10330","","image-button-response_instructions","18","222268","0.0-18.0","A1C0H8G0YI15MN","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13260","","survey-text","19","235581","0.0-19.0-0.0","A1C0H8G0YI15MN","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
