"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"63052","external_page_harvard.html","external-html","0","63414","0.0-0.0","A1CKA1IAWYKASQ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1787","","image-button-response","1","65204","0.0-1.0","A1CKA1IAWYKASQ","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6279","","image-button-response","2","71490","0.0-2.0-0.0","A1CKA1IAWYKASQ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8258","","survey-text","3","79752","0.0-3.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""A1CKA1IAWYKASQ""}","","","","","","","","","","","","","","","","","","","","","","",""
"15424","","image-button-response_instructions","4","95179","0.0-4.0","A1CKA1IAWYKASQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"46526","","image-button-response_instructions","5","141707","0.0-5.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9606","","image-button-response_instructions","6","151315","0.0-6.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4743","","image-button-response_instructions","7","156060","0.0-7.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6350","","image-button-response_instructions","8","162412","0.0-8.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3276","","image-button-response_instructions","9","165690","0.0-9.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9281","","image-button-response_instructions","10","174973","0.0-10.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9788","","image-button-response_instructions","11","184763","0.0-11.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8813","","image-button-response_instructions","12","193579","0.0-12.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21237","","image-button-response_instructions","13","214819","0.0-13.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4102","","image-button-response_instructions","14","218923","0.0-14.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2237","","image-button-response_instructions","15","221163","0.0-15.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8519","","image-button-response_instructions","16","229684","0.0-16.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8118","","image-button-response_instructions","17","237804","0.0-17.0","A1CKA1IAWYKASQ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2422","","image-button-response_instructions","18","240227","0.0-18.0","A1CKA1IAWYKASQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8162","","survey-text","19","248428","0.0-19.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"17621","","survey-text","20","266053","0.0-20.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""I love the brushwork.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3554","","image-slider-response","21","269612","0.0-21.0","A1CKA1IAWYKASQ","","","","","21","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","274617","0.0-22.0","A1CKA1IAWYKASQ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"15856","","image-button-response","23","290478","0.0-23.0","A1CKA1IAWYKASQ","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3050","","image-button-response","24","293536","0.0-24.0-0.0","A1CKA1IAWYKASQ","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3847","","image-button-response","25","297390","0.0-25.0-0.0","A1CKA1IAWYKASQ","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","298423","0.0-26.0","A1CKA1IAWYKASQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","21","I love the brushwork.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Alex","very creative work.,36,40,20","0"
"11895","","survey-text","27","310325","0.0-27.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""This art is creative""}","","","","","","","","","","","","","","","","","","","","","","",""
"4419","","image-slider-response","28","314748","0.0-28.0","A1CKA1IAWYKASQ","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"2477","","image-button-response","29","319753","0.0-29.0","A1CKA1IAWYKASQ","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1424","","image-button-response","30","321181","0.0-30.0","A1CKA1IAWYKASQ","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2892","","image-button-response","31","324077","0.0-31.0-0.0","A1CKA1IAWYKASQ","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2650","","image-button-response","32","326733","0.0-32.0-0.0","A1CKA1IAWYKASQ","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","328234","0.0-33.0","A1CKA1IAWYKASQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","13","This art is creative","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","Carl","I can feel the artist's passion in it,45,80,20","0"
"13213","","survey-text","34","341455","0.0-34.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""sophisticated brush work.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6003","","image-slider-response","35","347461","0.0-35.0","A1CKA1IAWYKASQ","","","","","37","","","","","","","","","","","","","","","","","","","","","",""
"3271","","image-button-response","36","352465","0.0-36.0","A1CKA1IAWYKASQ","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1128","","image-button-response","37","353597","0.0-37.0","A1CKA1IAWYKASQ","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5108","","image-button-response","38","358708","0.0-38.0-0.0","A1CKA1IAWYKASQ","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"853","","image-button-response","39","359565","0.0-39.0-0.0","A1CKA1IAWYKASQ","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","360566","0.0-40.0","A1CKA1IAWYKASQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","37","sophisticated brush work.","Mike,Sam,Ron,Carl,John,Jack","enjoy the different shades of blue,22,200,20","I can feel a rainy day from this painting,18,240,20","It looks depressing,-26,220,20","It's an alright work,15,80,20","I like the overlapping of brushes,41,160,20","I feel connected to the artist,40,120,20","John","I like the overlapping of brushes,41,160,20","Sam","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","0"
"6878","","image-button-response_instructions","41","367452","0.0-41.0","A1CKA1IAWYKASQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"32470","","survey-likert","42","399926","0.0-42.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":"""",""Q1"":0,""Q2"":0}","","","","","","","","","","","","","","","","","","","","","","",""
"7477","","survey-likert","43","413092","0.0-42.1-0.1","A1CKA1IAWYKASQ","","","","{""Q0"":"""",""Q1"":1,""Q2"":0}","","","","","","","","","","","","","","","","","","","","","","",""
"3102","","survey-likert","44","418701","0.0-42.2-0.2","A1CKA1IAWYKASQ","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4237","","survey-text","45","422948","0.0-43.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"13390","","survey-text","46","436342","0.0-44.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""This art is creative""}","","","","","","","","","","","","","","","","","","","","","","",""
"5270","","image-slider-response","47","441615","0.0-45.0","A1CKA1IAWYKASQ","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"4170","","image-button-response","48","446652","0.0-46.0","A1CKA1IAWYKASQ","img_art/28.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4038","","image-button-response","49","450694","0.0-47.0","A1CKA1IAWYKASQ","img_art/28.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"940","","image-button-response","50","451639","0.0-48.0-0.0","A1CKA1IAWYKASQ","img_art/28.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5050","","image-button-response","51","456694","0.0-49.0-0.0","A1CKA1IAWYKASQ","img_art/28.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","52","458199","0.0-50.0","A1CKA1IAWYKASQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/28.jpg","29","This art is creative","Benjamin,Caleb,Victor,Edward,Brian,Shane","Colors are too dull.,-30,260,20","White and dark balance is way off- Seems dull.,-33,40,20","Almost looks like child's artwork, sloppy and chaotic,6,340,20","Salvador Dali called and he thinks this looks pretty good,27,60,20","the people kind of scare me in this one,-15,380,20","This is also something I would see in a serious but safe environment,14,80,20","Victor","Almost looks like child's artwork, sloppy and chaotic,6,340,20","Shane","This is also something I would see in a serious but safe environment,14,80,20","Edward","Salvador Dali called and he thinks this looks pretty good,27,60,20","2"
"17663","","survey-text","53","475872","0.0-51.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""This art is cultivated""}","","","","","","","","","","","","","","","","","","","","","","",""
"4419","","image-slider-response","54","480292","0.0-52.0","A1CKA1IAWYKASQ","","","","","3","","","","","","","","","","","","","","","","","","","","","",""
"2710","","image-button-response","55","485295","0.0-53.0","A1CKA1IAWYKASQ","img_art/16.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2587","","image-button-response","56","487886","0.0-54.0","A1CKA1IAWYKASQ","img_art/16.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1340","","image-button-response","57","489229","0.0-55.0-0.0","A1CKA1IAWYKASQ","img_art/16.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4636","","image-button-response","58","493869","0.0-56.0-0.0","A1CKA1IAWYKASQ","img_art/16.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","59","494871","0.0-57.0","A1CKA1IAWYKASQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/16.jpg","3","This art is cultivated","Dustin,Matthew,Victor,Edward,Brendan,Shane","Upsetting and disturbing. Random bear and indistinguishable objects. None of it goes together. Too chaotic and random,-50,20,20","A lot fo these could abstract or childrens work.,23,120,20","I don't know why, I just don't like it,-28,340,20","It feels lazily done,-9,60,20","cool teddy bear,50,340,20","This looks chaotic,-25,80,20","Brendan","cool teddy bear,50,340,20","Matthew","A lot fo these could abstract or childrens work.,23,120,20","Edward","It feels lazily done,-9,60,20","2"
"32859","","survey-text","60","527742","0.0-58.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""This art is looks like nature.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3524","","image-slider-response","61","531269","0.0-59.0","A1CKA1IAWYKASQ","","","","","-23","","","","","","","","","","","","","","","","","","","","","",""
"2930","","image-button-response","62","536276","0.0-60.0","A1CKA1IAWYKASQ","img_art/15.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1047","","image-button-response","63","537326","0.0-61.0","A1CKA1IAWYKASQ","img_art/15.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1093","","image-button-response","64","538422","0.0-62.0-0.0","A1CKA1IAWYKASQ","img_art/15.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"691","","image-button-response","65","539118","0.0-63.0-0.0","A1CKA1IAWYKASQ","img_art/15.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","66","540621","0.0-64.0","A1CKA1IAWYKASQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","3","img_art/15.jpg","-23","This art is looks like nature.","Luke,Matthew,Tristan,Edward,Brendan,Kyle","it looks like trees but they are up to interpretation,16,20,20","I think of birds, nature, levels of space.,18,120,20","basic colors and pleasing shapes providing a calming effect,15,300,20","Reminds me of lilacs,26,60,20","some trees in the forest,15,340,20","I like it as the colors complement each other well,21,340,20","Matthew","I think of birds, nature, levels of space.,18,120,20","Edward","Reminds me of lilacs,26,60,20","Kyle","I like it as the colors complement each other well,21,340,20","2"
"9543","","survey-text","67","550173","0.0-65.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""sophisticated brush work.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4302","","image-slider-response","68","554478","0.0-66.0","A1CKA1IAWYKASQ","","","","","45","","","","","","","","","","","","","","","","","","","","","",""
"4011","","image-button-response","69","559482","0.0-67.0","A1CKA1IAWYKASQ","img_art/12.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1274","","image-button-response","70","560760","0.0-68.0","A1CKA1IAWYKASQ","img_art/12.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1634","","image-button-response","71","562398","0.0-69.0-0.0","A1CKA1IAWYKASQ","img_art/12.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1988","","image-button-response","72","564389","0.0-70.0-0.0","A1CKA1IAWYKASQ","img_art/12.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","73","565893","0.0-71.0","A1CKA1IAWYKASQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","4","img_art/12.jpg","45","sophisticated brush work.","Brandon,Matthew,Nathan,Edward,Christian,Kyle","I like the cubic feel.,11,320,20","It's boxy, cubist immpressionism? Very ncie.,32,120,20","Kind of interesting, seems almost nostalgic in a way to me.,10,200,20","It looks like old lady upholstery,12,60,20","so many different available interpretations for this, would love to closer.,24,140,20","It's just not my style,-18,340,20","Matthew","It's boxy, cubist immpressionism? Very ncie.,32,120,20","Christian","so many different available interpretations for this, would love to closer.,24,140,20","Edward","It looks like old lady upholstery,12,60,20","2"
"13169","","survey-text","74","579069","0.0-72.0-0.0","A1CKA1IAWYKASQ","","","","{""Q0"":""This art is graceful""}","","","","","","","","","","","","","","","","","","","","","","",""
"2846","","image-slider-response","75","581917","0.0-73.0","A1CKA1IAWYKASQ","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","76","586921","0.0-74.0","A1CKA1IAWYKASQ","img_art/14.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
