"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"3981","external_page_harvard.html","external-html","0","4092","0.0-0.0","A1DIW2K1J89CMO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1108","","image-button-response","1","5202","0.0-1.0","A1DIW2K1J89CMO","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1129","","image-button-response","2","6336","0.0-2.0-0.0","A1DIW2K1J89CMO","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5273","","survey-text","3","11611","0.0-3.0-0.0","A1DIW2K1J89CMO","","","","{""Q0"":""A1DIW2K1J89CMO""}","","","","","","","","","","","","","","","","","","","","","","",""
"2868","","image-button-response_instructions","4","14482","0.0-4.0","A1DIW2K1J89CMO","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4691","","image-button-response_instructions","5","19174","0.0-5.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2104","","image-button-response_instructions","6","21279","0.0-6.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1431","","image-button-response_instructions","7","22712","0.0-7.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3173","","image-button-response_instructions","8","25886","0.0-8.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1877","","image-button-response_instructions","9","27764","0.0-9.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1527","","image-button-response_instructions","10","29292","0.0-10.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1625","","image-button-response_instructions","11","30918","0.0-11.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4486","","image-button-response_instructions","12","35404","0.0-12.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4791","","image-button-response_instructions","13","40197","0.0-13.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6125","","image-button-response_instructions","14","46323","0.0-14.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2087","","image-button-response_instructions","15","48411","0.0-15.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13863","","image-button-response_instructions","16","62275","0.0-16.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2580","","image-button-response_instructions","17","64856","0.0-17.0","A1DIW2K1J89CMO","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"927","","image-button-response_instructions","18","65785","0.0-18.0","A1DIW2K1J89CMO","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4741","","survey-text","19","70547","0.0-19.0-0.0","A1DIW2K1J89CMO","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"22308","","survey-text","20","92856","0.0-20.0-0.0","A1DIW2K1J89CMO","","","","{""Q0"":""This reminds me of when you dream and you wake up and can't remember what the dream was about.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2497.5","","image-slider-response","21","95356","0.0-21.0","A1DIW2K1J89CMO","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","100360","0.0-22.0","A1DIW2K1J89CMO","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1493","","image-button-response","23","101854","0.0-23.0","A1DIW2K1J89CMO","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2459","","image-button-response","24","104315","0.0-24.0-0.0","A1DIW2K1J89CMO","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1005","","image-button-response","25","105321","0.0-25.0-0.0","A1DIW2K1J89CMO","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
