"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"24559","external_page_harvard.html","external-html","0","24663","0.0-0.0","A1GKD3NG1NNHRP","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2335","","image-button-response","1","26998","0.0-1.0","A1GKD3NG1NNHRP","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2340","","image-button-response","2","29341","0.0-2.0-0.0","A1GKD3NG1NNHRP","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8904","","survey-text","3","38246","0.0-3.0-0.0","A1GKD3NG1NNHRP","","","","{""Q0"":""A1GKD3NG1NNHRP""}","","","","","","","","","","","","","","","","","","","","","","",""
"7638","","image-button-response_instructions","4","45886","0.0-4.0","A1GKD3NG1NNHRP","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"66295","","image-button-response_instructions","5","112183","0.0-5.0","A1GKD3NG1NNHRP","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3463","","image-button-response_instructions","6","115646","0.0-6.0","A1GKD3NG1NNHRP","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6142","","image-button-response_instructions","7","121790","0.0-7.0","A1GKD3NG1NNHRP","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2687","","image-button-response_instructions","8","124478","0.0-8.0","A1GKD3NG1NNHRP","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1951","","image-button-response_instructions","9","126430","0.0-9.0","A1GKD3NG1NNHRP","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
