"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5056","external_page_harvard.html","external-html","0","5203","0.0-0.0","A1IS0218RVG60K","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1591","","image-button-response","1","6801","0.0-1.0","A1IS0218RVG60K","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7598","","image-button-response","2","14418","0.0-2.0-0.0","A1IS0218RVG60K","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5303","","survey-text","3","19725","0.0-3.0-0.0","A1IS0218RVG60K","","","","{""Q0"":""A1IS0218RVG60K""}","","","","","","","","","","","","","","","","","","","","","","",""
"27376","","image-button-response_instructions","4","47106","0.0-4.0","A1IS0218RVG60K","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4244","","image-button-response_instructions","5","51354","0.0-5.0","A1IS0218RVG60K","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2033","","image-button-response_instructions","6","53391","0.0-6.0","A1IS0218RVG60K","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2073","","image-button-response_instructions","7","55468","0.0-7.0","A1IS0218RVG60K","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9394","","image-button-response_instructions","8","64866","0.0-8.0","A1IS0218RVG60K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1558","","image-button-response_instructions","9","66430","0.0-9.0","A1IS0218RVG60K","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1133","","image-button-response_instructions","10","67566","0.0-10.0","A1IS0218RVG60K","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1465","","image-button-response_instructions","11","69034","0.0-11.0","A1IS0218RVG60K","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7079","","image-button-response_instructions","12","76116","0.0-12.0","A1IS0218RVG60K","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6284","","image-button-response_instructions","13","82404","0.0-13.0","A1IS0218RVG60K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7065","","image-button-response_instructions","14","89472","0.0-14.0","A1IS0218RVG60K","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1883","","image-button-response_instructions","15","91359","0.0-15.0","A1IS0218RVG60K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7599","","image-button-response_instructions","16","98962","0.0-16.0","A1IS0218RVG60K","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2256","","image-button-response_instructions","17","101222","0.0-17.0","A1IS0218RVG60K","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1510","","image-button-response_instructions","18","102735","0.0-18.0","A1IS0218RVG60K","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8218","","survey-text","19","111015","0.0-19.0-0.0","A1IS0218RVG60K","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19985","","survey-text","20","131005","0.0-20.0-0.0","A1IS0218RVG60K","","","","{""Q0"":""I like the color palette""}","","","","","","","","","","","","","","","","","","","","","","",""
"5151.5","","image-slider-response","21","136165","0.0-21.0","A1IS0218RVG60K","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","141173","0.0-22.0","A1IS0218RVG60K","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7086","","image-button-response","23","148264","0.0-23.0","A1IS0218RVG60K","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"8363","","image-button-response","24","156633","0.0-24.0-0.0","A1IS0218RVG60K","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4667","","image-button-response","25","161306","0.0-25.0-0.0","A1IS0218RVG60K","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3385","","image-button-response","26","168433","0.0-25.1-0.1","A1IS0218RVG60K","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","169437","0.0-26.0","A1IS0218RVG60K","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","11","I like the color palette","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Jack","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","2"
"11103","","survey-text","28","180554","0.0-27.0-0.0","A1IS0218RVG60K","","","","{""Q0"":""Feels rather oppressive to me""}","","","","","","","","","","","","","","","","","","","","","","",""
"2944.5999999996275","","image-slider-response","29","183503","0.0-28.0","A1IS0218RVG60K","","","","","-20","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","30","188509","0.0-29.0","A1IS0218RVG60K","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3146","","image-button-response","31","191660","0.0-30.0","A1IS0218RVG60K","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2040","","image-button-response","32","193706","0.0-31.0-0.0","A1IS0218RVG60K","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
