"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7690","external_page_harvard.html","external-html","0","8129","0.0-0.0","A1LXVV3UW6H7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18788","","image-button-response","1","26923","0.0-1.0","A1LXVV3UW6H7","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1585","","image-button-response","2","28522","0.0-2.0-0.0","A1LXVV3UW6H7","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"23254","","survey-text","3","51786","0.0-3.0-0.0","A1LXVV3UW6H7","","","","{""Q0"":""A1LXVV3UW6H7""}","","","","","","","","","","","","","","","","","","","","","","",""
"2643","","image-button-response_instructions","4","54433","0.0-4.0","A1LXVV3UW6H7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"43479","","image-button-response_instructions","5","97915","0.0-5.0","A1LXVV3UW6H7","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5941","","image-button-response_instructions","6","103860","0.0-6.0","A1LXVV3UW6H7","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3630","","image-button-response_instructions","7","107493","0.0-7.0","A1LXVV3UW6H7","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2282","","image-button-response_instructions","8","109787","0.0-8.0","A1LXVV3UW6H7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1906","","image-button-response_instructions","9","111697","0.0-9.0","A1LXVV3UW6H7","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1696","","image-button-response_instructions","10","113396","0.0-10.0","A1LXVV3UW6H7","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1618","","image-button-response_instructions","11","115015","0.0-11.0","A1LXVV3UW6H7","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1576","","image-button-response_instructions","12","116594","0.0-12.0","A1LXVV3UW6H7","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1640","","image-button-response_instructions","13","118237","0.0-13.0","A1LXVV3UW6H7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2395","","image-button-response_instructions","14","120635","0.0-14.0","A1LXVV3UW6H7","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1857","","image-button-response_instructions","15","122497","0.0-15.0","A1LXVV3UW6H7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4757","","image-button-response_instructions","16","127256","0.0-16.0","A1LXVV3UW6H7","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1662","","image-button-response_instructions","17","128921","0.0-17.0","A1LXVV3UW6H7","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1705","","image-button-response_instructions","18","130628","0.0-18.0","A1LXVV3UW6H7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10124","","survey-text","19","140795","0.0-19.0-0.0","A1LXVV3UW6H7","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"10754","","survey-text","20","151554","0.0-20.0-0.0","A1LXVV3UW6H7","","","","{""Q0"":""Like""}","","","","","","","","","","","","","","","","","","","","","","",""
"12051","","survey-text","21","165576","0.0-20.1-0.1","A1LXVV3UW6H7","","","","{""Q0"":""To the very like the art""}","","","","","","","","","","","","","","","","","","","","","","",""
"2938","","image-slider-response","22","168520","0.0-21.0","A1LXVV3UW6H7","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"1791","","image-button-response","23","173530","0.0-22.0","A1LXVV3UW6H7","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"125","","image-button-response","24","173659","0.0-23.0","A1LXVV3UW6H7","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"265","","image-button-response","25","173929","0.0-24.0-0.0","A1LXVV3UW6H7","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3505","","image-button-response","26","177441","0.0-25.0-0.0","A1LXVV3UW6H7","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"925","","image-button-response","27","181502","0.0-25.1-0.1","A1LXVV3UW6H7","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","28","183008","0.0-26.0","A1LXVV3UW6H7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","29","To the very like the art","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Alex","very creative work.,36,40,20","Adam","Seems like doodles,-20,20,20","2"
"9093","","survey-text","29","192118","0.0-27.0-0.0","A1LXVV3UW6H7","","","","{""Q0"":""There are most well""}","","","","","","","","","","","","","","","","","","","","","","",""
"2937","","image-slider-response","30","195060","0.0-28.0","A1LXVV3UW6H7","","","","","40","","","","","","","","","","","","","","","","","","","","","",""
"3094","","image-button-response","31","200067","0.0-29.0","A1LXVV3UW6H7","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1390","","image-button-response","32","201463","0.0-30.0","A1LXVV3UW6H7","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1628","","image-button-response","33","203101","0.0-31.0-0.0","A1LXVV3UW6H7","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1393","","image-button-response","34","204500","0.0-32.0-0.0","A1LXVV3UW6H7","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","35","205504","0.0-33.0","A1LXVV3UW6H7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","40","There are most well","Adam,Alex,Ben,James,John,Kyle","too much color,-18,20,20","I like the blocks of color arrangements,30,40,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","Kyle","Idk, it is just annoying,-32,180,20","Ben","meaningless painting,-45,60,20","Adam","too much color,-18,20,20","2"
