"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"368778","external_page_harvard.html","external-html","0","369340","0.0-0.0","A1PF1T680LSXQ5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2135","","image-button-response","1","371479","0.0-1.0","A1PF1T680LSXQ5","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2849","","image-button-response","2","374344","0.0-2.0-0.0","A1PF1T680LSXQ5","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7608","","survey-text","3","381955","0.0-3.0-0.0","A1PF1T680LSXQ5","","","","{""Q0"":""A1PF1T680LSXQ5""}","","","","","","","","","","","","","","","","","","","","","","",""
"8889","","image-button-response_instructions","4","390848","0.0-4.0","A1PF1T680LSXQ5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3209","","image-button-response_instructions","5","394061","0.0-5.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4954","","image-button-response_instructions","6","399026","0.0-6.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12977","","image-button-response_instructions","7","412019","0.0-7.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5318","","image-button-response_instructions","8","417341","0.0-8.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5160","","image-button-response_instructions","9","422525","0.0-9.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4427","","image-button-response_instructions","10","426958","0.0-10.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2518","","image-button-response_instructions","11","429480","0.0-11.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4025","","image-button-response_instructions","12","433507","0.0-12.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6475","","image-button-response_instructions","13","439989","0.0-13.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13201","","image-button-response_instructions","14","453193","0.0-14.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2872","","image-button-response_instructions","15","456070","0.0-15.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5254","","image-button-response_instructions","16","461327","0.0-16.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1776","","image-button-response_instructions","17","463106","0.0-17.0","A1PF1T680LSXQ5","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2087","","image-button-response_instructions","18","465213","0.0-18.0","A1PF1T680LSXQ5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12271","","survey-text","19","477528","0.0-19.0-0.0","A1PF1T680LSXQ5","","","","{""Q0"":""BUT""}","","","","","","","","","","","","","","","","","","","","","","",""
"12755","","survey-text","20","510928","0.0-19.1-0.1","A1PF1T680LSXQ5","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"39844","","survey-text","21","550776","0.0-20.0-0.0","A1PF1T680LSXQ5","","","","{""Q0"":""To feel the art is to tell some . But what is that I don't know.""}","","","","","","","","","","","","","","","","","","","","","","",""
"7296","","image-slider-response","22","558083","0.0-21.0","A1PF1T680LSXQ5","","","","","-18","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","23","563103","0.0-22.0","A1PF1T680LSXQ5","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"12131","","image-button-response","24","575242","0.0-23.0","A1PF1T680LSXQ5","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"8932","","image-button-response","25","584188","0.0-24.0-0.0","A1PF1T680LSXQ5","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
