"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"21645","external_page_harvard.html","external-html","0","21909","0.0-0.0","A1Q0G8JA5EZ8EI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1970","","image-button-response","1","23883","0.0-1.0","A1Q0G8JA5EZ8EI","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2165","","image-button-response","2","26056","0.0-2.0-0.0","A1Q0G8JA5EZ8EI","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5996","","survey-text","3","32056","0.0-3.0-0.0","A1Q0G8JA5EZ8EI","","","","{""Q0"":""A1Q0G8JA5EZ8EI""}","","","","","","","","","","","","","","","","","","","","","","",""
"8023","","image-button-response_instructions","4","40082","0.0-4.0","A1Q0G8JA5EZ8EI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13471","","image-button-response_instructions","5","53555","0.0-5.0","A1Q0G8JA5EZ8EI","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10094","","image-button-response_instructions","6","63651","0.0-6.0","A1Q0G8JA5EZ8EI","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5053","","image-button-response_instructions","7","68706","0.0-7.0","A1Q0G8JA5EZ8EI","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7103","","image-button-response_instructions","8","75811","0.0-8.0","A1Q0G8JA5EZ8EI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6266","","image-button-response_instructions","9","82080","0.0-9.0","A1Q0G8JA5EZ8EI","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3550","","image-button-response_instructions","10","85632","0.0-10.0","A1Q0G8JA5EZ8EI","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3291","","image-button-response_instructions","11","88926","0.0-11.0","A1Q0G8JA5EZ8EI","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
