"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"10437","external_page_harvard.html","external-html","0","10541","0.0-0.0","A1QW2XUJ7KZCV5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1832","","image-button-response","1","12375","0.0-1.0","A1QW2XUJ7KZCV5","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1322","","image-button-response","2","13702","0.0-2.0-0.0","A1QW2XUJ7KZCV5","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"11197","","survey-text","3","24901","0.0-3.0-0.0","A1QW2XUJ7KZCV5","","","","{""Q0"":""A1QW2XUJ7KZCV5""}","","","","","","","","","","","","","","","","","","","","","","",""
"8849","","image-button-response_instructions","4","33752","0.0-4.0","A1QW2XUJ7KZCV5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19256","","image-button-response_instructions","5","53010","0.0-5.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7894","","image-button-response_instructions","6","60905","0.0-6.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8206","","image-button-response_instructions","7","69113","0.0-7.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15127","","image-button-response_instructions","8","84242","0.0-8.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6341","","image-button-response_instructions","9","90584","0.0-9.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5162","","image-button-response_instructions","10","95748","0.0-10.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4105","","image-button-response_instructions","11","99855","0.0-11.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6188","","image-button-response_instructions","12","106044","0.0-12.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14684","","image-button-response_instructions","13","120729","0.0-13.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15419","","image-button-response_instructions","14","136150","0.0-14.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6473","","image-button-response_instructions","15","142625","0.0-15.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9617","","image-button-response_instructions","16","152244","0.0-16.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4795","","image-button-response_instructions","17","157040","0.0-17.0","A1QW2XUJ7KZCV5","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1687","","image-button-response_instructions","18","158728","0.0-18.0","A1QW2XUJ7KZCV5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8443","","survey-text","19","167194","0.0-19.0-0.0","A1QW2XUJ7KZCV5","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"63243","","survey-text","20","230439","0.0-20.0-0.0","A1QW2XUJ7KZCV5","","","","{""Q0"":""This reminds me of Neapolitan ice cream.""}","","","","","","","","","","","","","","","","","","","","","","",""
"8269.700000047684","","image-slider-response","21","238711","0.0-21.0","A1QW2XUJ7KZCV5","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
