"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"20096","external_page_harvard.html","external-html","0","20233","0.0-0.0","A1S9N071I5RPE9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1708","","image-button-response","1","21949","0.0-1.0","A1S9N071I5RPE9","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1426","","image-button-response","2","23403","0.0-2.0-0.0","A1S9N071I5RPE9","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"12198","","survey-text","3","35612","0.0-3.0-0.0","A1S9N071I5RPE9","","","","{""Q0"":""A1S9N071I5RPE9""}","","","","","","","","","","","","","","","","","","","","","","",""
"13359","","image-button-response_instructions","4","48981","0.0-4.0","A1S9N071I5RPE9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24988","","image-button-response_instructions","5","73986","0.0-5.0","A1S9N071I5RPE9","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"80833","","image-button-response_instructions","6","154832","0.0-6.0","A1S9N071I5RPE9","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"145585","","image-button-response_instructions","7","300426","0.0-7.0","A1S9N071I5RPE9","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5616","","image-button-response_instructions","8","306048","0.0-8.0","A1S9N071I5RPE9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2348","","image-button-response_instructions","9","308408","0.0-9.0","A1S9N071I5RPE9","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2468","","image-button-response_instructions","10","310882","0.0-10.0","A1S9N071I5RPE9","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1782","","image-button-response_instructions","11","312676","0.0-11.0","A1S9N071I5RPE9","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19925","","image-button-response_instructions","12","332613","0.0-12.0","A1S9N071I5RPE9","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3683","","image-button-response_instructions","13","336304","0.0-13.0","A1S9N071I5RPE9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"304704","","image-button-response_instructions","14","641017","0.0-14.0","A1S9N071I5RPE9","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"38963","","image-button-response_instructions","15","679992","0.0-15.0","A1S9N071I5RPE9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
