"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7766","external_page_harvard.html","external-html","0","7878","0.0-0.0","A1SHLWKA0UH1IS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1550","","image-button-response","1","9429","0.0-1.0","A1SHLWKA0UH1IS","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1805","","image-button-response","2","11236","0.0-2.0-0.0","A1SHLWKA0UH1IS","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2103","","survey-text","3","13341","0.0-3.0-0.0","A1SHLWKA0UH1IS","","","","{""Q0"":""A1SHLWKA0UH1IS""}","","","","","","","","","","","","","","","","","","","","","","",""
"4918","","image-button-response_instructions","4","18260","0.0-4.0","A1SHLWKA0UH1IS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15263","","image-button-response_instructions","5","33524","0.0-5.0","A1SHLWKA0UH1IS","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3224","","image-button-response_instructions","6","36750","0.0-6.0","A1SHLWKA0UH1IS","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2709","","image-button-response_instructions","7","39461","0.0-7.0","A1SHLWKA0UH1IS","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3888","","image-button-response_instructions","8","43349","0.0-8.0","A1SHLWKA0UH1IS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1599","","image-button-response_instructions","9","44949","0.0-9.0","A1SHLWKA0UH1IS","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1975","","image-button-response_instructions","10","46925","0.0-10.0","A1SHLWKA0UH1IS","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1335","","image-button-response_instructions","11","48261","0.0-11.0","A1SHLWKA0UH1IS","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
