"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"9784","external_page_harvard.html","external-html","0","9794","0.0-0.0","A1SMVF4MXT0RIH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61964","","image-button-response","1","71760","0.0-1.0","A1SMVF4MXT0RIH","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3744","","image-button-response","2","75512","0.0-2.0-0.0","A1SMVF4MXT0RIH","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"143217","","survey-text","3","218730","0.0-3.0-0.0","A1SMVF4MXT0RIH","","","","{""Q0"":""A1SMVF4MXT0RIH""}","","","","","","","","","","","","","","","","","","","","","","",""
"2067","","image-button-response_instructions","4","220800","0.0-4.0","A1SMVF4MXT0RIH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4453","","image-button-response_instructions","5","225255","0.0-5.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2365","","image-button-response_instructions","6","227622","0.0-6.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4935","","image-button-response_instructions","7","232558","0.0-7.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1968","","image-button-response_instructions","8","234529","0.0-8.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7154","","image-button-response_instructions","9","241685","0.0-9.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3039","","image-button-response_instructions","10","244725","0.0-10.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2047","","image-button-response_instructions","11","246774","0.0-11.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1864","","image-button-response_instructions","12","248640","0.0-12.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1740","","image-button-response_instructions","13","250382","0.0-13.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1809","","image-button-response_instructions","14","252193","0.0-14.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1612","","image-button-response_instructions","15","253806","0.0-15.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1998","","image-button-response_instructions","16","255806","0.0-16.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"96192","","image-button-response_instructions","17","352000","0.0-17.0","A1SMVF4MXT0RIH","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1676","","image-button-response_instructions","18","353678","0.0-18.0","A1SMVF4MXT0RIH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14666","","survey-text","19","368376","0.0-19.0-0.0","A1SMVF4MXT0RIH","","","","{""Q0"":""BUT""}","","","","","","","","","","","","","","","","","","","","","","",""
"4497","","survey-text","20","377399","0.0-19.1-0.1","A1SMVF4MXT0RIH","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"13582","","survey-text","21","390982","0.0-20.0-0.0","A1SMVF4MXT0RIH","","","","{""Q0"":""It looks amazing to watch.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3973.5","","image-slider-response","22","394958","0.0-21.0","A1SMVF4MXT0RIH","","","","","17","","","","","","","","","","","","","","","","","","","","","",""
"3622","","image-button-response","23","399967","0.0-22.0","A1SMVF4MXT0RIH","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6720","","image-button-response","24","406689","0.0-23.0","A1SMVF4MXT0RIH","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3371","","image-button-response","25","410062","0.0-24.0-0.0","A1SMVF4MXT0RIH","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1679","","image-button-response","26","411745","0.0-25.0-0.0","A1SMVF4MXT0RIH","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","412247","0.0-26.0","A1SMVF4MXT0RIH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","17","It looks amazing to watch.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Alex","very creative work.,36,40,20","1"
"104845","","survey-text","28","517097","0.0-27.0-0.0","A1SMVF4MXT0RIH","","","","{""Q0"":""It was awesome to watch.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4644.899999856949","","image-slider-response","29","521744","0.0-28.0","A1SMVF4MXT0RIH","","","","","27","","","","","","","","","","","","","","","","","","","","","",""
"1947","","image-button-response","30","526750","0.0-29.0","A1SMVF4MXT0RIH","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"760","","image-button-response","31","527512","0.0-30.0","A1SMVF4MXT0RIH","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6832","","image-button-response","32","534346","0.0-31.0-0.0","A1SMVF4MXT0RIH","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1331","","image-button-response","33","535680","0.0-32.0-0.0","A1SMVF4MXT0RIH","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","536182","0.0-33.0","A1SMVF4MXT0RIH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","27","It was awesome to watch.","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","Alex","I like the blocks of color arrangements,30,40,20","1"
"28838","","survey-text","35","565024","0.0-34.0-0.0","A1SMVF4MXT0RIH","","","","{""Q0"":""It was not good to look.""}","","","","","","","","","","","","","","","","","","","","","","",""
"18797.60000014305","","image-slider-response","36","583824","0.0-35.0","A1SMVF4MXT0RIH","","","","","-22","","","","","","","","","","","","","","","","","","","","","",""
