"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4097","external_page_harvard.html","external-html","0","4166","0.0-0.0","A1TARNH07A75CG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1108","","image-button-response","1","5277","0.0-1.0","A1TARNH07A75CG","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1167","","image-button-response","2","6451","0.0-2.0-0.0","A1TARNH07A75CG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3997","","survey-text","3","10452","0.0-3.0-0.0","A1TARNH07A75CG","","","","{""Q0"":""A1TARNH07A75CG""}","","","","","","","","","","","","","","","","","","","","","","",""
"3365","","image-button-response_instructions","4","13820","0.0-4.0","A1TARNH07A75CG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8625","","image-button-response_instructions","5","22448","0.0-5.0","A1TARNH07A75CG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4817","","image-button-response_instructions","6","27267","0.0-6.0","A1TARNH07A75CG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1198","","image-button-response_instructions","7","28466","0.0-7.0","A1TARNH07A75CG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3728","","image-button-response_instructions","8","32196","0.0-8.0","A1TARNH07A75CG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1509","","image-button-response_instructions","9","33707","0.0-9.0","A1TARNH07A75CG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2726","","image-button-response_instructions","10","36435","0.0-10.0","A1TARNH07A75CG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"687","","image-button-response_instructions","11","37127","0.0-11.0","A1TARNH07A75CG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"634","","image-button-response_instructions","12","37762","0.0-12.0","A1TARNH07A75CG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3146","","image-button-response_instructions","13","40909","0.0-13.0","A1TARNH07A75CG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"748","","image-button-response_instructions","14","41658","0.0-14.0","A1TARNH07A75CG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"623","","image-button-response_instructions","15","42282","0.0-15.0","A1TARNH07A75CG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"751","","image-button-response_instructions","16","43035","0.0-16.0","A1TARNH07A75CG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"711","","image-button-response_instructions","17","43747","0.0-17.0","A1TARNH07A75CG","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"863","","image-button-response_instructions","18","44611","0.0-18.0","A1TARNH07A75CG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7839","","survey-text","19","52492","0.0-19.0-0.0","A1TARNH07A75CG","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
