"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4646","external_page_harvard.html","external-html","0","4665","0.0-0.0","A1TW2BZRRS874Z","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1829","","image-button-response","1","6498","0.0-1.0","A1TW2BZRRS874Z","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1145","","image-button-response","2","7658","0.0-2.0-0.0","A1TW2BZRRS874Z","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2641","","survey-text","3","10304","0.0-3.0-0.0","A1TW2BZRRS874Z","","","","{""Q0"":""A1TW2BZRRS874Z""}","","","","","","","","","","","","","","","","","","","","","","",""
"7123","","image-button-response_instructions","4","17434","0.0-4.0","A1TW2BZRRS874Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4589","","image-button-response_instructions","5","22026","0.0-5.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2868","","image-button-response_instructions","6","24898","0.0-6.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15149","","image-button-response_instructions","7","40053","0.0-7.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5298","","image-button-response_instructions","8","45354","0.0-8.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4718","","image-button-response_instructions","9","50076","0.0-9.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2845","","image-button-response_instructions","10","52924","0.0-10.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2963","","image-button-response_instructions","11","55890","0.0-11.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4440","","image-button-response_instructions","12","60333","0.0-12.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8180","","image-button-response_instructions","13","68517","0.0-13.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20272","","image-button-response_instructions","14","88791","0.0-14.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18085","","image-button-response_instructions","15","106880","0.0-15.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"26391","","image-button-response_instructions","16","133274","0.0-16.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7260","","image-button-response_instructions","17","140538","0.0-17.0","A1TW2BZRRS874Z","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3894","","image-button-response_instructions","18","144434","0.0-18.0","A1TW2BZRRS874Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9795","","survey-text","19","154275","0.0-19.0-0.0","A1TW2BZRRS874Z","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"10969","","survey-text","20","165252","0.0-20.0-0.0","A1TW2BZRRS874Z","","","","{""Q0"":""its too messy for me""}","","","","","","","","","","","","","","","","","","","","","","",""
"2302.699999988079","","image-slider-response","21","167564","0.0-21.0","A1TW2BZRRS874Z","","","","","-36","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","172574","0.0-22.0","A1TW2BZRRS874Z","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"26253","","image-button-response","23","198831","0.0-23.0","A1TW2BZRRS874Z","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1808","","image-button-response","24","200647","0.0-24.0-0.0","A1TW2BZRRS874Z","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2306","","image-button-response","25","209799","0.0-24.1-0.1","A1TW2BZRRS874Z","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"979","","image-button-response","26","213905","0.0-24.2-0.2","A1TW2BZRRS874Z","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1519","","image-button-response","27","215432","0.0-25.0-0.0","A1TW2BZRRS874Z","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
