"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"14685","external_page_harvard.html","external-html","0","14798","0.0-0.0","A1W5ECLQGJYCPF","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2179","","image-button-response","1","16980","0.0-1.0","A1W5ECLQGJYCPF","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"24337","","image-button-response","2","41327","0.0-2.0-0.0","A1W5ECLQGJYCPF","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"12086","","survey-text","3","53416","0.0-3.0-0.0","A1W5ECLQGJYCPF","","","","{""Q0"":""A1W5ECLQGJYCPF""}","","","","","","","","","","","","","","","","","","","","","","",""
"5181","","image-button-response_instructions","4","58600","0.0-4.0","A1W5ECLQGJYCPF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14903","","image-button-response_instructions","5","73505","0.0-5.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7463","","image-button-response_instructions","6","80970","0.0-6.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4567","","image-button-response_instructions","7","85538","0.0-7.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13391","","image-button-response_instructions","8","98931","0.0-8.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4151","","image-button-response_instructions","9","103084","0.0-9.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6758","","image-button-response_instructions","10","109844","0.0-10.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10518","","image-button-response_instructions","11","120364","0.0-11.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10391","","image-button-response_instructions","12","130757","0.0-12.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7087","","image-button-response_instructions","13","137846","0.0-13.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15487","","image-button-response_instructions","14","153335","0.0-14.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7335","","image-button-response_instructions","15","160671","0.0-15.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7751","","image-button-response_instructions","16","168424","0.0-16.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12193","","image-button-response_instructions","17","180618","0.0-17.0","A1W5ECLQGJYCPF","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"30049","","image-button-response_instructions","18","210668","0.0-18.0","A1W5ECLQGJYCPF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13335","","survey-text","19","224037","0.0-19.0-0.0","A1W5ECLQGJYCPF","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"7062","","survey-text","20","231102","0.0-20.0-0.0","A1W5ECLQGJYCPF","","","","{""Q0"":""colorful""}","","","","","","","","","","","","","","","","","","","","","","",""
"3933.5","","image-slider-response","21","235038","0.0-21.0","A1W5ECLQGJYCPF","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","240043","0.0-22.0","A1W5ECLQGJYCPF","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2761","","image-button-response","23","242807","0.0-23.0","A1W5ECLQGJYCPF","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5765","","image-button-response","24","248575","0.0-24.0-0.0","A1W5ECLQGJYCPF","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"508","","image-button-response","25","249087","0.0-25.0-0.0","A1W5ECLQGJYCPF","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","249591","0.0-26.0","A1W5ECLQGJYCPF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","5","colorful","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","0"
"7350","","survey-text","27","256951","0.0-27.0-0.0","A1W5ECLQGJYCPF","","","","{""Q0"":""arabic""}","","","","","","","","","","","","","","","","","","","","","","",""
"4422.299999952316","","image-slider-response","28","261375","0.0-28.0","A1W5ECLQGJYCPF","","","","","16","","","","","","","","","","","","","","","","","","","","","",""
"4590","","image-button-response","29","266379","0.0-29.0","A1W5ECLQGJYCPF","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1874","","image-button-response","30","268256","0.0-30.0","A1W5ECLQGJYCPF","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3790","","image-button-response","31","272049","0.0-31.0-0.0","A1W5ECLQGJYCPF","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1237","","image-button-response","32","273289","0.0-32.0-0.0","A1W5ECLQGJYCPF","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2487","","image-button-response","33","279778","0.0-32.1-0.1","A1W5ECLQGJYCPF","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","280281","0.0-33.0","A1W5ECLQGJYCPF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","16","arabic","Jenna,Kara,Katie,Dora,Erika,Jen","One of my pet peevs,-48,140,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","looks too angry,-50,80,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jenna","One of my pet peevs,-48,140,20","Katie","too much color!,-28,180,20","2"
"19930","","survey-text","35","300219","0.0-34.0-0.0","A1W5ECLQGJYCPF","","","","{""Q0"":""sea the ocean""}","","","","","","","","","","","","","","","","","","","","","","",""
"3013.899999856949","","image-slider-response","36","303236","0.0-35.0","A1W5ECLQGJYCPF","","","","","16","","","","","","","","","","","","","","","","","","","","","",""
"4854","","image-button-response","37","308248","0.0-36.0","A1W5ECLQGJYCPF","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4752","","image-button-response","38","313005","0.0-37.0","A1W5ECLQGJYCPF","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3134","","image-button-response","39","316141","0.0-38.0-0.0","A1W5ECLQGJYCPF","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1605","","image-button-response","40","317749","0.0-39.0-0.0","A1W5ECLQGJYCPF","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","318752","0.0-40.0","A1W5ECLQGJYCPF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","16","sea the ocean","Jenna,Kara,Katie,Leslie,Mary,Rose","looks like a murder room,-35,140,20","calming blue is very nice,36,160,20","It looks depressing,-26,180,20","It's an alright work,15,200,20","I like the overlapping of brushes,41,220,20","My daily routine, it's depressing,-20,240,20","Rose","My daily routine, it's depressing,-20,240,20","Katie","It looks depressing,-26,180,20","Jenna","looks like a murder room,-35,140,20","2"
"10341","","image-button-response_instructions","42","329110","0.0-41.0","A1W5ECLQGJYCPF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18953","","survey-likert","43","348065","0.0-42.0-0.0","A1W5ECLQGJYCPF","","","","{""Q0"":"""",""Q1"":0,""Q2"":0}","","","","","","","","","","","","","","","","","","","","","","",""
"6767","","survey-likert","44","357248","0.0-42.1-0.1","A1W5ECLQGJYCPF","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"7951","","survey-text","45","365208","0.0-43.0-0.0","A1W5ECLQGJYCPF","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"52682","","survey-text","46","417893","0.0-44.0-0.0","A1W5ECLQGJYCPF","","","","{""Q0"":""firey and red""}","","","","","","","","","","","","","","","","","","","","","","",""
"6566.100000143051","","image-slider-response","47","424461","0.0-45.0","A1W5ECLQGJYCPF","","","","","-10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","48","429499","0.0-46.0","A1W5ECLQGJYCPF","img_art/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"177","","image-button-response","49","429678","0.0-47.0","A1W5ECLQGJYCPF","img_art/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2750","","image-button-response","50","432430","0.0-48.0-0.0","A1W5ECLQGJYCPF","img_art/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1173","","image-button-response","51","433606","0.0-49.0-0.0","A1W5ECLQGJYCPF","img_art/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","52","435109","0.0-50.0","A1W5ECLQGJYCPF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/3.jpg","-10","firey and red","Mikayla,Stephanie,Victoria,Julia,Caitlin,Hannah","Scary. Looks like blood.,-45,300,20","I think of an angry child,-50,300,20","makes me think of anger,-33,400,20","this is a very nice emotion,27,40,20","Why kids with color crayons is called art is beyond me. People pay for this???,-40,80,20","Looks like a Basquiat but just not my cup of tea.,-29,240,20","Victoria","makes me think of anger,-33,400,20","Hannah","Looks like a Basquiat but just not my cup of tea.,-29,240,20","Stephanie","I think of an angry child,-50,300,20","3"
"41441","","survey-text","53","476561","0.0-51.0-0.0","A1W5ECLQGJYCPF","","","","{""Q0"":""creepy and ghoulish""}","","","","","","","","","","","","","","","","","","","","","","",""
"3670.2000000476837","","image-slider-response","54","480234","0.0-52.0","A1W5ECLQGJYCPF","","","","","-2","","","","","","","","","","","","","","","","","","","","","",""
"2549","","image-button-response","55","485247","0.0-53.0","A1W5ECLQGJYCPF","img_art/25.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1464","","image-button-response","56","486714","0.0-54.0","A1W5ECLQGJYCPF","img_art/25.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4662","","image-button-response","57","491378","0.0-55.0-0.0","A1W5ECLQGJYCPF","img_art/25.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1245","","image-button-response","58","492626","0.0-56.0-0.0","A1W5ECLQGJYCPF","img_art/25.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
