"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5159","external_page_harvard.html","external-html","0","5259","0.0-0.0","A1WH32GYQOHIRQ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2239","","image-button-response","1","7502","0.0-1.0","A1WH32GYQOHIRQ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1581","","image-button-response","2","9094","0.0-2.0-0.0","A1WH32GYQOHIRQ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3827","","survey-text","3","12924","0.0-3.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""A1WH32GYQOHIRQ""}","","","","","","","","","","","","","","","","","","","","","","",""
"4569","","image-button-response_instructions","4","17496","0.0-4.0","A1WH32GYQOHIRQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8186","","image-button-response_instructions","5","25684","0.0-5.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3097","","image-button-response_instructions","6","28783","0.0-6.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7966","","image-button-response_instructions","7","36752","0.0-7.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8359","","image-button-response_instructions","8","45114","0.0-8.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2742","","image-button-response_instructions","9","47858","0.0-9.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1780","","image-button-response_instructions","10","49640","0.0-10.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1686","","image-button-response_instructions","11","51328","0.0-11.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3495","","image-button-response_instructions","12","54825","0.0-12.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8348","","image-button-response_instructions","13","63175","0.0-13.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1470","","image-button-response_instructions","14","64647","0.0-14.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1888","","image-button-response_instructions","15","66538","0.0-15.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10013","","image-button-response_instructions","16","76552","0.0-16.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1595","","image-button-response_instructions","17","78148","0.0-17.0","A1WH32GYQOHIRQ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1620","","image-button-response_instructions","18","79769","0.0-18.0","A1WH32GYQOHIRQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8674","","survey-text","19","88481","0.0-19.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"13147","","survey-text","20","101633","0.0-20.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""Soothing and gentle""}","","","","","","","","","","","","","","","","","","","","","","",""
"4129.699999999255","","image-slider-response","21","105768","0.0-21.0","A1WH32GYQOHIRQ","","","","","18","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","110778","0.0-22.0","A1WH32GYQOHIRQ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"578","","image-button-response","23","111359","0.0-23.0","A1WH32GYQOHIRQ","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"9130","","image-button-response","24","120493","0.0-24.0-0.0","A1WH32GYQOHIRQ","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5279","","image-button-response","25","125777","0.0-25.0-0.0","A1WH32GYQOHIRQ","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","127282","0.0-26.0","A1WH32GYQOHIRQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","18","Soothing and gentle","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"13947","","survey-text","27","141237","0.0-27.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""angry...it feels angry""}","","","","","","","","","","","","","","","","","","","","","","",""
"4165.800000000745","","image-slider-response","28","145406","0.0-28.0","A1WH32GYQOHIRQ","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","150414","0.0-29.0","A1WH32GYQOHIRQ","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1093","","image-button-response","30","151512","0.0-30.0","A1WH32GYQOHIRQ","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3540","","image-button-response","31","155056","0.0-31.0-0.0","A1WH32GYQOHIRQ","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"7684","","image-button-response","32","162745","0.0-32.0-0.0","A1WH32GYQOHIRQ","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","164248","0.0-33.0","A1WH32GYQOHIRQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","11","angry...it feels angry","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Jen","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Allison","I don't have strong feelings about this,10,20,20","0"
"10871","","survey-text","34","175125","0.0-34.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""Soothing like the ocean""}","","","","","","","","","","","","","","","","","","","","","","",""
"4066.099999997765","","image-slider-response","35","179194","0.0-35.0","A1WH32GYQOHIRQ","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","184201","0.0-36.0","A1WH32GYQOHIRQ","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"8298","","image-button-response","37","192502","0.0-37.0","A1WH32GYQOHIRQ","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2610","","image-button-response","38","195115","0.0-38.0-0.0","A1WH32GYQOHIRQ","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2192","","image-button-response","39","197311","0.0-39.0-0.0","A1WH32GYQOHIRQ","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2385","","image-button-response","40","204236","0.0-39.1-0.1","A1WH32GYQOHIRQ","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","205742","0.0-40.0","A1WH32GYQOHIRQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","50","Soothing like the ocean","Allison,Kara,Rose,Leslie,Mary,Jen","enjoy the different shades of blue,22,20,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I like the overlapping of brushes,41,220,20","I can feel a rainy day from this painting,18,120,20","Allison","enjoy the different shades of blue,22,20,20","Kara","calming blue is very nice,36,160,20","Mary","I like the overlapping of brushes,41,220,20","2"
"7714","","image-button-response_instructions","42","213462","0.0-41.0","A1WH32GYQOHIRQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9776","","survey-likert","43","223241","0.0-42.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4696","","survey-text","44","227947","0.0-43.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"19422","","survey-text","45","247374","0.0-44.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""CHAOTIC AND SAD, BUT, I LIKE IT.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3626.5","","image-slider-response","46","251003","0.0-45.0","A1WH32GYQOHIRQ","","","","","31","","","","","","","","","","","","","","","","","","","","","",""
"4992","","image-button-response","47","256040","0.0-46.0","A1WH32GYQOHIRQ","img_art/10.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"13708","","image-button-response","48","269752","0.0-47.0","A1WH32GYQOHIRQ","img_art/10.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"6900","","image-button-response","49","276655","0.0-48.0-0.0","A1WH32GYQOHIRQ","img_art/10.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4780","","image-button-response","50","281441","0.0-49.0-0.0","A1WH32GYQOHIRQ","img_art/10.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","281944","0.0-50.0","A1WH32GYQOHIRQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/10.jpg","31","CHAOTIC AND SAD, BUT, I LIKE IT.","Mariah,Alexis,Alexandria,Katherine,Cynthia,Alyssa","The colors and shapes are soothing but also disconcerting.,21,140,20","Too abstract and it doesn't really remind me of anything,-40,100,20","it reminds me of a musical instrument,19,80,20","This is pretty rad. The outline looks like a music staff,15,120,20","cultural with a symphony,40,320,20","Bleak and uninteresting,-10,160,20","Cynthia","cultural with a symphony,40,320,20","Mariah","The colors and shapes are soothing but also disconcerting.,21,140,20","Katherine","This is pretty rad. The outline looks like a music staff,15,120,20","2"
"23931","","survey-text","52","305881","0.0-51.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""This reminds me of a fire""}","","","","","","","","","","","","","","","","","","","","","","",""
"16404.20000000298","","image-slider-response","53","322288","0.0-52.0","A1WH32GYQOHIRQ","","","","","0","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","54","327292","0.0-53.0","A1WH32GYQOHIRQ","img_art/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"269","","image-button-response","55","327563","0.0-54.0","A1WH32GYQOHIRQ","img_art/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7595","","image-button-response","56","335161","0.0-55.0-0.0","A1WH32GYQOHIRQ","img_art/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1195","","image-button-response","57","336360","0.0-56.0-0.0","A1WH32GYQOHIRQ","img_art/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","58","336863","0.0-57.0","A1WH32GYQOHIRQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","2","img_art/1.jpg","0","This reminds me of a fire","Mariah,Kaitlyn,Hailey,Katherine,Cynthia,Mikayla","Colors are pleasant, but feels incredibly generic.,9,140,20","Interesting blend of colors,9,80,20","colors that are fairly warm. its ok,8,200,20","Blurry but that's how emotions are a lot of the time.,27,120,20","fishing on the lake surrounded by trees,42,320,20","Again kind a boring.,-38,300,20","Mariah","Colors are pleasant, but feels incredibly generic.,9,140,20","Hailey","colors that are fairly warm. its ok,8,200,20","Kaitlyn","Interesting blend of colors,9,80,20","2"
"20131","","survey-text","59","357000","0.0-58.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""This looks like it should be in a cheap motel.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3346.300000000745","","image-slider-response","60","360350","0.0-59.0","A1WH32GYQOHIRQ","","","","","-29","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","61","365355","0.0-60.0","A1WH32GYQOHIRQ","img_art/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7359","","image-button-response","62","372717","0.0-61.0","A1WH32GYQOHIRQ","img_art/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6408","","image-button-response","63","379128","0.0-62.0-0.0","A1WH32GYQOHIRQ","img_art/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6101","","image-button-response","64","385234","0.0-63.0-0.0","A1WH32GYQOHIRQ","img_art/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","65","385741","0.0-64.0","A1WH32GYQOHIRQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","3","img_art/2.jpg","-29","This looks like it should be in a cheap motel.","Mariah,Kaitlyn,Hailey,Sara,Sophia,Crystal","The colors are soothing, but the composition feels thoughtless.,-11,140,20","Too jumbled and disorienting,-13,80,20","ugly green color and makes me sick,-29,200,20","Dark tone feels sad,-30,160,20","I'm not fond of the colors in this one.,-33,280,20","Looks contrived and like someone tried to hard to make it abstract,-31,300,20","Hailey","ugly green color and makes me sick,-29,200,20","Kaitlyn","Too jumbled and disorienting,-13,80,20","Crystal","Looks contrived and like someone tried to hard to make it abstract,-31,300,20","2"
"32351","","survey-text","66","418100","0.0-65.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""I kinda hate it and kinda love it...I'm confused by this piece.""}","","","","","","","","","","","","","","","","","","","","","","",""
"9263.199999999255","","image-slider-response","67","427366","0.0-66.0","A1WH32GYQOHIRQ","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","68","432373","0.0-67.0","A1WH32GYQOHIRQ","img_art/6.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"8893","","image-button-response","69","441270","0.0-68.0","A1WH32GYQOHIRQ","img_art/6.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"10796","","image-button-response","70","452069","0.0-69.0-0.0","A1WH32GYQOHIRQ","img_art/6.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1630","","image-button-response","71","453703","0.0-70.0-0.0","A1WH32GYQOHIRQ","img_art/6.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","72","455211","0.0-71.0","A1WH32GYQOHIRQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","4","img_art/6.jpg","11","I kinda hate it and kinda love it...I'm confused by this piece.","Breanna,Kaitlyn,Hailey,Emma,Katelyn,Crystal","Not impressed, just very plain,-10,380,20","I like the simplicity of the picture,30,80,20","one lonely thing trying to grow,-24,200,20","Birds are cool but I don't love it,10,60,20","Nothing grabs at me here,-11,100,20","Gives me a feeling of solitude and nothingness,11,300,20","Hailey","one lonely thing trying to grow,-24,200,20","Crystal","Gives me a feeling of solitude and nothingness,11,300,20","Kaitlyn","I like the simplicity of the picture,30,80,20","2"
"23169","","survey-text","73","478386","0.0-72.0-0.0","A1WH32GYQOHIRQ","","","","{""Q0"":""This is very, very dark and frightening.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2935.5","","image-slider-response","74","481325","0.0-73.0","A1WH32GYQOHIRQ","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"2231","","image-button-response","75","486332","0.0-74.0","A1WH32GYQOHIRQ","img_art/16.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4790","","image-button-response","76","491125","0.0-75.0","A1WH32GYQOHIRQ","img_art/16.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3714","","image-button-response","77","494843","0.0-76.0-0.0","A1WH32GYQOHIRQ","img_art/16.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1326","","image-button-response","78","496172","0.0-77.0-0.0","A1WH32GYQOHIRQ","img_art/16.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","79","497179","0.0-78.0","A1WH32GYQOHIRQ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","5","img_art/16.jpg","-50","This is very, very dark and frightening.","Molly,Kaitlyn,Hailey,Erica,Anna,Crystal","It's frightening.,30,340,20","The bear is a weird choice,-22,80,20","cute and warm. i like the bear,15,200,20","Teddy bear calls positive emotional response but then I get worried about what is about to happen,18,80,20","It's edgy but cool,10,300,20","Garble and nonsense,-50,300,20","Crystal","Garble and nonsense,-50,300,20","Kaitlyn","The bear is a weird choice,-22,80,20","Molly","It's frightening.,30,340,20","2"
