"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"15780","external_page_harvard.html","external-html","0","16226","0.0-0.0","A1Y8BGDLPNYP0K","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2577","","image-button-response","1","18809","0.0-1.0","A1Y8BGDLPNYP0K","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1797","","image-button-response","2","20619","0.0-2.0-0.0","A1Y8BGDLPNYP0K","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3239","","survey-text","3","23861","0.0-3.0-0.0","A1Y8BGDLPNYP0K","","","","{""Q0"":""A1Y8BGDLPNYP0K""}","","","","","","","","","","","","","","","","","","","","","","",""
"5315","","image-button-response_instructions","4","29179","0.0-4.0","A1Y8BGDLPNYP0K","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16853","","image-button-response_instructions","5","46034","0.0-5.0","A1Y8BGDLPNYP0K","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6155","","image-button-response_instructions","6","52192","0.0-6.0","A1Y8BGDLPNYP0K","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4250","","image-button-response_instructions","7","56445","0.0-7.0","A1Y8BGDLPNYP0K","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2204","","image-button-response_instructions","8","58651","0.0-8.0","A1Y8BGDLPNYP0K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1743","","image-button-response_instructions","9","60397","0.0-9.0","A1Y8BGDLPNYP0K","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3385","","image-button-response_instructions","10","63784","0.0-10.0","A1Y8BGDLPNYP0K","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3247","","image-button-response_instructions","11","67032","0.0-11.0","A1Y8BGDLPNYP0K","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
