"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8951","external_page_harvard.html","external-html","0","8990","0.0-0.0","A1ZS2VL87B5K2I","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2166","","image-button-response","1","11159","0.0-1.0","A1ZS2VL87B5K2I","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3144","","image-button-response","2","14309","0.0-2.0-0.0","A1ZS2VL87B5K2I","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10518","","survey-text","3","24828","0.0-3.0-0.0","A1ZS2VL87B5K2I","","","","{""Q0"":""A1ZS2VL87B5K2I""}","","","","","","","","","","","","","","","","","","","","","","",""
"8008","","image-button-response_instructions","4","32838","0.0-4.0","A1ZS2VL87B5K2I","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22657","","image-button-response_instructions","5","55498","0.0-5.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4261","","image-button-response_instructions","6","59761","0.0-6.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6816","","image-button-response_instructions","7","66579","0.0-7.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4847","","image-button-response_instructions","8","71428","0.0-8.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3429","","image-button-response_instructions","9","74859","0.0-9.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4082","","image-button-response_instructions","10","78943","0.0-10.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4284","","image-button-response_instructions","11","83229","0.0-11.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5117","","image-button-response_instructions","12","88348","0.0-12.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9752","","image-button-response_instructions","13","98102","0.0-13.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5038","","image-button-response_instructions","14","103142","0.0-14.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6029","","image-button-response_instructions","15","109173","0.0-15.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3418","","image-button-response_instructions","16","112593","0.0-16.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6816","","image-button-response_instructions","17","119411","0.0-17.0","A1ZS2VL87B5K2I","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
