"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"172882","external_page_harvard.html","external-html","0","172993","0.0-0.0","A20CZCJPRP54G9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1555","","image-button-response","1","174550","0.0-1.0","A20CZCJPRP54G9","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2345","","image-button-response","2","176902","0.0-2.0-0.0","A20CZCJPRP54G9","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7845","","survey-text","3","184750","0.0-3.0-0.0","A20CZCJPRP54G9","","","","{""Q0"":""A20CZCJPRP54G9""}","","","","","","","","","","","","","","","","","","","","","","",""
"11780","","image-button-response_instructions","4","196533","0.0-4.0","A20CZCJPRP54G9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13783","","image-button-response_instructions","5","210317","0.0-5.0","A20CZCJPRP54G9","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5310","","image-button-response_instructions","6","215630","0.0-6.0","A20CZCJPRP54G9","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4317","","image-button-response_instructions","7","219950","0.0-7.0","A20CZCJPRP54G9","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5756","","image-button-response_instructions","8","225708","0.0-8.0","A20CZCJPRP54G9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3096","","image-button-response_instructions","9","228805","0.0-9.0","A20CZCJPRP54G9","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
