"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"18656","external_page_harvard.html","external-html","0","18883","0.0-0.0","A22ZYDQ7VRH6EL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1862","","image-button-response","1","20748","0.0-1.0","A22ZYDQ7VRH6EL","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1870","","image-button-response","2","22625","0.0-2.0-0.0","A22ZYDQ7VRH6EL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3325","","survey-text","3","25951","0.0-3.0-0.0","A22ZYDQ7VRH6EL","","","","{""Q0"":""A22ZYDQ7VRH6EL""}","","","","","","","","","","","","","","","","","","","","","","",""
"29384","","image-button-response_instructions","4","55338","0.0-4.0","A22ZYDQ7VRH6EL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19420","","image-button-response_instructions","5","74760","0.0-5.0","A22ZYDQ7VRH6EL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8590","","image-button-response_instructions","6","83351","0.0-6.0","A22ZYDQ7VRH6EL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7907","","image-button-response_instructions","7","91261","0.0-7.0","A22ZYDQ7VRH6EL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12845","","image-button-response_instructions","8","104108","0.0-8.0","A22ZYDQ7VRH6EL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4122","","image-button-response_instructions","9","108232","0.0-9.0","A22ZYDQ7VRH6EL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6567","","image-button-response_instructions","10","114800","0.0-10.0","A22ZYDQ7VRH6EL","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5238","","image-button-response_instructions","11","120039","0.0-11.0","A22ZYDQ7VRH6EL","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
