"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4175","external_page_harvard.html","external-html","0","4272","0.0-0.0","A2328BC1EPV043","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339","","image-button-response","1","5613","0.0-1.0","A2328BC1EPV043","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2120","","image-button-response","2","7736","0.0-2.0-0.0","A2328BC1EPV043","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4179","","survey-text","3","11917","0.0-3.0-0.0","A2328BC1EPV043","","","","{""Q0"":""A2328BC1EPV043""}","","","","","","","","","","","","","","","","","","","","","","",""
"3709","","image-button-response_instructions","4","15628","0.0-4.0","A2328BC1EPV043","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15907","","image-button-response_instructions","5","31536","0.0-5.0","A2328BC1EPV043","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7342","","image-button-response_instructions","6","38878","0.0-6.0","A2328BC1EPV043","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11190","","image-button-response_instructions","7","50070","0.0-7.0","A2328BC1EPV043","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4087","","image-button-response_instructions","8","54158","0.0-8.0","A2328BC1EPV043","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2471","","image-button-response_instructions","9","56630","0.0-9.0","A2328BC1EPV043","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1986","","image-button-response_instructions","10","58618","0.0-10.0","A2328BC1EPV043","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2556","","image-button-response_instructions","11","61174","0.0-11.0","A2328BC1EPV043","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3485","","image-button-response_instructions","12","64661","0.0-12.0","A2328BC1EPV043","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"198145","","image-button-response_instructions","13","262806","0.0-13.0","A2328BC1EPV043","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7561","","image-button-response_instructions","14","270369","0.0-14.0","A2328BC1EPV043","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6654","","image-button-response_instructions","15","277023","0.0-15.0","A2328BC1EPV043","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"38951","","image-button-response_instructions","16","315976","0.0-16.0","A2328BC1EPV043","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3222","","image-button-response_instructions","17","319198","0.0-17.0","A2328BC1EPV043","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1729","","image-button-response_instructions","18","320928","0.0-18.0","A2328BC1EPV043","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
