"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12380","external_page_harvard.html","external-html","0","13435","0.0-0.0","A25FH7PXC446RG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9044","","image-button-response","1","22482","0.0-1.0","A25FH7PXC446RG","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2915","","image-button-response","2","25404","0.0-2.0-0.0","A25FH7PXC446RG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9328","","survey-text","3","34734","0.0-3.0-0.0","A25FH7PXC446RG","","","","{""Q0"":""A25FH7PXC446RG""}","","","","","","","","","","","","","","","","","","","","","","",""
"163467","","image-button-response_instructions","4","198204","0.0-4.0","A25FH7PXC446RG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"33464","","image-button-response_instructions","5","231670","0.0-5.0","A25FH7PXC446RG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6801","","image-button-response_instructions","6","238473","0.0-6.0","A25FH7PXC446RG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6140","","image-button-response_instructions","7","244615","0.0-7.0","A25FH7PXC446RG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"83037","","image-button-response_instructions","8","327652","0.0-8.0","A25FH7PXC446RG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9295","","image-button-response_instructions","9","336950","0.0-9.0","A25FH7PXC446RG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6273","","image-button-response_instructions","10","343224","0.0-10.0","A25FH7PXC446RG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10044","","image-button-response_instructions","11","353270","0.0-11.0","A25FH7PXC446RG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12090","","image-button-response_instructions","12","365362","0.0-12.0","A25FH7PXC446RG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"27288","","image-button-response_instructions","13","392652","0.0-13.0","A25FH7PXC446RG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20967","","image-button-response_instructions","14","413621","0.0-14.0","A25FH7PXC446RG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"281944","","image-button-response_instructions","15","695568","0.0-15.0","A25FH7PXC446RG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18300","","image-button-response_instructions","16","713869","0.0-16.0","A25FH7PXC446RG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10594","","image-button-response_instructions","17","724465","0.0-17.0","A25FH7PXC446RG","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2759","","image-button-response_instructions","18","727226","0.0-18.0","A25FH7PXC446RG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6648","","survey-text","19","733896","0.0-19.0-0.0","A25FH7PXC446RG","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19565","","survey-text","20","753464","0.0-20.0-0.0","A25FH7PXC446RG","","","","{""Q0"":""looks like a young child painted it""}","","","","","","","","","","","","","","","","","","","","","","",""
"7463.800000071526","","image-slider-response","21","760933","0.0-21.0","A25FH7PXC446RG","","","","","-47","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","765936","0.0-22.0","A25FH7PXC446RG","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4758","","image-button-response","23","770696","0.0-23.0","A25FH7PXC446RG","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"6091","","image-button-response","24","776791","0.0-24.0-0.0","A25FH7PXC446RG","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
