"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"17027","external_page_harvard.html","external-html","0","17411","0.0-0.0","A26RO8GGTQAXGG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1806","","image-button-response","1","19223","0.0-1.0","A26RO8GGTQAXGG","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1570","","image-button-response","2","20808","0.0-2.0-0.0","A26RO8GGTQAXGG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7082","","survey-text","3","27895","0.0-3.0-0.0","A26RO8GGTQAXGG","","","","{""Q0"":""A26RO8GGTQAXGG""}","","","","","","","","","","","","","","","","","","","","","","",""
"3554","","image-button-response_instructions","4","31455","0.0-4.0","A26RO8GGTQAXGG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16590","","image-button-response_instructions","5","48052","0.0-5.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6791","","image-button-response_instructions","6","54855","0.0-6.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5948","","image-button-response_instructions","7","60807","0.0-7.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10631","","image-button-response_instructions","8","71446","0.0-8.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3741","","image-button-response_instructions","9","75197","0.0-9.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3748","","image-button-response_instructions","10","78950","0.0-10.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4586","","image-button-response_instructions","11","83540","0.0-11.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7062","","image-button-response_instructions","12","90610","0.0-12.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8117","","image-button-response_instructions","13","98733","0.0-13.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10085","","image-button-response_instructions","14","108822","0.0-14.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5478","","image-button-response_instructions","15","114303","0.0-15.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9387","","image-button-response_instructions","16","123693","0.0-16.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3400","","image-button-response_instructions","17","127097","0.0-17.0","A26RO8GGTQAXGG","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1843","","image-button-response_instructions","18","128942","0.0-18.0","A26RO8GGTQAXGG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11760","","survey-text","19","140767","0.0-19.0-0.0","A26RO8GGTQAXGG","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"15123","","survey-text","20","155896","0.0-20.0-0.0","A26RO8GGTQAXGG","","","","{""Q0"":""this is computer generated and thus not art""}","","","","","","","","","","","","","","","","","","","","","","",""
"4829.4000000059605","","image-slider-response","21","160736","0.0-21.0","A26RO8GGTQAXGG","","","","","-41","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","165767","0.0-22.0","A26RO8GGTQAXGG","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"9523","","image-button-response","23","175295","0.0-23.0","A26RO8GGTQAXGG","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"926","","image-button-response","24","176231","0.0-24.0-0.0","A26RO8GGTQAXGG","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"839","","image-button-response","25","177079","0.0-25.0-0.0","A26RO8GGTQAXGG","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","178102","0.0-26.0","A26RO8GGTQAXGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-41","this is computer generated and thus not art","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Beth","This color reminds me of poo,-46,60,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","0"
"34124","","survey-text","27","212249","0.0-27.0-0.0","A26RO8GGTQAXGG","","","","{""Q0"":""interesting layering but gestures -brush strokes -are too visible""}","","","","","","","","","","","","","","","","","","","","","","",""
"8449.29999999702","","image-slider-response","28","220748","0.0-28.0","A26RO8GGTQAXGG","","","","","-4","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","225782","0.0-29.0","A26RO8GGTQAXGG","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3360","","image-button-response","30","229173","0.0-30.0","A26RO8GGTQAXGG","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1507","","image-button-response","31","230687","0.0-31.0-0.0","A26RO8GGTQAXGG","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4609","","image-button-response","32","235302","0.0-32.0-0.0","A26RO8GGTQAXGG","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","235826","0.0-33.0","A26RO8GGTQAXGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-4","interesting layering but gestures -brush strokes -are too visible","Jenna,Ashley,Beth,Dora,Kara,Katie","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","meaningless painting,-45,60,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","Ashley","Idk, it is just annoying,-32,40,20","Beth","meaningless painting,-45,60,20","Kara","I like the blocks of color arrangements,30,160,20","0"
"25565","","survey-text","34","261487","0.0-34.0-0.0","A26RO8GGTQAXGG","","","","{""Q0"":""I like the colors but it is bland and emotionless""}","","","","","","","","","","","","","","","","","","","","","","",""
"4427.79999999702","","image-slider-response","35","265928","0.0-35.0","A26RO8GGTQAXGG","","","","","-4","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","270961","0.0-36.0","A26RO8GGTQAXGG","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1198","","image-button-response","37","272163","0.0-37.0","A26RO8GGTQAXGG","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1932","","image-button-response","38","274104","0.0-38.0-0.0","A26RO8GGTQAXGG","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3253","","image-button-response","39","277369","0.0-39.0-0.0","A26RO8GGTQAXGG","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","278982","0.0-40.0","A26RO8GGTQAXGG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","-4","I like the colors but it is bland and emotionless","Mary,Ashley,Beth,Leslie,Kara,Rose","I like the overlapping of brushes,41,220,20","It looks like a playground for bats,-36,40,20","This thing gives me anxiety,-41,60,20","It's an alright work,15,200,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","Leslie","It's an alright work,15,200,20","Rose","My daily routine, it's depressing,-20,240,20","Mary","I like the overlapping of brushes,41,220,20","0"
"3207","","image-button-response_instructions","41","282341","0.0-41.0","A26RO8GGTQAXGG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10265","","survey-likert","42","292619","0.0-42.0-0.0","A26RO8GGTQAXGG","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"6336","","survey-text","43","298984","0.0-43.0-0.0","A26RO8GGTQAXGG","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"25168","","survey-text","44","324159","0.0-44.0-0.0","A26RO8GGTQAXGG","","","","{""Q0"":""horrible colors and looks like kindergarten level""}","","","","","","","","","","","","","","","","","","","","","","",""
"3351.6000000089407","","image-slider-response","45","327517","0.0-45.0","A26RO8GGTQAXGG","","","","","-35","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","332598","0.0-46.0","A26RO8GGTQAXGG","img_art/4.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2565","","image-button-response","47","335177","0.0-47.0","A26RO8GGTQAXGG","img_art/4.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1260","","image-button-response","48","336447","0.0-48.0-0.0","A26RO8GGTQAXGG","img_art/4.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"705","","image-button-response","49","337160","0.0-49.0-0.0","A26RO8GGTQAXGG","img_art/4.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
