"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"16731","external_page_harvard.html","external-html","0","16870","0.0-0.0","A26ZGP2V4T81HL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1412","","image-button-response","1","18284","0.0-1.0","A26ZGP2V4T81HL","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2507","","image-button-response","2","20797","0.0-2.0-0.0","A26ZGP2V4T81HL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6844","","survey-text","3","27644","0.0-3.0-0.0","A26ZGP2V4T81HL","","","","{""Q0"":""A26ZGP2V4T81HL""}","","","","","","","","","","","","","","","","","","","","","","",""
"4791","","image-button-response_instructions","4","32438","0.0-4.0","A26ZGP2V4T81HL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19874","","image-button-response_instructions","5","52313","0.0-5.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8112","","image-button-response_instructions","6","60427","0.0-6.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8457","","image-button-response_instructions","7","68885","0.0-7.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5430","","image-button-response_instructions","8","74317","0.0-8.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9865","","image-button-response_instructions","9","84183","0.0-9.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3636","","image-button-response_instructions","10","87821","0.0-10.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4982","","image-button-response_instructions","11","92805","0.0-11.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5715","","image-button-response_instructions","12","98522","0.0-12.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18273","","image-button-response_instructions","13","116797","0.0-13.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8865","","image-button-response_instructions","14","125663","0.0-14.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6028","","image-button-response_instructions","15","131693","0.0-15.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8330","","image-button-response_instructions","16","140025","0.0-16.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4078","","image-button-response_instructions","17","144105","0.0-17.0","A26ZGP2V4T81HL","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2129","","image-button-response_instructions","18","146235","0.0-18.0","A26ZGP2V4T81HL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11355","","survey-text","19","157617","0.0-19.0-0.0","A26ZGP2V4T81HL","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"18103","","survey-text","20","175724","0.0-20.0-0.0","A26ZGP2V4T81HL","","","","{""Q0"":""It just seems a mashing of colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"6725.299999952316","","image-slider-response","21","182452","0.0-21.0","A26ZGP2V4T81HL","","","","","-13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","187462","0.0-22.0","A26ZGP2V4T81HL","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"8945","","image-button-response","23","196410","0.0-23.0","A26ZGP2V4T81HL","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"15907","","image-button-response","24","212320","0.0-24.0-0.0","A26ZGP2V4T81HL","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"16086","","image-button-response","25","228410","0.0-25.0-0.0","A26ZGP2V4T81HL","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","229424","0.0-26.0","A26ZGP2V4T81HL","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-13","It just seems a mashing of colors","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Alex","very creative work.,36,40,20","Jack","I like the sophisticated brushwork,40,120,20","0"
"28343","","survey-text","27","257772","0.0-27.0-0.0","A26ZGP2V4T81HL","","","","{""Q0"":""I just don't get this type of art, no structure for me""}","","","","","","","","","","","","","","","","","","","","","","",""
"3463.2999999523163","","image-slider-response","28","261238","0.0-28.0","A26ZGP2V4T81HL","","","","","-15","","","","","","","","","","","","","","","","","","","","","",""
"2522","","image-button-response","29","266248","0.0-29.0","A26ZGP2V4T81HL","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1473","","image-button-response","30","267724","0.0-30.0","A26ZGP2V4T81HL","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4046","","image-button-response","31","271772","0.0-31.0-0.0","A26ZGP2V4T81HL","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4209","","image-button-response","32","275984","0.0-32.0-0.0","A26ZGP2V4T81HL","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
