"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"17730","external_page_harvard.html","external-html","0","17876","0.0-0.0","A271830PNYAI2G","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1178","","image-button-response","1","19055","0.0-1.0","A271830PNYAI2G","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1771","","image-button-response","2","20834","0.0-2.0-0.0","A271830PNYAI2G","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5899","","survey-text","3","26737","0.0-3.0-0.0","A271830PNYAI2G","","","","{""Q0"":""A271830PNYAI2G""}","","","","","","","","","","","","","","","","","","","","","","",""
"1947","","image-button-response_instructions","4","28687","0.0-4.0","A271830PNYAI2G","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16302","","image-button-response_instructions","5","44993","0.0-5.0","A271830PNYAI2G","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3991","","image-button-response_instructions","6","48986","0.0-6.0","A271830PNYAI2G","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10641","","image-button-response_instructions","7","59628","0.0-7.0","A271830PNYAI2G","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5260","","image-button-response_instructions","8","64890","0.0-8.0","A271830PNYAI2G","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4374","","image-button-response_instructions","9","69267","0.0-9.0","A271830PNYAI2G","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1943","","image-button-response_instructions","10","71211","0.0-10.0","A271830PNYAI2G","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6099","","image-button-response_instructions","11","77312","0.0-11.0","A271830PNYAI2G","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2840","","image-button-response_instructions","12","80153","0.0-12.0","A271830PNYAI2G","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3926","","image-button-response_instructions","13","84081","0.0-13.0","A271830PNYAI2G","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8842","","image-button-response_instructions","14","92925","0.0-14.0","A271830PNYAI2G","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1827","","image-button-response_instructions","15","94753","0.0-15.0","A271830PNYAI2G","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5005","","image-button-response_instructions","16","99759","0.0-16.0","A271830PNYAI2G","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5209","","image-button-response_instructions","17","104969","0.0-17.0","A271830PNYAI2G","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1116","","image-button-response_instructions","18","106089","0.0-18.0","A271830PNYAI2G","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6176","","survey-text","19","112298","0.0-19.0-0.0","A271830PNYAI2G","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"4823","","survey-text","20","117124","0.0-20.0-0.0","A271830PNYAI2G","","","","{""Q0"":""intense""}","","","","","","","","","","","","","","","","","","","","","","",""
"3588.900000035763","","image-slider-response","21","120716","0.0-21.0","A271830PNYAI2G","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"2641","","image-button-response","22","125721","0.0-22.0","A271830PNYAI2G","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2010","","image-button-response","23","127734","0.0-23.0","A271830PNYAI2G","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1305","","image-button-response","24","129042","0.0-24.0-0.0","A271830PNYAI2G","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3331","","image-button-response","25","132382","0.0-25.0-0.0","A271830PNYAI2G","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
