"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"24106","external_page_harvard.html","external-html","0","25171","0.0-0.0","A2BABL5AHUOYC7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1695","","image-button-response","1","26871","0.0-1.0","A2BABL5AHUOYC7","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","","image-button-response","2","28406","0.0-2.0-0.0","A2BABL5AHUOYC7","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3980","","survey-text","3","32391","0.0-3.0-0.0","A2BABL5AHUOYC7","","","","{""Q0"":""A2BABL5AHUOYC7""}","","","","","","","","","","","","","","","","","","","","","","",""
"4322","","image-button-response_instructions","4","36749","0.0-4.0","A2BABL5AHUOYC7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"39382","","image-button-response_instructions","5","76132","0.0-5.0","A2BABL5AHUOYC7","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9853","","image-button-response_instructions","6","85985","0.0-6.0","A2BABL5AHUOYC7","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10977","","image-button-response_instructions","7","96962","0.0-7.0","A2BABL5AHUOYC7","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10918","","image-button-response_instructions","8","107896","0.0-8.0","A2BABL5AHUOYC7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4910","","image-button-response_instructions","9","112827","0.0-9.0","A2BABL5AHUOYC7","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
