"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"161966","external_page_harvard.html","external-html","0","162073","0.0-0.0","A2BT7QVGXJKFKI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3277","","image-button-response","1","165352","0.0-1.0","A2BT7QVGXJKFKI","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1582","","image-button-response","2","166941","0.0-2.0-0.0","A2BT7QVGXJKFKI","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"20781","","survey-text","3","187724","0.0-3.0-0.0","A2BT7QVGXJKFKI","","","","{""Q0"":""A2BT7QVGXJKFKI""}","","","","","","","","","","","","","","","","","","","","","","",""
"26544","","image-button-response_instructions","4","214271","0.0-4.0","A2BT7QVGXJKFKI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17105","","image-button-response_instructions","5","231377","0.0-5.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6927","","image-button-response_instructions","6","238306","0.0-6.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5128","","image-button-response_instructions","7","243436","0.0-7.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13398","","image-button-response_instructions","8","256835","0.0-8.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2984","","image-button-response_instructions","9","259820","0.0-9.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4302","","image-button-response_instructions","10","264124","0.0-10.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2664","","image-button-response_instructions","11","266789","0.0-11.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6555","","image-button-response_instructions","12","273346","0.0-12.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11532","","image-button-response_instructions","13","284880","0.0-13.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13307","","image-button-response_instructions","14","298188","0.0-14.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3598","","image-button-response_instructions","15","301788","0.0-15.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9516","","image-button-response_instructions","16","311306","0.0-16.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4160","","image-button-response_instructions","17","315468","0.0-17.0","A2BT7QVGXJKFKI","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1737","","image-button-response_instructions","18","317206","0.0-18.0","A2BT7QVGXJKFKI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4342","","survey-text","19","321570","0.0-19.0-0.0","A2BT7QVGXJKFKI","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"42798","","survey-text","20","364369","0.0-20.0-0.0","A2BT7QVGXJKFKI","","","","{""Q0"":""I like the combination of colors. It seems very 80s-throwback to me.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5734.199999988079","","image-slider-response","21","370106","0.0-21.0","A2BT7QVGXJKFKI","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","375118","0.0-22.0","A2BT7QVGXJKFKI","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1096","","image-button-response","23","376216","0.0-23.0","A2BT7QVGXJKFKI","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
