"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"17890","external_page_harvard.html","external-html","0","17955","0.0-0.0","A2DLYBXZNSSJ4S","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1477","","image-button-response","1","19434","0.0-1.0","A2DLYBXZNSSJ4S","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2835","","image-button-response","2","22275","0.0-2.0-0.0","A2DLYBXZNSSJ4S","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10800","","survey-text","3","33077","0.0-3.0-0.0","A2DLYBXZNSSJ4S","","","","{""Q0"":""A2DLYBXZNSSJ4S""}","","","","","","","","","","","","","","","","","","","","","","",""
"12149","","image-button-response_instructions","4","45229","0.0-4.0","A2DLYBXZNSSJ4S","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12904","","image-button-response_instructions","5","58134","0.0-5.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5181","","image-button-response_instructions","6","63317","0.0-6.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4059","","image-button-response_instructions","7","67377","0.0-7.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20028","","image-button-response_instructions","8","87406","0.0-8.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3006","","image-button-response_instructions","9","90413","0.0-9.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5530","","image-button-response_instructions","10","95944","0.0-10.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4595","","image-button-response_instructions","11","100541","0.0-11.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4351","","image-button-response_instructions","12","104893","0.0-12.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5825","","image-button-response_instructions","13","110718","0.0-13.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13197","","image-button-response_instructions","14","123916","0.0-14.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6723","","image-button-response_instructions","15","130641","0.0-15.0","A2DLYBXZNSSJ4S","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
