"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5666","external_page_harvard.html","external-html","0","6156","0.0-0.0","A2EH7IQCDH2Q5D","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1167","","image-button-response","1","7324","0.0-1.0","A2EH7IQCDH2Q5D","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1537","","image-button-response","2","8868","0.0-2.0-0.0","A2EH7IQCDH2Q5D","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2264","","survey-text","3","11132","0.0-3.0-0.0","A2EH7IQCDH2Q5D","","","","{""Q0"":""A2EH7IQCDH2Q5D""}","","","","","","","","","","","","","","","","","","","","","","",""
"3700","","image-button-response_instructions","4","14835","0.0-4.0","A2EH7IQCDH2Q5D","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7593","","image-button-response_instructions","5","22428","0.0-5.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3342","","image-button-response_instructions","6","25772","0.0-6.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2289","","image-button-response_instructions","7","28063","0.0-7.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9600","","image-button-response_instructions","8","37665","0.0-8.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3621","","image-button-response_instructions","9","41286","0.0-9.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2371","","image-button-response_instructions","10","43658","0.0-10.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3681","","image-button-response_instructions","11","47341","0.0-11.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2540","","image-button-response_instructions","12","49882","0.0-12.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6841","","image-button-response_instructions","13","56724","0.0-13.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7291","","image-button-response_instructions","14","64016","0.0-14.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3761","","image-button-response_instructions","15","67778","0.0-15.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8421","","image-button-response_instructions","16","76200","0.0-16.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5791","","image-button-response_instructions","17","81993","0.0-17.0","A2EH7IQCDH2Q5D","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1920","","image-button-response_instructions","18","83914","0.0-18.0","A2EH7IQCDH2Q5D","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4034","","survey-text","19","87968","0.0-19.0-0.0","A2EH7IQCDH2Q5D","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"21999","","survey-text","20","109969","0.0-20.0-0.0","A2EH7IQCDH2Q5D","","","","{""Q0"":""it looks like chaotic mud made by a toddler""}","","","","","","","","","","","","","","","","","","","","","","",""
"3952.2999999523163","","image-slider-response","21","113923","0.0-21.0","A2EH7IQCDH2Q5D","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","118927","0.0-22.0","A2EH7IQCDH2Q5D","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2147","","image-button-response","23","121077","0.0-23.0","A2EH7IQCDH2Q5D","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1528","","image-button-response","24","122607","0.0-24.0-0.0","A2EH7IQCDH2Q5D","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4469","","image-button-response","25","127079","0.0-25.0-0.0","A2EH7IQCDH2Q5D","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","128085","0.0-26.0","A2EH7IQCDH2Q5D","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-50","it looks like chaotic mud made by a toddler","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Beth","This color reminds me of poo,-46,60,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","0"
"24240","","survey-text","27","152330","0.0-27.0-0.0","A2EH7IQCDH2Q5D","","","","{""Q0"":""the complex textures are amusing""}","","","","","","","","","","","","","","","","","","","","","","",""
"3713.699999809265","","image-slider-response","28","156046","0.0-28.0","A2EH7IQCDH2Q5D","","","","","9","","","","","","","","","","","","","","","","","","","","","",""
