"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"10686","external_page_harvard.html","external-html","0","11015","0.0-0.0","A2EKCMS8IKV57N","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1783","","image-button-response","1","12806","0.0-1.0","A2EKCMS8IKV57N","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3295","","image-button-response","2","16119","0.0-2.0-0.0","A2EKCMS8IKV57N","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4087","","survey-text","3","20212","0.0-3.0-0.0","A2EKCMS8IKV57N","","","","{""Q0"":""A2EKCMS8IKV57N""}","","","","","","","","","","","","","","","","","","","","","","",""
"12374","","image-button-response_instructions","4","32594","0.0-4.0","A2EKCMS8IKV57N","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18525","","image-button-response_instructions","5","51123","0.0-5.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8096","","image-button-response_instructions","6","59223","0.0-6.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9941","","image-button-response_instructions","7","69169","0.0-7.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13901","","image-button-response_instructions","8","83074","0.0-8.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2875","","image-button-response_instructions","9","85953","0.0-9.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2888","","image-button-response_instructions","10","88845","0.0-10.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4001","","image-button-response_instructions","11","92850","0.0-11.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19268","","image-button-response_instructions","12","112122","0.0-12.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21179","","image-button-response_instructions","13","133305","0.0-13.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14070","","image-button-response_instructions","14","147378","0.0-14.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7029","","image-button-response_instructions","15","154410","0.0-15.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10439","","image-button-response_instructions","16","164851","0.0-16.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6702","","image-button-response_instructions","17","171555","0.0-17.0","A2EKCMS8IKV57N","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2101","","image-button-response_instructions","18","173659","0.0-18.0","A2EKCMS8IKV57N","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7426","","survey-text","19","181243","0.0-19.0-0.0","A2EKCMS8IKV57N","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"47247","","survey-text","20","228495","0.0-20.0-0.0","A2EKCMS8IKV57N","","","","{""Q0"":""drab colors and uninspiring""}","","","","","","","","","","","","","","","","","","","","","","",""
"3721.900000002235","","image-slider-response","21","232229","0.0-21.0","A2EKCMS8IKV57N","","","","","-39","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","237238","0.0-22.0","A2EKCMS8IKV57N","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"10196","","image-button-response","23","247440","0.0-23.0","A2EKCMS8IKV57N","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"9854","","image-button-response","24","257307","0.0-24.0-0.0","A2EKCMS8IKV57N","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"7888","","image-button-response","25","265205","0.0-25.0-0.0","A2EKCMS8IKV57N","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","266713","0.0-26.0","A2EKCMS8IKV57N","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-39","drab colors and uninspiring","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Carl","very calming artwork,42,80,20","Jack","I like the sophisticated brushwork,40,120,20","0"
"14262","","survey-text","27","280988","0.0-27.0-0.0","A2EKCMS8IKV57N","","","","{""Q0"":""colorful and interesting textures""}","","","","","","","","","","","","","","","","","","","","","","",""
"4750.79999999702","","image-slider-response","28","285745","0.0-28.0","A2EKCMS8IKV57N","","","","","16","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","290753","0.0-29.0","A2EKCMS8IKV57N","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2368","","image-button-response","30","293128","0.0-30.0","A2EKCMS8IKV57N","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339","","image-button-response","31","294477","0.0-31.0-0.0","A2EKCMS8IKV57N","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"7148","","image-button-response","32","301631","0.0-32.0-0.0","A2EKCMS8IKV57N","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","303136","0.0-33.0","A2EKCMS8IKV57N","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","16","colorful and interesting textures","Adam,James,Kyle,Carl,John,Jack","too much color,-18,20,20","looks too angry,-50,140,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Carl","I can feel the artist's passion in it,45,80,20","John","love the texture of paint,48,160,20","Adam","too much color,-18,20,20","0"
"20542","","survey-text","34","323693","0.0-34.0-0.0","A2EKCMS8IKV57N","","","","{""Q0"":""interesting design with seemingly human figures""}","","","","","","","","","","","","","","","","","","","","","","",""
"3031","","image-slider-response","35","326729","0.0-35.0","A2EKCMS8IKV57N","","","","","35","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","331736","0.0-36.0","A2EKCMS8IKV57N","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3145","","image-button-response","37","334887","0.0-37.0","A2EKCMS8IKV57N","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2739","","image-button-response","38","337633","0.0-38.0-0.0","A2EKCMS8IKV57N","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"9823","","image-button-response","39","347465","0.0-39.0-0.0","A2EKCMS8IKV57N","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","348969","0.0-40.0","A2EKCMS8IKV57N","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","35","interesting design with seemingly human figures","Adam,Mike,Ron,Carl,John,Sam","My daily routine, it's depressing,-20,20,20","enjoy the different shades of blue,22,200,20","It looks depressing,-26,220,20","It's an alright work,15,80,20","I like the overlapping of brushes,41,160,20","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","John","I like the overlapping of brushes,41,160,20","Adam","My daily routine, it's depressing,-20,20,20","0"
"7584","","image-button-response_instructions","41","356565","0.0-41.0","A2EKCMS8IKV57N","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15320","","survey-likert","42","371891","0.0-42.0-0.0","A2EKCMS8IKV57N","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"6203","","survey-text","43","378110","0.0-43.0-0.0","A2EKCMS8IKV57N","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"21372","","survey-text","44","399486","0.0-44.0-0.0","A2EKCMS8IKV57N","","","","{""Q0"":""seems like a desert""}","","","","","","","","","","","","","","","","","","","","","","",""
