"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"23819","external_page_harvard.html","external-html","0","23859","0.0-0.0","A2G7N0X0PNX0EE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1777","","image-button-response","1","25638","0.0-1.0","A2G7N0X0PNX0EE","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1918","","image-button-response","2","27560","0.0-2.0-0.0","A2G7N0X0PNX0EE","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4254","","survey-text","3","31816","0.0-3.0-0.0","A2G7N0X0PNX0EE","","","","{""Q0"":""A2G7N0X0PNX0EE""}","","","","","","","","","","","","","","","","","","","","","","",""
"8030","","image-button-response_instructions","4","39848","0.0-4.0","A2G7N0X0PNX0EE","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19244","","image-button-response_instructions","5","59092","0.0-5.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11916","","image-button-response_instructions","6","71008","0.0-6.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8117","","image-button-response_instructions","7","79126","0.0-7.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18642","","image-button-response_instructions","8","97768","0.0-8.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3387","","image-button-response_instructions","9","101156","0.0-9.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2952","","image-button-response_instructions","10","104108","0.0-10.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5771","","image-button-response_instructions","11","109880","0.0-11.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4421","","image-button-response_instructions","12","114302","0.0-12.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10747","","image-button-response_instructions","13","125050","0.0-13.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5227","","image-button-response_instructions","14","130278","0.0-14.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5449","","image-button-response_instructions","15","135728","0.0-15.0","A2G7N0X0PNX0EE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
