"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4297","external_page_harvard.html","external-html","0","4586","0.0-0.0","A2GIT09BQEUM9M","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1231","","image-button-response","1","5819","0.0-1.0","A2GIT09BQEUM9M","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1638","","image-button-response","2","7468","0.0-2.0-0.0","A2GIT09BQEUM9M","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9005","","survey-text","3","16476","0.0-3.0-0.0","A2GIT09BQEUM9M","","","","{""Q0"":""A2GIT09BQEUM9M""}","","","","","","","","","","","","","","","","","","","","","","",""
"4200","","image-button-response_instructions","4","20681","0.0-4.0","A2GIT09BQEUM9M","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13901","","image-button-response_instructions","5","34585","0.0-5.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7451","","image-button-response_instructions","6","42039","0.0-6.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19475","","image-button-response_instructions","7","61520","0.0-7.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7346","","image-button-response_instructions","8","68869","0.0-8.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5872","","image-button-response_instructions","9","74744","0.0-9.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3355","","image-button-response_instructions","10","78101","0.0-10.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3722","","image-button-response_instructions","11","81825","0.0-11.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6984","","image-button-response_instructions","12","88812","0.0-12.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9758","","image-button-response_instructions","13","98573","0.0-13.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10579","","image-button-response_instructions","14","109155","0.0-14.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2938","","image-button-response_instructions","15","112096","0.0-15.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8194","","image-button-response_instructions","16","120293","0.0-16.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2078","","image-button-response_instructions","17","122374","0.0-17.0","A2GIT09BQEUM9M","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1662","","image-button-response_instructions","18","124038","0.0-18.0","A2GIT09BQEUM9M","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7554","","survey-text","19","131628","0.0-19.0-0.0","A2GIT09BQEUM9M","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"9725","","survey-text","20","141356","0.0-20.0-0.0","A2GIT09BQEUM9M","","","","{""Q0"":""it's ok but kind of boring.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5428.699999999953","","image-slider-response","21","146789","0.0-21.0","A2GIT09BQEUM9M","","","","","-45","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","151795","0.0-22.0","A2GIT09BQEUM9M","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6064","","image-button-response","23","157863","0.0-23.0","A2GIT09BQEUM9M","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"7198","","image-button-response","24","165067","0.0-24.0-0.0","A2GIT09BQEUM9M","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2504","","image-button-response","25","167579","0.0-25.0-0.0","A2GIT09BQEUM9M","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
