"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"33066","external_page_harvard.html","external-html","0","33185","0.0-0.0","A2H1QUGX0SOUMH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4376","","image-button-response","1","37563","0.0-1.0","A2H1QUGX0SOUMH","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6614","","image-button-response","2","44184","0.0-2.0-0.0","A2H1QUGX0SOUMH","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5384","","survey-text","3","49570","0.0-3.0-0.0","A2H1QUGX0SOUMH","","","","{""Q0"":""A2H1QUGX0SOUMH""}","","","","","","","","","","","","","","","","","","","","","","",""
"13565","","image-button-response_instructions","4","63139","0.0-4.0","A2H1QUGX0SOUMH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14954","","image-button-response_instructions","5","78094","0.0-5.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8510","","image-button-response_instructions","6","86606","0.0-6.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6964","","image-button-response_instructions","7","93572","0.0-7.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12749","","image-button-response_instructions","8","106322","0.0-8.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4578","","image-button-response_instructions","9","110902","0.0-9.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5487","","image-button-response_instructions","10","116390","0.0-10.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3346","","image-button-response_instructions","11","119737","0.0-11.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6312","","image-button-response_instructions","12","126050","0.0-12.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17455","","image-button-response_instructions","13","143506","0.0-13.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9739","","image-button-response_instructions","14","153246","0.0-14.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3918","","image-button-response_instructions","15","157166","0.0-15.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8022","","image-button-response_instructions","16","165190","0.0-16.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8244","","image-button-response_instructions","17","173434","0.0-17.0","A2H1QUGX0SOUMH","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1595","","image-button-response_instructions","18","175031","0.0-18.0","A2H1QUGX0SOUMH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10134","","survey-text","19","185194","0.0-19.0-0.0","A2H1QUGX0SOUMH","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"32362","","survey-text","20","217559","0.0-20.0-0.0","A2H1QUGX0SOUMH","","","","{""Q0"":""Feels like being carried down a waterfall.""}","","","","","","","","","","","","","","","","","","","","","","",""
"7244.5","","image-slider-response","21","224807","0.0-21.0","A2H1QUGX0SOUMH","","","","","21","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","229813","0.0-22.0","A2H1QUGX0SOUMH","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6566","","image-button-response","23","236383","0.0-23.0","A2H1QUGX0SOUMH","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6893","","image-button-response","24","243279","0.0-24.0-0.0","A2H1QUGX0SOUMH","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"733","","image-button-response","25","244015","0.0-25.0-0.0","A2H1QUGX0SOUMH","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","245517","0.0-26.0","A2H1QUGX0SOUMH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","21","Feels like being carried down a waterfall.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","Carl","very calming artwork,42,80,20","0"
"18939","","survey-text","27","264466","0.0-27.0-0.0","A2H1QUGX0SOUMH","","","","{""Q0"":""Interesting use of color and texture.""}","","","","","","","","","","","","","","","","","","","","","","",""
"8145.299999952316","","image-slider-response","28","272614","0.0-28.0","A2H1QUGX0SOUMH","","","","","34","","","","","","","","","","","","","","","","","","","","","",""
"4291","","image-button-response","29","277617","0.0-29.0","A2H1QUGX0SOUMH","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"960","","image-button-response","30","278582","0.0-30.0","A2H1QUGX0SOUMH","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1174","","image-button-response","31","279758","0.0-31.0-0.0","A2H1QUGX0SOUMH","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"11149","","image-button-response","32","290910","0.0-32.0-0.0","A2H1QUGX0SOUMH","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","292414","0.0-33.0","A2H1QUGX0SOUMH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","34","Interesting use of color and texture.","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Carl","I can feel the artist's passion in it,45,80,20","John","love the texture of paint,48,160,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","0"
"43057","","survey-text","34","335483","0.0-34.0-0.0","A2H1QUGX0SOUMH","","","","{""Q0"":""Looks Japanese influenced, like birds in the mist.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4922.200000047684","","image-slider-response","35","340407","0.0-35.0","A2H1QUGX0SOUMH","","","","","33","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","345410","0.0-36.0","A2H1QUGX0SOUMH","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3024","","image-button-response","37","348434","0.0-37.0","A2H1QUGX0SOUMH","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3321","","image-button-response","38","351759","0.0-38.0-0.0","A2H1QUGX0SOUMH","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"18446","","image-button-response","39","370206","0.0-39.0-0.0","A2H1QUGX0SOUMH","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
