"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"9184","external_page_harvard.html","external-html","0","9308","0.0-0.0","A2J3PQ126JY6EQ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2141","","image-button-response","1","11450","0.0-1.0","A2J3PQ126JY6EQ","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2424","","image-button-response","2","13877","0.0-2.0-0.0","A2J3PQ126JY6EQ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2976","","survey-text","3","16855","0.0-3.0-0.0","A2J3PQ126JY6EQ","","","","{""Q0"":""A2J3PQ126JY6EQ""}","","","","","","","","","","","","","","","","","","","","","","",""
"16085","","image-button-response_instructions","4","32941","0.0-4.0","A2J3PQ126JY6EQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14497","","image-button-response_instructions","5","47439","0.0-5.0","A2J3PQ126JY6EQ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4659","","image-button-response_instructions","6","52099","0.0-6.0","A2J3PQ126JY6EQ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9804","","image-button-response_instructions","7","61904","0.0-7.0","A2J3PQ126JY6EQ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10310","","image-button-response_instructions","8","72215","0.0-8.0","A2J3PQ126JY6EQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4310","","image-button-response_instructions","9","76525","0.0-9.0","A2J3PQ126JY6EQ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3316","","image-button-response_instructions","10","79841","0.0-10.0","A2J3PQ126JY6EQ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3358","","image-button-response_instructions","11","83199","0.0-11.0","A2J3PQ126JY6EQ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
