"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13830","external_page_harvard.html","external-html","0","13879","0.0-0.0","A2JC5V4UKJ2CEC","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3086","","image-button-response","1","16968","0.0-1.0","A2JC5V4UKJ2CEC","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2412","","image-button-response","2","19385","0.0-2.0-0.0","A2JC5V4UKJ2CEC","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6140","","survey-text","3","25527","0.0-3.0-0.0","A2JC5V4UKJ2CEC","","","","{""Q0"":""A2JC5V4UKJ2CEC""}","","","","","","","","","","","","","","","","","","","","","","",""
"7558","","image-button-response_instructions","4","33087","0.0-4.0","A2JC5V4UKJ2CEC","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22479","","image-button-response_instructions","5","55566","0.0-5.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9152","","image-button-response_instructions","6","64720","0.0-6.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4678","","image-button-response_instructions","7","69398","0.0-7.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2298","","image-button-response_instructions","8","71698","0.0-8.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4108","","image-button-response_instructions","9","75808","0.0-9.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1890","","image-button-response_instructions","10","77698","0.0-10.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3391","","image-button-response_instructions","11","81089","0.0-11.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3879","","image-button-response_instructions","12","84969","0.0-12.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8569","","image-button-response_instructions","13","93539","0.0-13.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1634","","image-button-response_instructions","14","95173","0.0-14.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2578","","image-button-response_instructions","15","97751","0.0-15.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1446","","image-button-response_instructions","16","99198","0.0-16.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2804","","image-button-response_instructions","17","102003","0.0-17.0","A2JC5V4UKJ2CEC","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2434","","image-button-response_instructions","18","104438","0.0-18.0","A2JC5V4UKJ2CEC","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10104","","survey-text","19","114562","0.0-19.0-0.0","A2JC5V4UKJ2CEC","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"30527","","survey-text","20","145091","0.0-20.0-0.0","A2JC5V4UKJ2CEC","","","","{""Q0"":""hello""}","","","","","","","","","","","","","","","","","","","","","","",""
"10147","","survey-text","21","157471","0.0-20.1-0.1","A2JC5V4UKJ2CEC","","","","{""Q0"":""Good one""}","","","","","","","","","","","","","","","","","","","","","","",""
"4467","","image-slider-response","22","161941","0.0-21.0","A2JC5V4UKJ2CEC","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"2778","","image-button-response","23","166944","0.0-22.0","A2JC5V4UKJ2CEC","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"30275","","image-button-response","24","197221","0.0-23.0","A2JC5V4UKJ2CEC","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1387","","image-button-response","25","198610","0.0-24.0-0.0","A2JC5V4UKJ2CEC","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"619","","image-button-response","26","202733","0.0-24.1-0.1","A2JC5V4UKJ2CEC","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1493","","image-button-response","27","204231","0.0-25.0-0.0","A2JC5V4UKJ2CEC","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
