"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"77743","external_page_harvard.html","external-html","0","77995","0.0-0.0","A2JMEQ3KQFQCRM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1518","","image-button-response","1","79516","0.0-1.0","A2JMEQ3KQFQCRM","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1228","","image-button-response","2","80750","0.0-2.0-0.0","A2JMEQ3KQFQCRM","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7052","","survey-text","3","87805","0.0-3.0-0.0","A2JMEQ3KQFQCRM","","","","{""Q0"":""A2JMEQ3KQFQCRM""}","","","","","","","","","","","","","","","","","","","","","","",""
"2597","","image-button-response_instructions","4","90405","0.0-4.0","A2JMEQ3KQFQCRM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5358","","image-button-response_instructions","5","95766","0.0-5.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2796","","image-button-response_instructions","6","98564","0.0-6.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4263","","image-button-response_instructions","7","102828","0.0-7.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3825","","image-button-response_instructions","8","106654","0.0-8.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","","image-button-response_instructions","9","108175","0.0-9.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1739","","image-button-response_instructions","10","109916","0.0-10.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1088","","image-button-response_instructions","11","111006","0.0-11.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2880","","image-button-response_instructions","12","113888","0.0-12.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2833","","image-button-response_instructions","13","116722","0.0-13.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2298","","image-button-response_instructions","14","119022","0.0-14.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1646","","image-button-response_instructions","15","120670","0.0-15.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6541","","image-button-response_instructions","16","127211","0.0-16.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2919","","image-button-response_instructions","17","130132","0.0-17.0","A2JMEQ3KQFQCRM","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1783","","image-button-response_instructions","18","131916","0.0-18.0","A2JMEQ3KQFQCRM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4597","","survey-text","19","136569","0.0-19.0-0.0","A2JMEQ3KQFQCRM","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"13227","","survey-text","20","149800","0.0-20.0-0.0","A2JMEQ3KQFQCRM","","","","{""Q0"":""Hopeful for spring""}","","","","","","","","","","","","","","","","","","","","","","",""
"2735.900000035763","","image-slider-response","21","152540","0.0-21.0","A2JMEQ3KQFQCRM","","","","","25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","157548","0.0-22.0","A2JMEQ3KQFQCRM","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5823","","image-button-response","23","163375","0.0-23.0","A2JMEQ3KQFQCRM","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4439","","image-button-response","24","167818","0.0-24.0-0.0","A2JMEQ3KQFQCRM","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2410","","image-button-response","25","170232","0.0-25.0-0.0","A2JMEQ3KQFQCRM","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
