"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"329306","external_page_harvard.html","external-html","0","329354","0.0-0.0","A2KS62ZCHB0RLZ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1668","","image-button-response","1","331025","0.0-1.0","A2KS62ZCHB0RLZ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4989","","image-button-response","2","336020","0.0-2.0-0.0","A2KS62ZCHB0RLZ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6338","","survey-text","3","342360","0.0-3.0-0.0","A2KS62ZCHB0RLZ","","","","{""Q0"":""A2KS62ZCHB0RLZ""}","","","","","","","","","","","","","","","","","","","","","","",""
"46534","","image-button-response_instructions","4","388897","0.0-4.0","A2KS62ZCHB0RLZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"52664","","image-button-response_instructions","5","441563","0.0-5.0","A2KS62ZCHB0RLZ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15260","","image-button-response_instructions","6","456825","0.0-6.0","A2KS62ZCHB0RLZ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12222","","image-button-response_instructions","7","469049","0.0-7.0","A2KS62ZCHB0RLZ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"38808","","image-button-response_instructions","8","507859","0.0-8.0","A2KS62ZCHB0RLZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2690","","image-button-response_instructions","9","510551","0.0-9.0","A2KS62ZCHB0RLZ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2653","","image-button-response_instructions","10","513206","0.0-10.0","A2KS62ZCHB0RLZ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1273","","image-button-response_instructions","11","514479","0.0-11.0","A2KS62ZCHB0RLZ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9043","","image-button-response_instructions","12","523524","0.0-12.0","A2KS62ZCHB0RLZ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28478","","image-button-response_instructions","13","552003","0.0-13.0","A2KS62ZCHB0RLZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
