"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"311561","external_page_harvard.html","external-html","0","312052","0.0-0.0","A2KW87ZD2ELYNG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1552","","image-button-response","1","313606","0.0-1.0","A2KW87ZD2ELYNG","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2669","","image-button-response","2","316280","0.0-2.0-0.0","A2KW87ZD2ELYNG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4812","","survey-text","3","321094","0.0-3.0-0.0","A2KW87ZD2ELYNG","","","","{""Q0"":""A2KW87ZD2ELYNG""}","","","","","","","","","","","","","","","","","","","","","","",""
"19350","","image-button-response_instructions","4","340447","0.0-4.0","A2KW87ZD2ELYNG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21353","","image-button-response_instructions","5","361801","0.0-5.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11005","","image-button-response_instructions","6","372806","0.0-6.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10080","","image-button-response_instructions","7","382887","0.0-7.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9089","","image-button-response_instructions","8","391977","0.0-8.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8416","","image-button-response_instructions","9","400395","0.0-9.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8934","","image-button-response_instructions","10","409330","0.0-10.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3178","","image-button-response_instructions","11","412509","0.0-11.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9841","","image-button-response_instructions","12","422351","0.0-12.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19706","","image-button-response_instructions","13","442059","0.0-13.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16326","","image-button-response_instructions","14","458385","0.0-14.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11757","","image-button-response_instructions","15","470143","0.0-15.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11058","","image-button-response_instructions","16","481202","0.0-16.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6150","","image-button-response_instructions","17","487354","0.0-17.0","A2KW87ZD2ELYNG","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1391","","image-button-response_instructions","18","488746","0.0-18.0","A2KW87ZD2ELYNG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7115","","survey-text","19","495887","0.0-19.0-0.0","A2KW87ZD2ELYNG","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"21899","","survey-text","20","517788","0.0-20.0-0.0","A2KW87ZD2ELYNG","","","","{""Q0"":""Somebody spilled some paint here!""}","","","","","","","","","","","","","","","","","","","","","","",""
"8374","","image-slider-response","21","526164","0.0-21.0","A2KW87ZD2ELYNG","","","","","-45","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","531169","0.0-22.0","A2KW87ZD2ELYNG","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"13471","","image-button-response","23","544641","0.0-23.0","A2KW87ZD2ELYNG","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5133","","image-button-response","24","549777","0.0-24.0-0.0","A2KW87ZD2ELYNG","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1678","","image-button-response","25","551458","0.0-25.0-0.0","A2KW87ZD2ELYNG","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"8544","","image-button-response","26","563405","0.0-25.1-0.1","A2KW87ZD2ELYNG","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","563908","0.0-26.0","A2KW87ZD2ELYNG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-45","Somebody spilled some paint here!","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","2"
