"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4131","external_page_harvard.html","external-html","0","4219","0.0-0.0","A2MCG5W6LHSRG9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1222","","image-button-response","1","5442","0.0-1.0","A2MCG5W6LHSRG9","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1573","","image-button-response","2","7018","0.0-2.0-0.0","A2MCG5W6LHSRG9","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2175","","survey-text","3","9194","0.0-3.0-0.0","A2MCG5W6LHSRG9","","","","{""Q0"":""A2MCG5W6LHSRG9""}","","","","","","","","","","","","","","","","","","","","","","",""
"6536","","image-button-response_instructions","4","15730","0.0-4.0","A2MCG5W6LHSRG9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7583","","image-button-response_instructions","5","23314","0.0-5.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6759","","image-button-response_instructions","6","30074","0.0-6.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3711","","image-button-response_instructions","7","33786","0.0-7.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20470","","image-button-response_instructions","8","54258","0.0-8.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7711","","image-button-response_instructions","9","61970","0.0-9.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5160","","image-button-response_instructions","10","67130","0.0-10.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4959","","image-button-response_instructions","11","72090","0.0-11.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9183","","image-button-response_instructions","12","81274","0.0-12.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16552","","image-button-response_instructions","13","97826","0.0-13.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14168","","image-button-response_instructions","14","111994","0.0-14.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3918","","image-button-response_instructions","15","115914","0.0-15.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9319","","image-button-response_instructions","16","125234","0.0-16.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4095","","image-button-response_instructions","17","129330","0.0-17.0","A2MCG5W6LHSRG9","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
