"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7552","external_page_harvard.html","external-html","0","7651","0.0-0.0","A2ML4TEAJTDQD0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2137","","image-button-response","1","9791","0.0-1.0","A2ML4TEAJTDQD0","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2523","","image-button-response","2","12319","0.0-2.0-0.0","A2ML4TEAJTDQD0","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5734","","survey-text","3","18055","0.0-3.0-0.0","A2ML4TEAJTDQD0","","","","{""Q0"":""A2ML4TEAJTDQD0""}","","","","","","","","","","","","","","","","","","","","","","",""
"11733","","image-button-response_instructions","4","29791","0.0-4.0","A2ML4TEAJTDQD0","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15782","","image-button-response_instructions","5","45575","0.0-5.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8790","","image-button-response_instructions","6","54367","0.0-6.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3934","","image-button-response_instructions","7","58303","0.0-7.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9022","","image-button-response_instructions","8","67326","0.0-8.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5351","","image-button-response_instructions","9","72679","0.0-9.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6990","","image-button-response_instructions","10","79670","0.0-10.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5031","","image-button-response_instructions","11","84702","0.0-11.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7351","","image-button-response_instructions","12","92055","0.0-12.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7399","","image-button-response_instructions","13","99454","0.0-13.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5047","","image-button-response_instructions","14","104502","0.0-14.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4607","","image-button-response_instructions","15","109111","0.0-15.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7567","","image-button-response_instructions","16","116678","0.0-16.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4271","","image-button-response_instructions","17","120950","0.0-17.0","A2ML4TEAJTDQD0","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1927","","image-button-response_instructions","18","122879","0.0-18.0","A2ML4TEAJTDQD0","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9555","","survey-text","19","132454","0.0-19.0-0.0","A2ML4TEAJTDQD0","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"7038","","survey-text","20","139494","0.0-20.0-0.0","A2ML4TEAJTDQD0","","","","{""Q0"":""confusing""}","","","","","","","","","","","","","","","","","","","","","","",""
"5004.199999988079","","image-slider-response","21","144502","0.0-21.0","A2ML4TEAJTDQD0","","","","","-36","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","149506","0.0-22.0","A2ML4TEAJTDQD0","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2987","","image-button-response","23","152496","0.0-23.0","A2ML4TEAJTDQD0","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"9803","","image-button-response","24","162302","0.0-24.0-0.0","A2ML4TEAJTDQD0","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2678","","image-button-response","25","164983","0.0-25.0-0.0","A2ML4TEAJTDQD0","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","165986","0.0-26.0","A2ML4TEAJTDQD0","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-36","confusing","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Alex","very creative work.,36,40,20","Jack","I like the sophisticated brushwork,40,120,20","0"
"44287","","survey-text","27","210278","0.0-27.0-0.0","A2ML4TEAJTDQD0","","","","{""Q0"":""the colors and strokes makes this painting seem still, stagnant""}","","","","","","","","","","","","","","","","","","","","","","",""
"2701.300000011921","","image-slider-response","28","212982","0.0-28.0","A2ML4TEAJTDQD0","","","","","-27","","","","","","","","","","","","","","","","","","","","","",""
"2462","","image-button-response","29","217987","0.0-29.0","A2ML4TEAJTDQD0","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7026","","image-button-response","30","225014","0.0-30.0","A2ML4TEAJTDQD0","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5214","","image-button-response","31","230231","0.0-31.0-0.0","A2ML4TEAJTDQD0","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1253","","image-button-response","32","231487","0.0-32.0-0.0","A2ML4TEAJTDQD0","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","232489","0.0-33.0","A2ML4TEAJTDQD0","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","-27","the colors and strokes makes this painting seem still, stagnant","John,Alex,Kyle,James,Daniel,Jack","love the texture of paint,48,160,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","Kyle","Idk, it is just annoying,-32,180,20","James","looks too angry,-50,140,20","0"
"12992","","survey-text","34","245486","0.0-34.0-0.0","A2ML4TEAJTDQD0","","","","{""Q0"":""it looks cold and feels cold""}","","","","","","","","","","","","","","","","","","","","","","",""
"2270.099999964237","","image-slider-response","35","247758","0.0-35.0","A2ML4TEAJTDQD0","","","","","30","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","252762","0.0-36.0","A2ML4TEAJTDQD0","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1378","","image-button-response","37","254142","0.0-37.0","A2ML4TEAJTDQD0","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5453","","image-button-response","38","259598","0.0-38.0-0.0","A2ML4TEAJTDQD0","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2165","","image-button-response","39","261766","0.0-39.0-0.0","A2ML4TEAJTDQD0","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","263268","0.0-40.0","A2ML4TEAJTDQD0","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","30","it looks cold and feels cold","John,Mike,Kyle,James,Ron,Sam","I like the overlapping of brushes,41,160,20","enjoy the different shades of blue,22,200,20","It looks like a playground for bats,-36,180,20","My worst nightmare,-42,140,20","It looks depressing,-26,220,20","I can feel a rainy day from this painting,18,240,20","Sam","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","John","I like the overlapping of brushes,41,160,20","0"
"8459","","image-button-response_instructions","41","271734","0.0-41.0","A2ML4TEAJTDQD0","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18758","","survey-likert","42","290495","0.0-42.0-0.0","A2ML4TEAJTDQD0","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4199","","survey-text","43","294702","0.0-43.0-0.0","A2ML4TEAJTDQD0","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"20317","","survey-text","44","315022","0.0-44.0-0.0","A2ML4TEAJTDQD0","","","","{""Q0"":""this feels uncomfortable to look at""}","","","","","","","","","","","","","","","","","","","","","","",""
"2565.7000000476837","","image-slider-response","45","317590","0.0-45.0","A2ML4TEAJTDQD0","","","","","-45","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","322612","0.0-46.0","A2ML4TEAJTDQD0","img_art/4.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"712","","image-button-response","47","323327","0.0-47.0","A2ML4TEAJTDQD0","img_art/4.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2309","","image-button-response","48","325639","0.0-48.0-0.0","A2ML4TEAJTDQD0","img_art/4.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2165","","image-button-response","49","327807","0.0-49.0-0.0","A2ML4TEAJTDQD0","img_art/4.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","329323","0.0-50.0","A2ML4TEAJTDQD0","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/4.jpg","-45","this feels uncomfortable to look at","Jeffrey,Taylor,Stephen,Lucas,Blake,Angel","Easy and relaxing,23,40,20","They give out trophies now for fighting with brass knuckles?,-20,200,20","Just doesn't look nice.,-40,140,20","Not bad at all.,20,380,20","ugly puke yellow is cold and dark,-29,280,20","I feel kind of guilty looking at this, like I'm receiving a reward I don't I deserve.,-10,180,20","Stephen","Just doesn't look nice.,-40,140,20","Blake","ugly puke yellow is cold and dark,-29,280,20","Angel","I feel kind of guilty looking at this, like I'm receiving a reward I don't I deserve.,-10,180,20","0"
"35318","","survey-text","51","364647","0.0-51.0-0.0","A2ML4TEAJTDQD0","","","","{""Q0"":""It looks like city skyline""}","","","","","","","","","","","","","","","","","","","","","","",""
"2005.300000011921","","image-slider-response","52","366655","0.0-52.0","A2ML4TEAJTDQD0","","","","","36","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","53","371666","0.0-53.0","A2ML4TEAJTDQD0","img_art/11.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2106","","image-button-response","54","373775","0.0-54.0","A2ML4TEAJTDQD0","img_art/11.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
