"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"41224","external_page_harvard.html","external-html","0","41309","0.0-0.0","A2R1LWOGQJTGRL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1723","","image-button-response","1","43039","0.0-1.0","A2R1LWOGQJTGRL","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2041","","image-button-response","2","45095","0.0-2.0-0.0","A2R1LWOGQJTGRL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6236","","survey-text","3","51337","0.0-3.0-0.0","A2R1LWOGQJTGRL","","","","{""Q0"":""A2R1LWOGQJTGRL""}","","","","","","","","","","","","","","","","","","","","","","",""
"2397","","image-button-response_instructions","4","53741","0.0-4.0","A2R1LWOGQJTGRL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6199","","image-button-response_instructions","5","59949","0.0-5.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3013","","image-button-response_instructions","6","62970","0.0-6.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4448","","image-button-response_instructions","7","67426","0.0-7.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16470","","image-button-response_instructions","8","83903","0.0-8.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2109","","image-button-response_instructions","9","86017","0.0-9.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2792","","image-button-response_instructions","10","88812","0.0-10.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1502","","image-button-response_instructions","11","90319","0.0-11.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4020","","image-button-response_instructions","12","94344","0.0-12.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5525","","image-button-response_instructions","13","99875","0.0-13.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3425","","image-button-response_instructions","14","103305","0.0-14.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2182","","image-button-response_instructions","15","105492","0.0-15.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4349","","image-button-response_instructions","16","109845","0.0-16.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2617","","image-button-response_instructions","17","112469","0.0-17.0","A2R1LWOGQJTGRL","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1250","","image-button-response_instructions","18","113723","0.0-18.0","A2R1LWOGQJTGRL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5287","","survey-text","19","119090","0.0-19.0-0.0","A2R1LWOGQJTGRL","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19724","","survey-text","20","138821","0.0-20.0-0.0","A2R1LWOGQJTGRL","","","","{""Q0"":""It looks like a rabbit in a pink field""}","","","","","","","","","","","","","","","","","","","","","","",""
"10739.099999997765","","image-slider-response","21","149570","0.0-21.0","A2R1LWOGQJTGRL","","","","","-15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","154585","0.0-22.0","A2R1LWOGQJTGRL","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"8015","","image-button-response","23","162610","0.0-23.0","A2R1LWOGQJTGRL","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1842","","image-button-response","24","164462","0.0-24.0-0.0","A2R1LWOGQJTGRL","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2157","","image-button-response","25","166629","0.0-25.0-0.0","A2R1LWOGQJTGRL","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","167139","0.0-26.0","A2R1LWOGQJTGRL","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-15","It looks like a rabbit in a pink field","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"22799","","survey-text","27","189965","0.0-27.0-0.0","A2R1LWOGQJTGRL","","","","{""Q0"":""Looks like a gate with an ocean behind it""}","","","","","","","","","","","","","","","","","","","","","","",""
"6802.900000002235","","image-slider-response","28","196776","0.0-28.0","A2R1LWOGQJTGRL","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","201791","0.0-29.0","A2R1LWOGQJTGRL","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4938","","image-button-response","30","206738","0.0-30.0","A2R1LWOGQJTGRL","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"8434","","image-button-response","31","215181","0.0-31.0-0.0","A2R1LWOGQJTGRL","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1785","","image-button-response","32","216973","0.0-32.0-0.0","A2R1LWOGQJTGRL","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","217478","0.0-33.0","A2R1LWOGQJTGRL","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","5","Looks like a gate with an ocean behind it","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Jen","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","Kara","I like the blocks of color arrangements,30,160,20","0"
"12450","","survey-text","34","229947","0.0-34.0-0.0","A2R1LWOGQJTGRL","","","","{""Q0"":""It looks cold and icy""}","","","","","","","","","","","","","","","","","","","","","","",""
