"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11339","external_page_harvard.html","external-html","0","11593","0.0-0.0","A2TCX20FIMNWSS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2378","","image-button-response","1","13974","0.0-1.0","A2TCX20FIMNWSS","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3424","","image-button-response","2","17406","0.0-2.0-0.0","A2TCX20FIMNWSS","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9433","","survey-text","3","26842","0.0-3.0-0.0","A2TCX20FIMNWSS","","","","{""Q0"":""A2TCX20FIMNWSS""}","","","","","","","","","","","","","","","","","","","","","","",""
"17208","","image-button-response_instructions","4","44052","0.0-4.0","A2TCX20FIMNWSS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"129019","","image-button-response_instructions","5","173073","0.0-5.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12700","","image-button-response_instructions","6","185774","0.0-6.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17402","","image-button-response_instructions","7","203178","0.0-7.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"43994","","image-button-response_instructions","8","247174","0.0-8.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9292","","image-button-response_instructions","9","256468","0.0-9.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11080","","image-button-response_instructions","10","267550","0.0-10.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3642","","image-button-response_instructions","11","271194","0.0-11.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13790","","image-button-response_instructions","12","284986","0.0-12.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"59007","","image-button-response_instructions","13","343995","0.0-13.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18851","","image-button-response_instructions","14","362848","0.0-14.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7034","","image-button-response_instructions","15","369883","0.0-15.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13635","","image-button-response_instructions","16","383520","0.0-16.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6923","","image-button-response_instructions","17","390445","0.0-17.0","A2TCX20FIMNWSS","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2319","","image-button-response_instructions","18","392766","0.0-18.0","A2TCX20FIMNWSS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9045","","survey-text","19","401840","0.0-19.0-0.0","A2TCX20FIMNWSS","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"17309","","survey-text","20","419150","0.0-20.0-0.0","A2TCX20FIMNWSS","","","","{""Q0"":""colorful and lively""}","","","","","","","","","","","","","","","","","","","","","","",""
"4384.300000000745","","image-slider-response","21","423538","0.0-21.0","A2TCX20FIMNWSS","","","","","31","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","428556","0.0-22.0","A2TCX20FIMNWSS","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4679","","image-button-response","23","433240","0.0-23.0","A2TCX20FIMNWSS","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"7705","","image-button-response","24","440950","0.0-24.0-0.0","A2TCX20FIMNWSS","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"7635","","image-button-response","25","448589","0.0-25.0-0.0","A2TCX20FIMNWSS","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
