"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"3165","external_page_harvard.html","external-html","0","3248","0.0-0.0","A2VLK57ZQ2YI28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1159","","image-button-response","1","4409","0.0-1.0","A2VLK57ZQ2YI28","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1347","","image-button-response","2","5760","0.0-2.0-0.0","A2VLK57ZQ2YI28","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2681","","survey-text","3","8443","0.0-3.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""A2VLK57ZQ2YI28""}","","","","","","","","","","","","","","","","","","","","","","",""
"1688","","image-button-response_instructions","4","10133","0.0-4.0","A2VLK57ZQ2YI28","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5484","","image-button-response_instructions","5","15618","0.0-5.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2181","","image-button-response_instructions","6","17801","0.0-6.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3225","","image-button-response_instructions","7","21026","0.0-7.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2053","","image-button-response_instructions","8","23080","0.0-8.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1633","","image-button-response_instructions","9","24714","0.0-9.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1129","","image-button-response_instructions","10","25844","0.0-10.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"579","","image-button-response_instructions","11","26424","0.0-11.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5460","","image-button-response_instructions","12","31885","0.0-12.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5391","","image-button-response_instructions","13","37276","0.0-13.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2801","","image-button-response_instructions","14","40078","0.0-14.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"947","","image-button-response_instructions","15","41026","0.0-15.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1109","","image-button-response_instructions","16","42136","0.0-16.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1121","","image-button-response_instructions","17","43258","0.0-17.0","A2VLK57ZQ2YI28","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"675","","image-button-response_instructions","18","43935","0.0-18.0","A2VLK57ZQ2YI28","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3902","","survey-text","19","47856","0.0-19.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"6297","","survey-text","20","54154","0.0-20.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""disorganized""}","","","","","","","","","","","","","","","","","","","","","","",""
"3756.2000000476837","","image-slider-response","21","57912","0.0-21.0","A2VLK57ZQ2YI28","","","","","-6","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","62915","0.0-22.0","A2VLK57ZQ2YI28","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1408","","image-button-response","23","64325","0.0-23.0","A2VLK57ZQ2YI28","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3654","","image-button-response","24","67981","0.0-24.0-0.0","A2VLK57ZQ2YI28","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2596","","image-button-response","25","70578","0.0-25.0-0.0","A2VLK57ZQ2YI28","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","71080","0.0-26.0","A2VLK57ZQ2YI28","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-6","disorganized","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Jack","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","0"
"3679","","survey-text","27","74762","0.0-27.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""muddled""}","","","","","","","","","","","","","","","","","","","","","","",""
"1932.4000000953674","","image-slider-response","28","76696","0.0-28.0","A2VLK57ZQ2YI28","","","","","-7","","","","","","","","","","","","","","","","","","","","","",""
"2595","","image-button-response","29","81699","0.0-29.0","A2VLK57ZQ2YI28","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1196","","image-button-response","30","82897","0.0-30.0","A2VLK57ZQ2YI28","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6013","","image-button-response","31","88911","0.0-31.0-0.0","A2VLK57ZQ2YI28","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"563","","image-button-response","32","89476","0.0-32.0-0.0","A2VLK57ZQ2YI28","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","89977","0.0-33.0","A2VLK57ZQ2YI28","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-7","muddled","Adam,John,Kyle,James,Daniel,Jack","too much color,-18,20,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","Adam","too much color,-18,20,20","0"
"8731","","survey-text","34","98710","0.0-34.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""this looks icy, i love it""}","","","","","","","","","","","","","","","","","","","","","","",""
"2706","","image-slider-response","35","101418","0.0-35.0","A2VLK57ZQ2YI28","","","","","40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","106419","0.0-36.0","A2VLK57ZQ2YI28","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"238","","image-button-response","37","106658","0.0-37.0","A2VLK57ZQ2YI28","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"796","","image-button-response","38","107456","0.0-38.0-0.0","A2VLK57ZQ2YI28","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"677","","image-button-response","39","108134","0.0-39.0-0.0","A2VLK57ZQ2YI28","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","109636","0.0-40.0","A2VLK57ZQ2YI28","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","40","this looks icy, i love it","Adam,John,Sam,Mike,Ron,Jack","My daily routine, it's depressing,-20,20,20","I like the overlapping of brushes,41,160,20","I can feel a rainy day from this painting,18,240,20","enjoy the different shades of blue,22,200,20","It looks depressing,-26,220,20","I feel connected to the artist,40,120,20","Mike","enjoy the different shades of blue,22,200,20","John","I like the overlapping of brushes,41,160,20","Jack","I feel connected to the artist,40,120,20","0"
"3525","","image-button-response_instructions","41","113164","0.0-41.0","A2VLK57ZQ2YI28","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7145","","survey-likert","42","120310","0.0-42.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"3426","","survey-text","43","123746","0.0-43.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"673487","","survey-text","44","797234","0.0-44.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""this looks very messy""}","","","","","","","","","","","","","","","","","","","","","","",""
"2489.5","","image-slider-response","45","799725","0.0-45.0","A2VLK57ZQ2YI28","","","","","-32","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","804746","0.0-46.0","A2VLK57ZQ2YI28","img_art/29.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"22134","","image-button-response","47","826881","0.0-47.0","A2VLK57ZQ2YI28","img_art/29.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3926","","image-button-response","48","830810","0.0-48.0-0.0","A2VLK57ZQ2YI28","img_art/29.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1862","","image-button-response","49","832674","0.0-49.0-0.0","A2VLK57ZQ2YI28","img_art/29.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","833176","0.0-50.0","A2VLK57ZQ2YI28","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/29.jpg","-32","this looks very messy","Scott,Derek,Corey,Sean,Isaac,Jake","feels random and not thoughtout,-37,20,20","Very wild and I like it,20,360,20","this does nothing for me. hate the colors. hate the design,-50,260,20","my response to the picture is that it looks so nice and cool and the details,34,40,20","It is intriguing but I don't like the red X.,6,280,20","This is very gross and odd looking.,-8,360,20","Scott","feels random and not thoughtout,-37,20,20","Jake","This is very gross and odd looking.,-8,360,20","Corey","this does nothing for me. hate the colors. hate the design,-50,260,20","0"
"9681","","survey-text","51","842860","0.0-51.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""i like the loops but there's not much else going on here""}","","","","","","","","","","","","","","","","","","","","","","",""
"3119.5999999046326","","image-slider-response","52","845981","0.0-52.0","A2VLK57ZQ2YI28","","","","","4","","","","","","","","","","","","","","","","","","","","","",""
"2831","","image-button-response","53","850984","0.0-53.0","A2VLK57ZQ2YI28","img_art/4.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"358","","image-button-response","54","851344","0.0-54.0","A2VLK57ZQ2YI28","img_art/4.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4483","","image-button-response","55","855827","0.0-55.0-0.0","A2VLK57ZQ2YI28","img_art/4.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"560","","image-button-response","56","856389","0.0-56.0-0.0","A2VLK57ZQ2YI28","img_art/4.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","57","856891","0.0-57.0","A2VLK57ZQ2YI28","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","2","img_art/4.jpg","4","i like the loops but there's not much else going on here","Scott,Dylan,Corey,David,Michael,Jake","feels free flowing and relaxed,21,20,20","This artwork looks like a child did it,-41,40,20","doesn't do anything for me,-4,260,20","I like the design. It can be interpreted in various ways, such as a hand of horror or still piece.,15,340,20","Looks like a child did it.,-42,140,20","This is ugly in color and in terms of the shape on it.,-32,360,20","David","I like the design. It can be interpreted in various ways, such as a hand of horror or still piece.,15,340,20","Dylan","This artwork looks like a child did it,-41,40,20","Corey","doesn't do anything for me,-4,260,20","0"
"10157","","survey-text","58","867051","0.0-58.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""i can't seem to discern anything from this art""}","","","","","","","","","","","","","","","","","","","","","","",""
"1602.2000000476837","","image-slider-response","59","868655","0.0-59.0","A2VLK57ZQ2YI28","","","","","-40","","","","","","","","","","","","","","","","","","","","","",""
"3907","","image-button-response","60","873657","0.0-60.0","A2VLK57ZQ2YI28","img_art/28.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1466","","image-button-response","61","875123","0.0-61.0","A2VLK57ZQ2YI28","img_art/28.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"399","","image-button-response","62","875523","0.0-62.0-0.0","A2VLK57ZQ2YI28","img_art/28.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1121","","image-button-response","63","876645","0.0-63.0-0.0","A2VLK57ZQ2YI28","img_art/28.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"693","","image-button-response","64","881882","0.0-63.1-0.1","A2VLK57ZQ2YI28","img_art/28.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","65","882883","0.0-64.0","A2VLK57ZQ2YI28","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","3","img_art/28.jpg","-40","i can't seem to discern anything from this art","Trevor,Dylan,Corey,David,Adrian,James","very blah colors and it's not fun,-27,280,20","Boring, looks like it belongs in a coffee shop,-20,40,20","i like the neutral color pallette but i dont know what i am looking at,26,260,20","I feel that the image is invoking a sense of negativity.,-15,340,20","Not a fan of the drab colors but it looks a little bit interesting.,-7,60,20","My grandparents would like this, maybe my great grandparents. It's not my style.,-30,380,20","Trevor","very blah colors and it's not fun,-27,280,20","Dylan","Boring, looks like it belongs in a coffee shop,-20,40,20","James","My grandparents would like this, maybe my great grandparents. It's not my style.,-30,380,20","2"
"6969","","survey-text","66","889855","0.0-65.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""there's too much going on here""}","","","","","","","","","","","","","","","","","","","","","","",""
"1728.5999999046326","","image-slider-response","67","891585","0.0-66.0","A2VLK57ZQ2YI28","","","","","-5","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","68","896587","0.0-67.0","A2VLK57ZQ2YI28","img_art/22.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"946","","image-button-response","69","897535","0.0-68.0","A2VLK57ZQ2YI28","img_art/22.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1519","","image-button-response","70","899056","0.0-69.0-0.0","A2VLK57ZQ2YI28","img_art/22.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1743","","image-button-response","71","900801","0.0-70.0-0.0","A2VLK57ZQ2YI28","img_art/22.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","72","901302","0.0-71.0","A2VLK57ZQ2YI28","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","4","img_art/22.jpg","-5","there's too much going on here","Trevor,Dylan,Nicholas,Joseph,Luis,James","i like the colors but it looks too 80s for me,7,280,20","The colors in this picture are nice.,32,40,20","Pretty colors but something seems sinister about it,25,240,20","I don't like that it looks like a person is there upside down.,-16,220,20","Just not feeling it,-19,400,20","Like the black key and the rainbow color theme.,31,380,20","Luis","Just not feeling it,-19,400,20","Trevor","i like the colors but it looks too 80s for me,7,280,20","Joseph","I don't like that it looks like a person is there upside down.,-16,220,20","2"
"12768","","survey-text","73","914074","0.0-72.0-0.0","A2VLK57ZQ2YI28","","","","{""Q0"":""i can't really get a grasp of what's in this art piece""}","","","","","","","","","","","","","","","","","","","","","","",""
"2090.7000000476837","","image-slider-response","74","916166","0.0-73.0","A2VLK57ZQ2YI28","","","","","-16","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","75","921168","0.0-74.0","A2VLK57ZQ2YI28","img_art/24.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3120","","image-button-response","76","924290","0.0-75.0","A2VLK57ZQ2YI28","img_art/24.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"540","","image-button-response","77","924832","0.0-76.0-0.0","A2VLK57ZQ2YI28","img_art/24.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
