"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12902","external_page_harvard.html","external-html","0","13565","0.0-0.0","A2WJMGV0HKQG3Z","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3132","","image-button-response","1","17331","0.0-1.0","A2WJMGV0HKQG3Z","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3001","","image-button-response","2","20348","0.0-2.0-0.0","A2WJMGV0HKQG3Z","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"15168","","survey-text","3","35522","0.0-3.0-0.0","A2WJMGV0HKQG3Z","","","","{""Q0"":""A2WJMGV0HKQG3Z""}","","","","","","","","","","","","","","","","","","","","","","",""
"7243","","image-button-response_instructions","4","42770","0.0-4.0","A2WJMGV0HKQG3Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20068","","image-button-response_instructions","5","62842","0.0-5.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5596","","image-button-response_instructions","6","68441","0.0-6.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8065","","image-button-response_instructions","7","76509","0.0-7.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14422","","image-button-response_instructions","8","90936","0.0-8.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6071","","image-button-response_instructions","9","97009","0.0-9.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3619","","image-button-response_instructions","10","100632","0.0-10.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6210","","image-button-response_instructions","11","106845","0.0-11.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2619","","image-button-response_instructions","12","109468","0.0-12.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4115","","image-button-response_instructions","13","113587","0.0-13.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10445","","image-button-response_instructions","14","124035","0.0-14.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3890","","image-button-response_instructions","15","127928","0.0-15.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2289","","image-button-response_instructions","16","130219","0.0-16.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2972","","image-button-response_instructions","17","133194","0.0-17.0","A2WJMGV0HKQG3Z","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2474","","image-button-response_instructions","18","135671","0.0-18.0","A2WJMGV0HKQG3Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12274","","survey-text","19","148065","0.0-19.0-0.0","A2WJMGV0HKQG3Z","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"10893","","survey-text","20","158962","0.0-20.0-0.0","A2WJMGV0HKQG3Z","","","","{""Q0"":""eye catching""}","","","","","","","","","","","","","","","","","","","","","","",""
"9222.399999976158","","image-slider-response","21","168202","0.0-21.0","A2WJMGV0HKQG3Z","","","","","38","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","173214","0.0-22.0","A2WJMGV0HKQG3Z","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"15704","","image-button-response","23","188931","0.0-23.0","A2WJMGV0HKQG3Z","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"7305","","image-button-response","24","196243","0.0-24.0-0.0","A2WJMGV0HKQG3Z","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"9786","","image-button-response","25","206040","0.0-25.0-0.0","A2WJMGV0HKQG3Z","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","206550","0.0-26.0","A2WJMGV0HKQG3Z","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","38","eye catching","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"12495","","survey-text","27","219092","0.0-27.0-0.0","A2WJMGV0HKQG3Z","","","","{""Q0"":""colorful""}","","","","","","","","","","","","","","","","","","","","","","",""
"4183.400000095367","","image-slider-response","28","223280","0.0-28.0","A2WJMGV0HKQG3Z","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"4848","","image-button-response","29","228307","0.0-29.0","A2WJMGV0HKQG3Z","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"10023","","image-button-response","30","238344","0.0-30.0","A2WJMGV0HKQG3Z","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3655","","image-button-response","31","242004","0.0-31.0-0.0","A2WJMGV0HKQG3Z","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3089","","image-button-response","32","245098","0.0-32.0-0.0","A2WJMGV0HKQG3Z","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","246104","0.0-33.0","A2WJMGV0HKQG3Z","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","11","colorful","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","Kara","I like the blocks of color arrangements,30,160,20","Allison","I don't have strong feelings about this,10,20,20","0"
"22314","","survey-text","34","268450","0.0-34.0-0.0","A2WJMGV0HKQG3Z","","","","{""Q0"":""dramatic""}","","","","","","","","","","","","","","","","","","","","","","",""
"4530.799999952316","","image-slider-response","35","272985","0.0-35.0","A2WJMGV0HKQG3Z","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"3036","","image-button-response","36","277994","0.0-36.0","A2WJMGV0HKQG3Z","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"761","","image-button-response","37","278765","0.0-37.0","A2WJMGV0HKQG3Z","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"887","","image-button-response","38","279657","0.0-38.0-0.0","A2WJMGV0HKQG3Z","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5634","","image-button-response","39","285299","0.0-39.0-0.0","A2WJMGV0HKQG3Z","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","286308","0.0-40.0","A2WJMGV0HKQG3Z","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","13","dramatic","Allison,Kara,Mary,Leslie,Erika,Rose","enjoy the different shades of blue,22,20,20","calming blue is very nice,36,160,20","I like the overlapping of brushes,41,220,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","My daily routine, it's depressing,-20,240,20","Kara","calming blue is very nice,36,160,20","Allison","enjoy the different shades of blue,22,20,20","Mary","I like the overlapping of brushes,41,220,20","0"
"23374","","image-button-response_instructions","41","309723","0.0-41.0","A2WJMGV0HKQG3Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14298","","survey-likert","42","324026","0.0-42.0-0.0","A2WJMGV0HKQG3Z","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5780","","survey-text","43","329842","0.0-43.0-0.0","A2WJMGV0HKQG3Z","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"9258","","survey-text","44","339104","0.0-44.0-0.0","A2WJMGV0HKQG3Z","","","","{""Q0"":""different""}","","","","","","","","","","","","","","","","","","","","","","",""
"4261.799999952316","","image-slider-response","45","343370","0.0-45.0","A2WJMGV0HKQG3Z","","","","","28","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","348463","0.0-46.0","A2WJMGV0HKQG3Z","img_art/15.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2468","","image-button-response","47","350941","0.0-47.0","A2WJMGV0HKQG3Z","img_art/15.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1501","","image-button-response","48","352449","0.0-48.0-0.0","A2WJMGV0HKQG3Z","img_art/15.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"14992","","image-button-response","49","367449","0.0-49.0-0.0","A2WJMGV0HKQG3Z","img_art/15.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","367955","0.0-50.0","A2WJMGV0HKQG3Z","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/15.jpg","28","different","Monica,Sarah,Maria,Brooke,Stephanie,Paige","I don't feel much of anything when looking at this, it's just a random pattern,1,360,20","this is really pretty! i like the pops of blue in all the black,26,180,20","i enjoy its apaprent simplicity (of colour and shape),32,120,20","This one reminds me of a postage stamp, but branches and leaves. Kind of fun.,15,60,20","This piece is too dark,-42,300,20","I feel nothing when looking at this,1,60,20","Sarah","this is really pretty! i like the pops of blue in all the black,26,180,20","Maria","i enjoy its apaprent simplicity (of colour and shape),32,120,20","Brooke","This one reminds me of a postage stamp, but branches and leaves. Kind of fun.,15,60,20","0"
