"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5390","external_page_harvard.html","external-html","0","5495","0.0-0.0","A2WWYVKGZZXBOB","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1024","","image-button-response","1","6522","0.0-1.0","A2WWYVKGZZXBOB","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1281","","image-button-response","2","7811","0.0-2.0-0.0","A2WWYVKGZZXBOB","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2939","","survey-text","3","10754","0.0-3.0-0.0","A2WWYVKGZZXBOB","","","","{""Q0"":""A2WWYVKGZZXBOB""}","","","","","","","","","","","","","","","","","","","","","","",""
"1903","","image-button-response_instructions","4","12660","0.0-4.0","A2WWYVKGZZXBOB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4806","","image-button-response_instructions","5","17469","0.0-5.0","A2WWYVKGZZXBOB","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2903","","image-button-response_instructions","6","20375","0.0-6.0","A2WWYVKGZZXBOB","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2151","","image-button-response_instructions","7","22530","0.0-7.0","A2WWYVKGZZXBOB","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1256","","image-button-response_instructions","8","23789","0.0-8.0","A2WWYVKGZZXBOB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"748","","image-button-response_instructions","9","24539","0.0-9.0","A2WWYVKGZZXBOB","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"607","","image-button-response_instructions","10","25149","0.0-10.0","A2WWYVKGZZXBOB","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"539","","image-button-response_instructions","11","25690","0.0-11.0","A2WWYVKGZZXBOB","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"338","","image-button-response_instructions","12","26031","0.0-12.0","A2WWYVKGZZXBOB","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"258","","image-button-response_instructions","13","26291","0.0-13.0","A2WWYVKGZZXBOB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"128","","image-button-response_instructions","14","26422","0.0-14.0","A2WWYVKGZZXBOB","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
