"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"34189","external_page_harvard.html","external-html","0","34324","0.0-0.0","A2YR29YNFLZSUG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1603","","image-button-response","1","35930","0.0-1.0","A2YR29YNFLZSUG","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4555","","image-button-response","2","40491","0.0-2.0-0.0","A2YR29YNFLZSUG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4383","","survey-text","3","44875","0.0-3.0-0.0","A2YR29YNFLZSUG","","","","{""Q0"":""A2YR29YNFLZSUG""}","","","","","","","","","","","","","","","","","","","","","","",""
"5319","","image-button-response_instructions","4","50196","0.0-4.0","A2YR29YNFLZSUG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28947","","image-button-response_instructions","5","79145","0.0-5.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6541","","image-button-response_instructions","6","85688","0.0-6.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5800","","image-button-response_instructions","7","91490","0.0-7.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21195","","image-button-response_instructions","8","112686","0.0-8.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4981","","image-button-response_instructions","9","117669","0.0-9.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5927","","image-button-response_instructions","10","123598","0.0-10.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3070","","image-button-response_instructions","11","126670","0.0-11.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5264","","image-button-response_instructions","12","131935","0.0-12.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14000","","image-button-response_instructions","13","145936","0.0-13.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10706","","image-button-response_instructions","14","156643","0.0-14.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3087","","image-button-response_instructions","15","159731","0.0-15.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8247","","image-button-response_instructions","16","167980","0.0-16.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3927","","image-button-response_instructions","17","171908","0.0-17.0","A2YR29YNFLZSUG","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1992","","image-button-response_instructions","18","173901","0.0-18.0","A2YR29YNFLZSUG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6063","","survey-text","19","179998","0.0-19.0-0.0","A2YR29YNFLZSUG","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19592","","survey-text","20","199593","0.0-20.0-0.0","A2YR29YNFLZSUG","","","","{""Q0"":""Abstract and colorful""}","","","","","","","","","","","","","","","","","","","","","","",""
"5940","","image-slider-response","21","205537","0.0-21.0","A2YR29YNFLZSUG","","","","","14","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","210558","0.0-22.0","A2YR29YNFLZSUG","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4940","","image-button-response","23","215499","0.0-23.0","A2YR29YNFLZSUG","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3526","","image-button-response","24","219028","0.0-24.0-0.0","A2YR29YNFLZSUG","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5406","","image-button-response","25","224436","0.0-25.0-0.0","A2YR29YNFLZSUG","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","225443","0.0-26.0","A2YR29YNFLZSUG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","14","Abstract and colorful","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Jack","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","0"
"25199","","survey-text","27","250647","0.0-27.0-0.0","A2YR29YNFLZSUG","","","","{""Q0"":""Textured and abstract""}","","","","","","","","","","","","","","","","","","","","","","",""
"6868","","image-slider-response","28","257517","0.0-28.0","A2YR29YNFLZSUG","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
"4191","","image-button-response","29","262539","0.0-29.0","A2YR29YNFLZSUG","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1073","","image-button-response","30","263613","0.0-30.0","A2YR29YNFLZSUG","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"8353","","image-button-response","31","271967","0.0-31.0-0.0","A2YR29YNFLZSUG","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6766","","image-button-response","32","278735","0.0-32.0-0.0","A2YR29YNFLZSUG","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","279239","0.0-33.0","A2YR29YNFLZSUG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","6","Textured and abstract","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","Alex","I like the blocks of color arrangements,30,40,20","Carl","I can feel the artist's passion in it,45,80,20","0"
"14164","","survey-text","34","293407","0.0-34.0-0.0","A2YR29YNFLZSUG","","","","{""Q0"":""Calming blues""}","","","","","","","","","","","","","","","","","","","","","","",""
"12399","","image-slider-response","35","305809","0.0-35.0","A2YR29YNFLZSUG","","","","","25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","310828","0.0-36.0","A2YR29YNFLZSUG","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1789","","image-button-response","37","312618","0.0-37.0","A2YR29YNFLZSUG","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2894","","image-button-response","38","315514","0.0-38.0-0.0","A2YR29YNFLZSUG","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4704","","image-button-response","39","320219","0.0-39.0-0.0","A2YR29YNFLZSUG","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","320735","0.0-40.0","A2YR29YNFLZSUG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","25","Calming blues","Mike,Alex,Ron,Carl,John,Sam","enjoy the different shades of blue,22,200,20","calming blue is very nice,36,40,20","It looks depressing,-26,220,20","It's an alright work,15,80,20","I like the overlapping of brushes,41,160,20","I can feel a rainy day from this painting,18,240,20","Sam","I can feel a rainy day from this painting,18,240,20","Alex","calming blue is very nice,36,40,20","Mike","enjoy the different shades of blue,22,200,20","0"
"11984","","image-button-response_instructions","41","332724","0.0-41.0","A2YR29YNFLZSUG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18837","","survey-likert","42","351562","0.0-42.0-0.0","A2YR29YNFLZSUG","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4314","","survey-text","43","355880","0.0-43.0-0.0","A2YR29YNFLZSUG","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"23282","","survey-text","44","379163","0.0-44.0-0.0","A2YR29YNFLZSUG","","","","{""Q0"":""Abstract and dark""}","","","","","","","","","","","","","","","","","","","","","","",""
"6270","","image-slider-response","45","385436","0.0-45.0","A2YR29YNFLZSUG","","","","","-10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","390463","0.0-46.0","A2YR29YNFLZSUG","img_art/15.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4061","","image-button-response","47","394525","0.0-47.0","A2YR29YNFLZSUG","img_art/15.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3888","","image-button-response","48","398414","0.0-48.0-0.0","A2YR29YNFLZSUG","img_art/15.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6063","","image-button-response","49","404479","0.0-49.0-0.0","A2YR29YNFLZSUG","img_art/15.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","405987","0.0-50.0","A2YR29YNFLZSUG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/15.jpg","-10","Abstract and dark","Kyle,Brett,Colton,Vincent,Eric,Blake","I like it as the colors complement each other well,21,340,20","I don't know how I feel about this,31,360,20","it's alright but a little cluttered,14,220,20","I like the colors and the different style This brings,7,360,20","This picture is too confusing for me. I wouldn't want to stare at it to figure it out.,-10,100,20","ugly picture and don't like it,-22,280,20","Blake","ugly picture and don't like it,-22,280,20","Brett","I don't know how I feel about this,31,360,20","Colton","it's alright but a little cluttered,14,220,20","0"
"70407","","survey-text","51","476400","0.0-51.0-0.0","A2YR29YNFLZSUG","","","","{""Q0"":""Interesting what you find in it""}","","","","","","","","","","","","","","","","","","","","","","",""
"3601","","image-slider-response","52","480002","0.0-52.0","A2YR29YNFLZSUG","","","","","17","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","53","485018","0.0-53.0","A2YR29YNFLZSUG","img_art/18.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"915","","image-button-response","54","485933","0.0-54.0","A2YR29YNFLZSUG","img_art/18.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"10551","","image-button-response","55","496487","0.0-55.0-0.0","A2YR29YNFLZSUG","img_art/18.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4638","","image-button-response","56","501127","0.0-56.0-0.0","A2YR29YNFLZSUG","img_art/18.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","57","502639","0.0-57.0","A2YR29YNFLZSUG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","2","img_art/18.jpg","17","Interesting what you find in it","Dustin,Brett,Colton,Grant,Adam,Blake","Looks messy. Reminds me of a battle or war. I have an unpleasant feeling the more I look.,-20,20,20","Kind of weird in a confusing way,10,360,20","reminds me of greek mythology,22,220,20","This is a very energetic painting, and brings to mind scenes of battle.,50,200,20","Colors are okay. Reminds me of cavalry.,10,40,20","i like the colors. outerspace,21,280,20","Grant","This is a very energetic painting, and brings to mind scenes of battle.,50,200,20","Colton","reminds me of greek mythology,22,220,20","Adam","Colors are okay. Reminds me of cavalry.,10,40,20","0"
"28168","","survey-text","58","530812","0.0-58.0-0.0","A2YR29YNFLZSUG","","","","{""Q0"":""Colorful and imaginative""}","","","","","","","","","","","","","","","","","","","","","","",""
