"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8482","external_page_harvard.html","external-html","0","8647","0.0-0.0","A30HUZHJBOX1LK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1420","","image-button-response","1","10070","0.0-1.0","A30HUZHJBOX1LK","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1176","","image-button-response","2","11255","0.0-2.0-0.0","A30HUZHJBOX1LK","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3191","","survey-text","3","14447","0.0-3.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""A30HUZHJBOX1LK""}","","","","","","","","","","","","","","","","","","","","","","",""
"19767","","image-button-response_instructions","4","34219","0.0-4.0","A30HUZHJBOX1LK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"260617","","image-button-response_instructions","5","294841","0.0-5.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4372","","image-button-response_instructions","6","299215","0.0-6.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3126","","image-button-response_instructions","7","302345","0.0-7.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3585","","image-button-response_instructions","8","305931","0.0-8.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1850","","image-button-response_instructions","9","307783","0.0-9.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3875","","image-button-response_instructions","10","311660","0.0-10.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1464","","image-button-response_instructions","11","313125","0.0-11.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2423","","image-button-response_instructions","12","315551","0.0-12.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5598","","image-button-response_instructions","13","321153","0.0-13.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3790","","image-button-response_instructions","14","324946","0.0-14.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3375","","image-button-response_instructions","15","328324","0.0-15.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4974","","image-button-response_instructions","16","333300","0.0-16.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2751","","image-button-response_instructions","17","336053","0.0-17.0","A30HUZHJBOX1LK","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1554","","image-button-response_instructions","18","337608","0.0-18.0","A30HUZHJBOX1LK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5739","","survey-text","19","343390","0.0-19.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"15234","","survey-text","20","358629","0.0-20.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""It's fairy peaceful, but very abstract""}","","","","","","","","","","","","","","","","","","","","","","",""
"2776.3999999910593","","image-slider-response","21","361414","0.0-21.0","A30HUZHJBOX1LK","","","","","25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","366420","0.0-22.0","A30HUZHJBOX1LK","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"819","","image-button-response","23","367244","0.0-23.0","A30HUZHJBOX1LK","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1775","","image-button-response","24","369027","0.0-24.0-0.0","A30HUZHJBOX1LK","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1458","","image-button-response","25","370490","0.0-25.0-0.0","A30HUZHJBOX1LK","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","371494","0.0-26.0","A30HUZHJBOX1LK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","25","It's fairy peaceful, but very abstract","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","Carl","very calming artwork,42,80,20","Jack","I like the sophisticated brushwork,40,120,20","0"
"6874","","survey-text","27","378376","0.0-27.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""this is very red""}","","","","","","","","","","","","","","","","","","","","","","",""
"2195.5","","image-slider-response","28","380575","0.0-28.0","A30HUZHJBOX1LK","","","","","-27","","","","","","","","","","","","","","","","","","","","","",""
"1563","","image-button-response","29","385579","0.0-29.0","A30HUZHJBOX1LK","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2817","","image-button-response","30","388400","0.0-30.0","A30HUZHJBOX1LK","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2117","","image-button-response","31","390521","0.0-31.0-0.0","A30HUZHJBOX1LK","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"629","","image-button-response","32","391154","0.0-32.0-0.0","A30HUZHJBOX1LK","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","392156","0.0-33.0","A30HUZHJBOX1LK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","-27","this is very red","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Kyle","Idk, it is just annoying,-32,180,20","John","love the texture of paint,48,160,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","0"
"7991","","survey-text","34","400156","0.0-34.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""very cool and calming""}","","","","","","","","","","","","","","","","","","","","","","",""
"2743.7000000029802","","image-slider-response","35","402903","0.0-35.0","A30HUZHJBOX1LK","","","","","27","","","","","","","","","","","","","","","","","","","","","",""
"4787","","image-button-response","36","407906","0.0-36.0","A30HUZHJBOX1LK","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"735","","image-button-response","37","408645","0.0-37.0","A30HUZHJBOX1LK","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2307","","image-button-response","38","410954","0.0-38.0-0.0","A30HUZHJBOX1LK","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2088","","image-button-response","39","413045","0.0-39.0-0.0","A30HUZHJBOX1LK","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1996","","image-button-response","40","419076","0.0-39.1-0.1","A30HUZHJBOX1LK","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","419578","0.0-40.0","A30HUZHJBOX1LK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","27","very cool and calming","Sam,Ron,Kyle,Mike,John,Jack","I can feel a rainy day from this painting,18,240,20","It looks depressing,-26,220,20","It looks like a playground for bats,-36,180,20","enjoy the different shades of blue,22,200,20","I like the overlapping of brushes,41,160,20","I feel connected to the artist,40,120,20","Sam","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","John","I like the overlapping of brushes,41,160,20","2"
"4746","","image-button-response_instructions","42","424332","0.0-41.0","A30HUZHJBOX1LK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9322","","survey-likert","43","433656","0.0-42.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"3822","","survey-text","44","437493","0.0-43.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"14637","","survey-text","45","452132","0.0-44.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""Spooky, it is a bit scary""}","","","","","","","","","","","","","","","","","","","","","","",""
"1785.2999999970198","","image-slider-response","46","453920","0.0-45.0","A30HUZHJBOX1LK","","","","","9","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","47","458958","0.0-46.0","A30HUZHJBOX1LK","img_art/8.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3032","","image-button-response","48","461995","0.0-47.0","A30HUZHJBOX1LK","img_art/8.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4858","","image-button-response","49","466857","0.0-48.0-0.0","A30HUZHJBOX1LK","img_art/8.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1461","","image-button-response","50","468323","0.0-49.0-0.0","A30HUZHJBOX1LK","img_art/8.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","468825","0.0-50.0","A30HUZHJBOX1LK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/8.jpg","9","Spooky, it is a bit scary","Mason,Tyler,Dylan,Logan,Mitchell,Blake","wow. blocky, angled, neat colors. The faces are what makes it. love it.,45,100,20","The composition is striking, and some of the images are quite dramatic,11,320,20","The colors are nice but the big face in the sky is creepy,-11,40,20","a cute little cute with some protectors,25,360,20","Lost in a big city confuse as to where to go to next. No matter if you live in a mansion or homeless. Being bigger than what is going on around you,30,180,20","cold city controlled by evil gods,-17,280,20","Dylan","The colors are nice but the big face in the sky is creepy,-11,40,20","Blake","cold city controlled by evil gods,-17,280,20","Mason","wow. blocky, angled, neat colors. The faces are what makes it. love it.,45,100,20","2"
"8621","","survey-text","52","477453","0.0-51.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""calming and peaceful nap""}","","","","","","","","","","","","","","","","","","","","","","",""
"1751.6000000089407","","image-slider-response","53","479207","0.0-52.0","A30HUZHJBOX1LK","","","","","27","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","54","484210","0.0-53.0","A30HUZHJBOX1LK","img_art/9.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2071","","image-button-response","55","486284","0.0-54.0","A30HUZHJBOX1LK","img_art/9.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1723","","image-button-response","56","488009","0.0-55.0-0.0","A30HUZHJBOX1LK","img_art/9.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3290","","image-button-response","57","491303","0.0-56.0-0.0","A30HUZHJBOX1LK","img_art/9.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","58","491806","0.0-57.0","A30HUZHJBOX1LK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","2","img_art/9.jpg","27","calming and peaceful nap","Mason,Devon,Dylan,Spencer,Evan,Blake","Abstract titanic scene. It's nice though. I like how it makes me feel.,28,100,20","this looks to be a child nightmare,-10,400,20","This picture is too busy and ugly,-20,40,20","Depressing to me, like a dark dream,-11,120,20","It makes me think of Snow White sleeping,11,140,20","looks like a woman in bed and its ok,8,280,20","Evan","It makes me think of Snow White sleeping,11,140,20","Blake","looks like a woman in bed and its ok,8,280,20","Mason","Abstract titanic scene. It's nice though. I like how it makes me feel.,28,100,20","2"
"10943","","survey-text","59","502754","0.0-58.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""Gross this is a mess""}","","","","","","","","","","","","","","","","","","","","","","",""
"2126.7000000029802","","image-slider-response","60","504885","0.0-59.0","A30HUZHJBOX1LK","","","","","-23","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","61","509889","0.0-60.0","A30HUZHJBOX1LK","img_art/29.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"391","","image-button-response","62","510282","0.0-61.0","A30HUZHJBOX1LK","img_art/29.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4117","","image-button-response","63","514402","0.0-62.0-0.0","A30HUZHJBOX1LK","img_art/29.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4273","","image-button-response","64","518679","0.0-63.0-0.0","A30HUZHJBOX1LK","img_art/29.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","65","519682","0.0-64.0","A30HUZHJBOX1LK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","3","img_art/29.jpg","-23","Gross this is a mess","Mason,Robert,Vincent,Jake,Evan,Blake","easy, too abstract for me, don't get it.,-25,100,20","Looks like a murder,-50,360,20","Another great work of art and very conversational piece,33,360,20","This is very gross and odd looking.,-8,360,20","It makes me feel as though the artist put in a lot of time and effort and then gave up,10,140,20","a hot fireplace with things to burn. warm,12,280,20","Jake","This is very gross and odd looking.,-8,360,20","Evan","It makes me feel as though the artist put in a lot of time and effort and then gave up,10,140,20","Mason","easy, too abstract for me, don't get it.,-25,100,20","2"
"10365","","survey-text","66","530056","0.0-65.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""this feels like a nice fall day""}","","","","","","","","","","","","","","","","","","","","","","",""
"3813.5999999940395","","image-slider-response","67","533873","0.0-66.0","A30HUZHJBOX1LK","","","","","28","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","68","538876","0.0-67.0","A30HUZHJBOX1LK","img_art/27.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2995","","image-button-response","69","541875","0.0-68.0","A30HUZHJBOX1LK","img_art/27.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3057","","image-button-response","70","544935","0.0-69.0-0.0","A30HUZHJBOX1LK","img_art/27.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4138","","image-button-response","71","549076","0.0-70.0-0.0","A30HUZHJBOX1LK","img_art/27.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2081","","image-button-response","72","553725","0.0-70.1-0.1","A30HUZHJBOX1LK","img_art/27.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","73","554727","0.0-71.0","A30HUZHJBOX1LK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","4","img_art/27.jpg","28","this feels like a nice fall day","Mason,Trevor,Corey,Jake,Evan,Bradley","dont like it, don't hate it, meh.,2,100,20","I like the orange but it's a little blah,1,280,20","this is ugly and does nothing for me,-35,260,20","This looks like a poor copy of Cy Twombly's style.,-3,360,20","I am bothered by the green doodles,-20,140,20","Yikes. I think I made this in kindergarten.,-20,300,20","Mason","dont like it, don't hate it, meh.,2,100,20","Trevor","I like the orange but it's a little blah,1,280,20","Bradley","Yikes. I think I made this in kindergarten.,-20,300,20","4"
"15697","","survey-text","74","570427","0.0-72.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""Looks like a skeleton at halloween""}","","","","","","","","","","","","","","","","","","","","","","",""
"2752.7000000029802","","image-slider-response","75","573183","0.0-73.0","A30HUZHJBOX1LK","","","","","-20","","","","","","","","","","","","","","","","","","","","","",""
"2762","","image-button-response","76","578185","0.0-74.0","A30HUZHJBOX1LK","img_art/25.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2469","","image-button-response","77","580657","0.0-75.0","A30HUZHJBOX1LK","img_art/25.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1167","","image-button-response","78","581828","0.0-76.0-0.0","A30HUZHJBOX1LK","img_art/25.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"956","","image-button-response","79","582788","0.0-77.0-0.0","A30HUZHJBOX1LK","img_art/25.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","80","583790","0.0-78.0","A30HUZHJBOX1LK","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","5","img_art/25.jpg","-20","Looks like a skeleton at halloween","Mason,Trevor,Shane,Christopher,Derek,Bradley","death. childish nightmare.,-29,100,20","nice colors and it looks like a native work,32,280,20","I love the green and the figure is black but the green makes it pop,29,80,20","green is really cool, and the pieces in black fit together and are interesting,20,160,20","It's really neat and cool looking,20,360,20","This one just has a dark feeling to me.,-50,300,20","Christopher","green is really cool, and the pieces in black fit together and are interesting,20,160,20","Derek","It's really neat and cool looking,20,360,20","Bradley","This one just has a dark feeling to me.,-50,300,20","4"
"5114","","survey-text","81","588918","0.0-79.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""sky""}","","","","","","","","","","","","","","","","","","","","","","",""
"7436","","survey-text","82","596356","0.0-80.0-0.0","A30HUZHJBOX1LK","","","","{""Q0"":""what the heck is it""}","","","","","","","","","","","","","","","","","","","","","","",""
"2772.6000000089407","","image-slider-response","83","599131","0.0-81.0","A30HUZHJBOX1LK","","","","","-33","","","","","","","","","","","","","","","","","","","","","",""
"4553","","image-button-response","84","604138","0.0-82.0","A30HUZHJBOX1LK","img_art/5.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"570","","image-button-response","85","604713","0.0-83.0","A30HUZHJBOX1LK","img_art/5.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2303","","image-button-response","86","607020","0.0-84.0-0.0","A30HUZHJBOX1LK","img_art/5.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
