"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"114442","external_page_harvard.html","external-html","0","114750","0.0-0.0","A34YDGVZKRJ0LZ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1831","","image-button-response","1","116588","0.0-1.0","A34YDGVZKRJ0LZ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2036","","image-button-response","2","118635","0.0-2.0-0.0","A34YDGVZKRJ0LZ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9648","","survey-text","3","128288","0.0-3.0-0.0","A34YDGVZKRJ0LZ","","","","{""Q0"":""A34YDGVZKRJ0LZ""}","","","","","","","","","","","","","","","","","","","","","","",""
"11605","","image-button-response_instructions","4","139896","0.0-4.0","A34YDGVZKRJ0LZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13337","","image-button-response_instructions","5","153237","0.0-5.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10787","","image-button-response_instructions","6","164026","0.0-6.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6965","","image-button-response_instructions","7","170993","0.0-7.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29634","","image-button-response_instructions","8","200629","0.0-8.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5761","","image-button-response_instructions","9","206393","0.0-9.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6098","","image-button-response_instructions","10","212495","0.0-10.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6074","","image-button-response_instructions","11","218570","0.0-11.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12261","","image-button-response_instructions","12","230832","0.0-12.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20464","","image-button-response_instructions","13","251299","0.0-13.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12315","","image-button-response_instructions","14","263615","0.0-14.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12757","","image-button-response_instructions","15","276375","0.0-15.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19323","","image-button-response_instructions","16","295700","0.0-16.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6599","","image-button-response_instructions","17","302301","0.0-17.0","A34YDGVZKRJ0LZ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2093","","image-button-response_instructions","18","304396","0.0-18.0","A34YDGVZKRJ0LZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8520","","survey-text","19","312951","0.0-19.0-0.0","A34YDGVZKRJ0LZ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"33055","","survey-text","20","346009","0.0-20.0-0.0","A34YDGVZKRJ0LZ","","","","{""Q0"":""reminds of a field, very Van Gogh-ish""}","","","","","","","","","","","","","","","","","","","","","","",""
"4240","","image-slider-response","21","350255","0.0-21.0","A34YDGVZKRJ0LZ","","","","","25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","355266","0.0-22.0","A34YDGVZKRJ0LZ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3044","","image-button-response","23","358316","0.0-23.0","A34YDGVZKRJ0LZ","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2550","","image-button-response","24","360871","0.0-24.0-0.0","A34YDGVZKRJ0LZ","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4404","","image-button-response","25","365281","0.0-25.0-0.0","A34YDGVZKRJ0LZ","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","366287","0.0-26.0","A34YDGVZKRJ0LZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","25","reminds of a field, very Van Gogh-ish","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"36326","","survey-text","27","402622","0.0-27.0-0.0","A34YDGVZKRJ0LZ","","","","{""Q0"":""Very complicated and makes me feel melancholy""}","","","","","","","","","","","","","","","","","","","","","","",""
"3709.600000023842","","image-slider-response","28","406337","0.0-28.0","A34YDGVZKRJ0LZ","","","","","23","","","","","","","","","","","","","","","","","","","","","",""
"4299","","image-button-response","29","411348","0.0-29.0","A34YDGVZKRJ0LZ","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1778","","image-button-response","30","413130","0.0-30.0","A34YDGVZKRJ0LZ","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"8615","","image-button-response","31","421750","0.0-31.0-0.0","A34YDGVZKRJ0LZ","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1587","","image-button-response","32","423342","0.0-32.0-0.0","A34YDGVZKRJ0LZ","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","424348","0.0-33.0","A34YDGVZKRJ0LZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","23","Very complicated and makes me feel melancholy","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","Jen","It reminds me of a fireplace,36,120,20","0"
"38791","","survey-text","34","463148","0.0-34.0-0.0","A34YDGVZKRJ0LZ","","","","{""Q0"":""Interesting and looks like there is person doing something in it""}","","","","","","","","","","","","","","","","","","","","","","",""
"4527.9000000059605","","image-slider-response","35","467679","0.0-35.0","A34YDGVZKRJ0LZ","","","","","15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","472683","0.0-36.0","A34YDGVZKRJ0LZ","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1295","","image-button-response","37","473982","0.0-37.0","A34YDGVZKRJ0LZ","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3655","","image-button-response","38","477642","0.0-38.0-0.0","A34YDGVZKRJ0LZ","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2861","","image-button-response","39","480510","0.0-39.0-0.0","A34YDGVZKRJ0LZ","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","481515","0.0-40.0","A34YDGVZKRJ0LZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","15","Interesting and looks like there is person doing something in it","Mary,Kara,Rose,Leslie,Erika,Jen","I like the overlapping of brushes,41,220,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","I can feel a rainy day from this painting,18,120,20","Kara","calming blue is very nice,36,160,20","Jen","I can feel a rainy day from this painting,18,120,20","Erika","I feel connected to the artist,40,100,20","0"
"9099","","image-button-response_instructions","41","490621","0.0-41.0","A34YDGVZKRJ0LZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16034","","survey-likert","42","506662","0.0-42.0-0.0","A34YDGVZKRJ0LZ","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4331","","survey-text","43","511003","0.0-43.0-0.0","A34YDGVZKRJ0LZ","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"21085","","survey-text","44","532092","0.0-44.0-0.0","A34YDGVZKRJ0LZ","","","","{""Q0"":""reminds me of a puzzle or album art""}","","","","","","","","","","","","","","","","","","","","","","",""
"4503.9000000059605","","image-slider-response","45","536603","0.0-45.0","A34YDGVZKRJ0LZ","","","","","21","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","541639","0.0-46.0","A34YDGVZKRJ0LZ","img_art/12.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"9577","","image-button-response","47","551222","0.0-47.0","A34YDGVZKRJ0LZ","img_art/12.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"13661","","image-button-response","48","564889","0.0-48.0-0.0","A34YDGVZKRJ0LZ","img_art/12.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1120","","image-button-response","49","566014","0.0-49.0-0.0","A34YDGVZKRJ0LZ","img_art/12.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","567520","0.0-50.0","A34YDGVZKRJ0LZ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/12.jpg","21","reminds me of a puzzle or album art","Lauren,Shannon,Autumn,Samantha,Alicia,Kayla","This doesn't invoke anything. Just a mosaic of random images.,0,340,20","This image doesn't have anything going on. The top half is really ugly, I kind of like the bottom a little.,-20,220,20","Good too basic.,18,340,20","It is interesting but seems like some cheap painting from like walmart,24,140,20","it's ok, but blocky, looks old.,3,120,20","Yay! Lots of people, lots of lives.,25,180,20","Samantha","It is interesting but seems like some cheap painting from like walmart,24,140,20","Lauren","This doesn't invoke anything. Just a mosaic of random images.,0,340,20","Autumn","Good too basic.,18,340,20","0"
