"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5201","external_page_harvard.html","external-html","0","5325","0.0-0.0","A35S5YV2XL971J","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1938","","image-button-response","1","7266","0.0-1.0","A35S5YV2XL971J","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1655","","image-button-response","2","8929","0.0-2.0-0.0","A35S5YV2XL971J","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6839","","survey-text","3","15771","0.0-3.0-0.0","A35S5YV2XL971J","","","","{""Q0"":""A35S5YV2XL971J""}","","","","","","","","","","","","","","","","","","","","","","",""
"3055","","image-button-response_instructions","4","18829","0.0-4.0","A35S5YV2XL971J","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3305","","image-button-response_instructions","5","22138","0.0-5.0","A35S5YV2XL971J","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2533","","image-button-response_instructions","6","24674","0.0-6.0","A35S5YV2XL971J","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2568","","image-button-response_instructions","7","27245","0.0-7.0","A35S5YV2XL971J","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1869","","image-button-response_instructions","8","29117","0.0-8.0","A35S5YV2XL971J","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1574","","image-button-response_instructions","9","30693","0.0-9.0","A35S5YV2XL971J","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1274","","image-button-response_instructions","10","31969","0.0-10.0","A35S5YV2XL971J","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"959","","image-button-response_instructions","11","32929","0.0-11.0","A35S5YV2XL971J","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"873","","image-button-response_instructions","12","33804","0.0-12.0","A35S5YV2XL971J","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1179","","image-button-response_instructions","13","34985","0.0-13.0","A35S5YV2XL971J","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1014","","image-button-response_instructions","14","36002","0.0-14.0","A35S5YV2XL971J","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"808","","image-button-response_instructions","15","36812","0.0-15.0","A35S5YV2XL971J","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1160","","image-button-response_instructions","16","37975","0.0-16.0","A35S5YV2XL971J","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"854","","image-button-response_instructions","17","38831","0.0-17.0","A35S5YV2XL971J","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4414","","image-button-response_instructions","18","43247","0.0-18.0","A35S5YV2XL971J","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9913","","survey-text","19","53200","0.0-19.0-0.0","A35S5YV2XL971J","","","","{""Q0"":""BUT""}","","","","","","","","","","","","","","","","","","","","","","",""
