"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8486","external_page_harvard.html","external-html","0","8648","0.0-0.0","A36A780ODXBDEH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3557","","image-button-response","1","12208","0.0-1.0","A36A780ODXBDEH","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1571","","image-button-response","2","13783","0.0-2.0-0.0","A36A780ODXBDEH","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5022","","survey-text","3","18807","0.0-3.0-0.0","A36A780ODXBDEH","","","","{""Q0"":""A36A780ODXBDEH""}","","","","","","","","","","","","","","","","","","","","","","",""
"11847","","image-button-response_instructions","4","30655","0.0-4.0","A36A780ODXBDEH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5032","","image-button-response_instructions","5","35687","0.0-5.0","A36A780ODXBDEH","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2519","","image-button-response_instructions","6","38207","0.0-6.0","A36A780ODXBDEH","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2840","","image-button-response_instructions","7","41047","0.0-7.0","A36A780ODXBDEH","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8903","","image-button-response_instructions","8","49951","0.0-8.0","A36A780ODXBDEH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5359","","image-button-response_instructions","9","55311","0.0-9.0","A36A780ODXBDEH","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8295","","image-button-response_instructions","10","63607","0.0-10.0","A36A780ODXBDEH","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4424","","image-button-response_instructions","11","68033","0.0-11.0","A36A780ODXBDEH","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4782","","image-button-response_instructions","12","72816","0.0-12.0","A36A780ODXBDEH","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6479","","image-button-response_instructions","13","79296","0.0-13.0","A36A780ODXBDEH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13008","","image-button-response_instructions","14","92304","0.0-14.0","A36A780ODXBDEH","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5254","","image-button-response_instructions","15","97559","0.0-15.0","A36A780ODXBDEH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8736","","image-button-response_instructions","16","106296","0.0-16.0","A36A780ODXBDEH","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5783","","image-button-response_instructions","17","112079","0.0-17.0","A36A780ODXBDEH","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1560","","image-button-response_instructions","18","113640","0.0-18.0","A36A780ODXBDEH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3780","","survey-text","19","117440","0.0-19.0-0.0","A36A780ODXBDEH","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"27160","","survey-text","20","144600","0.0-20.0-0.0","A36A780ODXBDEH","","","","{""Q0"":""The blue swishes give an interesting sense of movement.""}","","","","","","","","","","","","","","","","","","","","","","",""
"11278","","image-slider-response","21","155880","0.0-21.0","A36A780ODXBDEH","","","","","16","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","160884","0.0-22.0","A36A780ODXBDEH","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"13697","","image-button-response","23","174584","0.0-23.0","A36A780ODXBDEH","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3853","","image-button-response","24","178440","0.0-24.0-0.0","A36A780ODXBDEH","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"6590","","image-button-response","25","185032","0.0-25.0-0.0","A36A780ODXBDEH","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","186034","0.0-26.0","A36A780ODXBDEH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","16","The blue swishes give an interesting sense of movement.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Carl","very calming artwork,42,80,20","0"
"23751","","survey-text","27","209799","0.0-27.0-0.0","A36A780ODXBDEH","","","","{""Q0"":""I'm glad the image was able to capture the canvas texture, it adds a lot!""}","","","","","","","","","","","","","","","","","","","","","","",""
"3783","","image-slider-response","28","213584","0.0-28.0","A36A780ODXBDEH","","","","","32","","","","","","","","","","","","","","","","","","","","","",""
