"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"1046342","external_page_harvard.html","external-html","0","1046501","0.0-0.0","A38N2MBXP7IOPS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1758","","image-button-response","1","1048262","0.0-1.0","A38N2MBXP7IOPS","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2055","","image-button-response","2","1050324","0.0-2.0-0.0","A38N2MBXP7IOPS","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5316","","survey-text","3","1055642","0.0-3.0-0.0","A38N2MBXP7IOPS","","","","{""Q0"":""A38N2MBXP7IOPS""}","","","","","","","","","","","","","","","","","","","","","","",""
"3055","","image-button-response_instructions","4","1058700","0.0-4.0","A38N2MBXP7IOPS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9057","","image-button-response_instructions","5","1067759","0.0-5.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3429","","image-button-response_instructions","6","1071189","0.0-6.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9008","","image-button-response_instructions","7","1080199","0.0-7.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4799","","image-button-response_instructions","8","1084998","0.0-8.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2277","","image-button-response_instructions","9","1087277","0.0-9.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2279","","image-button-response_instructions","10","1089557","0.0-10.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2430","","image-button-response_instructions","11","1091988","0.0-11.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1580","","image-button-response_instructions","12","1093570","0.0-12.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1757","","image-button-response_instructions","13","1095328","0.0-13.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4525","","image-button-response_instructions","14","1099855","0.0-14.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1412","","image-button-response_instructions","15","1101269","0.0-15.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1354","","image-button-response_instructions","16","1102624","0.0-16.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1347","","image-button-response_instructions","17","1103972","0.0-17.0","A38N2MBXP7IOPS","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1379","","image-button-response_instructions","18","1105352","0.0-18.0","A38N2MBXP7IOPS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8548","","survey-text","19","1113946","0.0-19.0-0.0","A38N2MBXP7IOPS","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"24950","","survey-text","20","1138899","0.0-20.0-0.0","A38N2MBXP7IOPS","","","","{""Q0"":""It reminds me of vomit at a carnival after eating too much cotton candy.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4841","","image-slider-response","21","1143743","0.0-21.0","A38N2MBXP7IOPS","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","1148751","0.0-22.0","A38N2MBXP7IOPS","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7472","","image-button-response","23","1156226","0.0-23.0","A38N2MBXP7IOPS","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
