"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"102162","external_page_harvard.html","external-html","0","102268","0.0-0.0","A3B9M6H2PTCQWX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1734","","image-button-response","1","104004","0.0-1.0","A3B9M6H2PTCQWX","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1696","","image-button-response","2","105703","0.0-2.0-0.0","A3B9M6H2PTCQWX","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10505","","survey-text","3","116210","0.0-3.0-0.0","A3B9M6H2PTCQWX","","","","{""Q0"":""A3B9M6H2PTCQWX""}","","","","","","","","","","","","","","","","","","","","","","",""
"107176","","image-button-response_instructions","4","223389","0.0-4.0","A3B9M6H2PTCQWX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"133610","","image-button-response_instructions","5","356999","0.0-5.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3337","","image-button-response_instructions","6","360336","0.0-6.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2628","","image-button-response_instructions","7","362965","0.0-7.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3275","","image-button-response_instructions","8","366241","0.0-8.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1780","","image-button-response_instructions","9","368021","0.0-9.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2049","","image-button-response_instructions","10","370070","0.0-10.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2395","","image-button-response_instructions","11","372465","0.0-11.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3310","","image-button-response_instructions","12","375776","0.0-12.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10813","","image-button-response_instructions","13","386590","0.0-13.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5232","","image-button-response_instructions","14","391822","0.0-14.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"128737","","image-button-response_instructions","15","520559","0.0-15.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7444","","image-button-response_instructions","16","528004","0.0-16.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1455","","image-button-response_instructions","17","529459","0.0-17.0","A3B9M6H2PTCQWX","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1232","","image-button-response_instructions","18","530692","0.0-18.0","A3B9M6H2PTCQWX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
