"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12819","external_page_harvard.html","external-html","0","12919","0.0-0.0","A3BUWQ5C39GRQC","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2079","","image-button-response","1","15000","0.0-1.0","A3BUWQ5C39GRQC","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2948","","image-button-response","2","17951","0.0-2.0-0.0","A3BUWQ5C39GRQC","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3483","","survey-text","3","21435","0.0-3.0-0.0","A3BUWQ5C39GRQC","","","","{""Q0"":""A3BUWQ5C39GRQC""}","","","","","","","","","","","","","","","","","","","","","","",""
"3736","","image-button-response_instructions","4","25174","0.0-4.0","A3BUWQ5C39GRQC","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18141","","image-button-response_instructions","5","43315","0.0-5.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3999","","image-button-response_instructions","6","47315","0.0-6.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3253","","image-button-response_instructions","7","50570","0.0-7.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17352","","image-button-response_instructions","8","67923","0.0-8.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2803","","image-button-response_instructions","9","70727","0.0-9.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3379","","image-button-response_instructions","10","74107","0.0-10.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5991","","image-button-response_instructions","11","80099","0.0-11.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3409","","image-button-response_instructions","12","83509","0.0-12.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7165","","image-button-response_instructions","13","90675","0.0-13.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10843","","image-button-response_instructions","14","101519","0.0-14.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3142","","image-button-response_instructions","15","104661","0.0-15.0","A3BUWQ5C39GRQC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
